mice_ID,estrous_stage,state,agg_state,agg_latency,parental_state,cricket_state,cricket_latency,cricket_consumption,date
BRAC4892.5e,P,Pre,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4892.5d,M,Pre,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4971.4d,P,Pre,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4914.6a,P,Pre,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4892.5c,P,Pre,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4971.4e,P,Pre,Agg-,,Parental-,Hunt-,,,09/12/2020
BRAC4971.4g,P,Pre,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4971.4f,P,Pre,Agg-,,Parental-,Hunt+,15,yes,09/12/2020
BRAC5196.2i,P,Pre,Agg-,,Parental+,Hunt-,,,13/12/2020
BRAC5196.2h,M,Pre,Agg-,,Parental+,Hunt-,,,13/12/2020
BRAC5132.4e,D,Pre,Agg-,,Parental+,Hunt-,,,13/12/2020
BRAC5132.4c,D,Pre,Agg-,,Parental+,Hunt+,853,no,13/12/2020
BRAC5148.5c,P,Pre,Agg-,,Parental+,Hunt-,,,13/12/2020
BRAC5132.4d,M,Pre,Agg-,,Parental-,Hunt-,,,13/12/2020
BRAC5196.2g,E,Pre,Agg-,,Parental+,Hunt-,,,13/12/2020
BRAC5148.5d,D,Pre,Agg-,,Parental-,Hunt+,692,no,18/12/2020
BRAC4892.5e,P,Post,Agg+,75,,Hunt-,,,09/12/2020
BRAC4892.5d,M,Post,Agg+,406,,Hunt-,,,09/12/2020
BRAC4971.4d,P,Post,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4914.6a,P,Post,Agg+,34,,Hunt-,,,09/12/2020
BRAC4892.5c,P,Post,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4971.4e,P,Post,Agg+,446,,Hunt-,,,09/12/2020
BRAC4971.4g,P,Post,Agg-,,Parental+,Hunt-,,,09/12/2020
BRAC4971.4f,P,Post,Agg+,122,,Hunt+,12,yes,09/12/2020
BRAC5196.2i,P,Post,Agg-,,Parental-,Hunt-,,,13/12/2020
BRAC5196.2h,M,Post,Agg+,63,,Hunt-,,,13/12/2020
BRAC5132.4e,D,Post,Agg+,638,,Hunt+,545,yes,13/12/2020
BRAC5132.4c,D,Post,Agg+,271,,Hunt+,144,yes,13/12/2020
BRAC5148.5c,P,Post,Agg+,313,,Hunt-,,,13/12/2020
BRAC5132.4d,M,Post,Agg+,163,,Hunt+,224,yes,13/12/2020
BRAC5196.2g,E,Post,Agg-,,Parental+,Hunt-,,,13/12/2020
BRAC5148.5d,D,Post,Agg-,,Parental-,Hunt+,20,yes,18/12/2020
