mice_ID,deprivation_duration,estrous_stage,state_before,retrieval_before_latency,state_before_comment,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,exp_date,valid
BRAC6691.6g,120,M,,,,Agg-,,,,,,
BRAC6692.6i,120,P,,,,Agg-,,Parental+,,,,
BRAC7110.1h,120,M,,,,Agg-,,,,,,
BRAC7110.1i,120,M,,,,Agg-,,,,,,
BRAC7110.1j,120,M,,,,Agg+,423,,,,,
BRAC7193.1a,120,M,,,,Agg+,277,,,,,
BRAC7229.1e,120,D,,,,Agg-,,,,,,
BRAC7229.1f,120,P,,,,Agg-,,,,,,
BRAC7229.1g,120,M,,,,Agg-,,,,,,
BRAC7229.1h,120,P,,,,Agg-,,,,,,
BRAC7229.1i,120,P,,,,Agg-,,,,,,
BRAC7229.1j,120,E,,,,Agg-,,,,,,
BRAC7229.1k,120,M,,,,Agg-,,,,,,
BRAC7229.1l,120,E,,,,Agg-,,,,,,
BRAC7664.7d,120,E,,,,Agg+,,,,,,
BRAC7668.10a,120,M,,,,Agg-,,Parental+,build a nest around one pup,,16/06/2023,
BRAC7668.10b,120,M,,,,Agg+,,,,,16/06/2023,
BRAC7668.10c,120,M,,,,Agg-,,Parental-,,,16/06/2023,
BRAC7751.8g,120,P,,,,Agg-,,Parental+,build a nest around pups,,16/06/2023,
BRAC8103.3e,120,M,,,,Agg-,,Parental+,build a nest around one pup,,16/06/2023,
BRAC8175.1e,120,P,,,,Agg-,,Parental+,build a nest around one pup,,16/06/2023,
BRAC8175.1f,120,D,,,,Agg-,,Parental-,,,16/06/2023,
BRAC8271.1e,120,P,,,,Agg-,,Parental-,,,16/06/2023,
BRAC8271.1f,120,E,,,,Agg-,,Parental-,,,16/06/2023,
BRAC8271.1g,120,M,,,,Agg-,,Parental-,,,16/06/2023,
BRAC8271.1h,120,D,,,,Agg-,,Parental-,,,16/06/2023,
BRAC7275.4f,180,M,,,,Agg+,167,,,,27/10/2022,
BRAC7275.4g,180,M,,,,Agg+,209,,,,27/10/2022,
BRAC7296.3h,180,P,,,,Agg-,,,,,27/10/2022,
BRAC7305.3d,180,M,,,,Agg+,66,,,,27/10/2022,
BRAC7305.3e,180,M,,,,Agg+,222,,,,27/10/2022,
BRAC7409.1i,180,E,,,,Agg-,,,,,27/10/2022,
BRAC7409.1j,180,P,,,,Agg+,91,,,,27/10/2022,
BRAC7418.2h,180,D,,,,Agg+,350,,,,27/10/2022,
BRAC7344.5g,180,P,,,,Agg+,428,,,,,
BRAC7687.3f,180,M,,,,Agg-,,,,,,
BRAC7687.3g,180,M,,,,Agg+,291,,,,,
BRAC7687.3h,180,D,,,,Agg+,198,,,,,
BRAC7553.3d,180,D,,,,Agg-,,Parental+,,,,
BRAC7821.1d,180,P,,,,Agg-,,Parental+,,,,
BRAC7821.1e,180,D,,,,Agg-,,Parental+,,,,
BRAC7821.1f,180,D,,,,Agg-,,,,,,
BRAC6486.8e,240,P,,,,Agg+,532,,,,,
BRAC6521.7f,240,M,,,,Agg-,,,,,,
BRAC6521.7g,240,D,,,,Agg-,,Parental+,,,,
BRAC6521.7h,240,D,,,,Agg-,,,,,,
