,Mice_ID,Estrous_stage,Behaviour,Parental_behav,food_before,food_after,net_food,status
0,BRAC8576.3h,,Agg+,,29.58,28.76,0.82,use
1,BRAC8737.1f,,Agg+,,28.17,27.41,0.76,use
2,BRAC8737.1g,,Agg+,,25.17,24.57,0.6,use
3,BRAC8759.6d,,Agg+,,25.2,24.56,0.64,use
4,BRAC8405.5c,,Agg-,Parental-,19.82,18.98,0.84,use
5,BRAC8405.5b,,Agg+,,21.03,19.91,1.12,use
6,BRAC8737.1h,,Agg-,Parental+,19.24,18.68,0.56,use
7,BRAC8576.3e,,Agg+,,36.09,35.28,0.81,use
8,BRAC8576.3g,,Agg-,Parental+,33.45,32.94,0.51,use
9,BRAC8576.3f,,Agg-,Parental-,23.67,22.91,0.76,use
10,BRAC8504.4c,,Agg-,Parental-,35.89,35.09,0.8,use
11,BRAC8303.4c,,Agg-,Parental-,22.68,22.1,0.58,use
12,BRAC8559.3d,,Agg+,,21.31,20.49,0.82,use
13,BRAC5481.2f,E,nopup,,,,0.6,use
14,BRAC5481.2e,M,nopup,,,,0.3,use
15,BRAC5479.3d,P,nopup,,,,0.6,use
16,BRAC5479.3e,P,nopup,,,,0.6,use
17,BRAC5546.3b,E,nopup,,,,0.6,use
18,BRAC5603.2d,D,nopup,,,,0.8,use
19,BRAC5603.2e,P,nopup,,,,0.6,use
20,BRAC5603.2f,D,nopup,,,,0.5,use
21,BRAC5685.1g,E,nopup,,,,0.5,use
22,BRAC5686.1f,P,nopup,,,,0.4,use
23,BRAC5388.4b,P,nopup,,,,0.5,use
24,BRAC5388.4c,P,nopup,,,,0.7,use
25,BRAC5487.3j,P,nopup,,,,0.6,use
26,BRAC5487.3k,M,nopup,,,,0.6,use
27,BRAC5481.2g,E,nopup,,,,0.8,use
28,BRAC5487.3i,E,nopup,,,,0.3,use
29,BRAC5334.5d,,nopup,,,,0.6,use
30,BRAC5334.5e,,nopup,,,,0.9,use
31,BRAC5334.5f,,nopup,,,,1.0,use
32,BRAC5334.5g,,nopup,,,,0.6,use
33,BRAC5529.4b,,nopup,,,,0.8,use
34,BRAC5334.5h,,nopup,,,,0.9,use
35,BRAC5873.1d,,nopup,,,,0.5,use
36,BRAC5873.1e,,nopup,,,,0.5,use
37,BRAC6031.1d,,nopup,,,,0.2,use
38,BRAC6031.1f,,nopup,,,,0.4,use
39,BRAC6031.1e,,nopup,,,,0.4,use
40,BRAC6031.1g,D,nopup,,,,0.3,use
151,BRAC5575.1d,,baseline,,,,0.2,use
152,BRAC5383.3g,,baseline,,,,0.2,use
153,BRAC5480.3g,,baseline,,,,0.3,use
154,BRAC5383.3f,,baseline,,,,0.3,use
155,BRAC5585.1e,,baseline,,,,0.1,use
156,BRAC5506.2e,,baseline,,,,0.0,use
157,BRAC5204.4d,,baseline,,,,0.1,use
158,BRAC5587.1e,,baseline,,,,0.1,use
159,BRAC5685.1g,,baseline,,,,0.4,use
160,BRAC5686.1f,E,baseline,,,,0.1,use
161,BRAC5481.2f,M,baseline,,,,0.1,use
162,BRAC5481.2e,P,baseline,,,,0.1,use
163,BRAC5479.3d,P,baseline,,,,0.1,use
164,BRAC5479.3e,E,baseline,,,,0.0,use
165,BRAC5546.3b,D,baseline,,,,0.1,use
166,BRAC5603.2d,P,baseline,,,,0.3,use
167,BRAC5603.2e,D,baseline,,,,0.1,use
168,BRAC5603.2f,E,baseline,,,,0.3,use
169,BRAC5685.1g,P,baseline,,,,0.1,use
170,BRAC5686.1f,P,baseline,,,,0.3,use
171,BRAC5388.4b,P,baseline,,,,0.0,use
172,BRAC5388.4c,P,baseline,,,,0.2,use
173,BRAC5487.3j,M,baseline,,,,0.1,use
174,BRAC5487.3k,E,baseline,,,,0.0,use
175,BRAC5481.2g,E,baseline,,,,0.2,use
176,BRAC5487.3i,,baseline,,,,0.1,use
177,BRAC5334.5d,,baseline,,,,0.1,use
178,BRAC5334.5e,,baseline,,,,0.2,use
179,BRAC5334.5f,,baseline,,,,0.2,use
180,BRAC5334.5g,,baseline,,,,0.1,use
181,BRAC5529.4b,,baseline,,,,0.1,use
182,BRAC5334.5h,,baseline,,,,0.1,use
