Mice_ID,Estrous_stage,Behaviour,Parental_behav,food_before,food_after,net_food
BRAC8576.3h,,Agg+,,29.58,28.76,0.82
BRAC8737.1f,,Agg+,,28.17,27.41,0.76
BRAC8737.1g,,Agg+,,25.17,24.57,0.6
BRAC8759.6d,,Agg+,,25.2,24.56,0.64
BRAC8405.5c,,Agg-,Parental-,19.82,18.98,0.84
BRAC8405.5b,,Agg+,,21.03,19.91,1.12
BRAC8737.1h,,Agg-,Parental+,19.24,18.68,0.56
BRAC8576.3e,,Agg+,,36.09,35.28,0.81
BRAC8576.3g,,Agg-,Parental+,33.45,32.94,0.51
BRAC8576.3f,,Agg-,Parental-,23.67,22.91,0.76
BRAC8504.4c,,Agg-,Parental-,35.89,35.09,0.8
BRAC8303.4c,,Agg-,Parental-,22.68,22.1,0.58
BRAC8559.3d,,Agg+,,21.31,20.49,0.82
BRAC5481.2f,E,nopup,,,,0.6
BRAC5481.2e,M,nopup,,,,0.3
BRAC5479.3d,P,nopup,,,,0.6
BRAC5479.3e,P,nopup,,,,0.6
BRAC5546.3b,E,nopup,,,,0.6
BRAC5603.2d,D,nopup,,,,0.8
BRAC5603.2e,P,nopup,,,,0.6
BRAC5603.2f,D,nopup,,,,0.5
BRAC5685.1g,E,nopup,,,,0.5
BRAC5686.1f,P,nopup,,,,0.4
BRAC5388.4b,P,nopup,,,,0.5
BRAC5388.4c,P,nopup,,,,0.7
BRAC5487.3j,P,nopup,,,,0.6
BRAC5487.3k,M,nopup,,,,0.6
BRAC5481.2g,E,nopup,,,,0.8
BRAC5487.3i,E,nopup,,,,0.3
BRAC5334.5d,NA,nopup,,,,0.6
BRAC5334.5e,NA,nopup,,,,0.9
BRAC5334.5f,NA,nopup,,,,1
BRAC5334.5g,NA,nopup,,,,0.6
BRAC5529.4b,NA,nopup,,,,0.8
BRAC5334.5h,NA,nopup,,,,0.9
BRAC5873.1d,NA,nopup,,,,0.5
BRAC5873.1e,NA,nopup,,,,0.5
BRAC6031.1d,NA,nopup,,,,0.2
BRAC6031.1f,NA,nopup,,,,0.4
BRAC6031.1e,NA,nopup,,,,0.4
BRAC6031.1g,D,nopup,,,,0.3
BRAC5077.5b,M,baseline,,,,0.3
BRAC5077.5d,M,baseline,,,,0.3
BRAC4939.7d,P,baseline,,,,0.2
BRAC4939.7c,D,baseline,,,,0.2
BRAC5077.5e,M,baseline,,,,0.2
BRAC5077.5a,D,baseline,,,,0.1
BRAC4939.7e,D,baseline,,,,0.1
BRAC4895.5b,,baseline,,,,0.1
BRAC4895.5e,M,baseline,,,,0
BRAC4895.5d,E,baseline,,,,0
BRAC4895.5c,D,baseline,,,,0
BRAC4943.6b,D,baseline,,,,0.2
BRAC5007.4d,D,baseline,,,,0.1
BRAC5007.4c,P,baseline,,,,0.2
BRAC4943.6c,M,baseline,,,,0
BRAC5163.3h,P,baseline,,,,
BRAC4857.7j,M,baseline,,,,
BRAC5163.3h,M,baseline,,,,
BRAC4857.7j,D,baseline,,,,0.6
BRAC5163.3h,D,baseline,,,,0.1
BRAC4857.7j,P,baseline,,,,0.6
BRAC4709.7c,M,baseline,,,,0.2
BRAC4709.7d,P,baseline,,,,0.3
BRAC4742.4b,E,baseline,,,,0.1
BRAC4742.4c,P,baseline,,,,0.2
BRAC4709.7c,M,baseline,,,,0.4
BRAC4709.7d,E,baseline,,,,0.2
BRAC4742.4b,P,baseline,,,,0
BRAC4742.4c,P,baseline,,,,0.1
BRAC5178.2i,P,baseline,,,,0
BRAC4908.4e,P,baseline,,,,0.4
BRAC5178.2j,E,baseline,,,,0.2
BRAC5215.1c,P,baseline,,,,0.1
BRAC4673.7b,E,baseline,,,,
BRAC5215.1d,E,baseline,,,,0.2
BRAC4908.4f,E,baseline,,,,0
BRAC4673.7c,D,baseline,,,,0.1
BRAC5204.2i,D,baseline,,,,0.2
BRAC5266.1g,M,baseline,,,,0
BRAC5266.1f,M,baseline,,,,0
BRAC5204.2j,D,baseline,,,,0.1
BRAC5195.3c,,baseline,,,,0.2
BRAC5195.3e,P,baseline,,,,0.3
BRAC5195.3d,M,baseline,,,,0.2
BRAC5204.2h,P,baseline,,,,
BRAC5048.5e,M,baseline,,,,0.1
BRAC5081.3c,P,baseline,,,,0
BRAC5081.3e,E,baseline,,,,0.1
BRAC5081.3d,P,baseline,,,,
BRAC5018.4d,E,baseline,,,,0
BRAC5048.5d,D,baseline,,,,0.2
BRAC5048.5c,D,baseline,,,,0
BRAC5018.4e,M,baseline,,,,0.1
BRAC5204.2i,M,baseline,,,,0.1
BRAC5266.1g,D,baseline,,,,0.1
BRAC5266.1f,P,baseline,,,,0
BRAC5204.2j,D,baseline,,,,0.1
BRAC5195.3c,E,baseline,,,,0.1
BRAC5195.3e,P,baseline,,,,0.1
BRAC5195.3d,M,baseline,,,,0.2
BRAC5204.2h,P,baseline,,,,0
BRAC5048.5e,M,baseline,,,,0.2
BRAC5081.3c,P,baseline,,,,0
BRAC5081.3e,D,baseline,,,,0.1
BRAC5081.3d,P,baseline,,,,0.2
BRAC5204.2i,E,baseline,,,,0.1
BRAC5204.2j,E,baseline,,,,0.3
BRAC5266.1f,M,baseline,,,,0
BRAC5266.1g,M,baseline,,,,0.1
BRAC5195.3e,M,baseline,,,,0
BRAC5195.3c,P,baseline,,,,0.2
BRAC5195.3d,P,baseline,,,,0.2
BRAC5204.2h,P,baseline,,,,0.4
BRAC5081.3e,P,baseline,,,,0.2
BRAC5081.3c,P,baseline,,,,0.1
BRAC5048.5e,P,baseline,,,,0.3
BRAC5081.3d,E,baseline,,,,0.2
BRAC5048.5c,M,baseline,,,,0.1
BRAC5018.4e,P,baseline,,,,0.1
BRAC5018.4d,P,baseline,,,,0.1
BRAC5048.5d,D,baseline,,,,0.2
BRAC5204.2i,E,baseline,,,,0.3
BRAC5204.2j,E,baseline,,,,0.1
BRAC5266.1f,E,baseline,,,,0.1
BRAC5266.1g,M,baseline,,,,0.2
BRAC5195.3e,D,baseline,,,,0.2
BRAC5195.3c,D,baseline,,,,0.1
BRAC5204.2h,P,baseline,,,,0.4
BRAC5195.3d,P,baseline,,,,0.3
BRAC5081.3e,D,baseline,,,,0.5
BRAC5081.3d,P,baseline,,,,0.6
BRAC5081.3c,D,baseline,,,,0.3
BRAC5048.5e,D,baseline,,,,0.4
BRAC5048.5c,M,baseline,,,,0.1
BRAC5018.4e,E,baseline,,,,0.3
BRAC5018.4d,P,baseline,,,,0.1
BRAC5048.5d,NA,baseline,,,,0.3
BRAC5383.3c,NA,baseline,,,,0.1
BRAC5383.3h,NA,baseline,,,,0.2
BRAC5385.5d,NA,baseline,,,,0.4
BRAC5603.2d,NA,baseline,,,,0.1
BRAC5922.1d,NA,baseline,,,,0.3
BRAC5529.4c,NA,baseline,,,,0.2
BRAC5529.4e,NA,baseline,,,,0.5
BRAC5922.1c,NA,baseline,,,,0.3
BRAC5922.1b,NA,baseline,,,,0.4
BRAC5204.4c,NA,baseline,,,,0.4
BRAC5585.1f,NA,baseline,,,,0.4
BRAC5583.1g,NA,baseline,,,,0.4
BRAC5583.1h,NA,baseline,,,,0.7
BRAC5575.1d,NA,baseline,,,,0.2
BRAC5383.3g,NA,baseline,,,,0.2
BRAC5480.3g,NA,baseline,,,,0.3
BRAC5383.3f,NA,baseline,,,,0.3
BRAC5585.1e,NA,baseline,,,,0.1
BRAC5506.2e,NA,baseline,,,,0
BRAC5204.4d,NA,baseline,,,,0.1
BRAC5587.1e,NA,baseline,,,,0.1
BRAC5685.1g,NA,baseline,,,,0.4
BRAC5686.1f,E,baseline,,,,0.1
BRAC5481.2f,M,baseline,,,,0.1
BRAC5481.2e,P,baseline,,,,0.1
BRAC5479.3d,P,baseline,,,,0.1
BRAC5479.3e,E,baseline,,,,0
BRAC5546.3b,D,baseline,,,,0.1
BRAC5603.2d,P,baseline,,,,0.3
BRAC5603.2e,D,baseline,,,,0.1
BRAC5603.2f,E,baseline,,,,0.3
BRAC5685.1g,P,baseline,,,,0.1
BRAC5686.1f,P,baseline,,,,0.3
BRAC5388.4b,P,baseline,,,,0
BRAC5388.4c,P,baseline,,,,0.2
BRAC5487.3j,M,baseline,,,,0.1
BRAC5487.3k,E,baseline,,,,0
BRAC5481.2g,E,baseline,,,,0.2
BRAC5487.3i,NA,baseline,,,,0.1
BRAC5334.5d,NA,baseline,,,,0.1
BRAC5334.5e,NA,baseline,,,,0.2
BRAC5334.5f,NA,baseline,,,,0.2
BRAC5334.5g,NA,baseline,,,,0.1
BRAC5529.4b,NA,baseline,,,,0.1
BRAC5334.5h,,baseline,,,,0.1
