Time,estrous_stage,Age,Body Weight,Actual time,Mouse #,LH,Prl,P4,E2,E1,T,A4
2am,E,16w 5d,19.7,03:08,26,0.09,67.54,1.93,2.7,0.6,0.01,0.14
2am,E,17w 1d,20.6,02:30,36,0.26,120.52,1.58,6.6,7.87,0.01*,0.04*
2am,E,17w 1d,22.9,02:43,45,0.22,76.52,2.22,6.42,1.65,0.01*,0.07
2am,E,16w 6d,22,03:00,50,0.16,44.9,1.97,34.2,0.72,0.01*,0.04*
2am,E,16w 6d,22.4,02:47,64,0.07,62.6,2.66,24.6,0.35*,0.01*,0.29
2am,E,17w,21.8,02:50,65,0.04,95.28,3.22,6.88,0.58,0.01*,0.41
2am,E,17w 1d,20.1,03:14,71,0.08,54.84,2.8,12.74,0.35*,0.01*,0.04*
10am,E,12w 6d,19.5,11:27,7,0.39,33.6,2.58,3.78,6.26,0.01*,0.26
10am,E,13w,19.9,11:44,12,0.23,37.28,2.42,6.88,4.7,0.01*,0.04*
10am,E,13w 2d,18.5,11:00,18,0.09,33.06,7.74,6.74,0.35*,0.01*,0.04*
10am,E,12w 5d,21,10:20,2,0.87,78.32,8.18,44.4,3.98,0.01*,0.09
6pm,E,18w 3d,25.2,18:00,53,0.19,100.66,11.12,16.84,0.5,0.01,0.05
6pm,E,17w 6d,20.4,19:09,68,0.17,28.16,1.58,25.6,0.5,0.01,0.05
6pm,E,18w 2d,23.3,18:00,49,0.03,67.22,6.14,12.5,0.5,0.01,0.05
6pm,E,17w 5d,22.6,18:06,66,0.03,46.8,4.34,18.04,1.36,0.01,0.05
6pm,E,17w 6d,20.3,18:15,67,0.12,41.48,3.4,5.57,0.5,0.01,0.18
2am,M,16w 6d,21.8,02:31,30,0.17,68.32,0.96,7.06,0.35*,0.01*,0.04*
2am,M,16w 6d,21.5,02:15,32,0.27,62.78,1.43,17.92,0.35*,0.01*,0.09
2am,M,17w 1d,23.1,03:00,57,0.26,68.28,2.38,21.2,0.35*,0.01*,0.04*
2am,M,17w,23.2,02:35,70,0.17,64.12,2.52,15.14,0.35*,0.01*,0.04*
10am,M,12w 6d,20.3,11:55,6,0.21,31.28,0.49,33.6,3.21,0.01*,0.04*
10am,M,13w,19.6,10:30,8,1,70.46,3.8,10.9,8.02,0.01*,0.26
10am,M,12w 6d,21.8,10:52,13,0.5,75.26,0.81,42.4,11.64,0.01,0.18
10am,M,14w 5d,22.2,10:20,5,0.23,56.42,7.6,30.4,0.35*,0.01*,0.04*
10am,M,,,,9,0.25,45.22,7.4,10.26,5.64,0.01*,0.05
6pm,M,18w,21.7,19:21,22,0.06,51.4,2.12,37.4,3.42,0.01*,0.12
6pm,M,17w 5d,20.8,19:20,55,0.08,17.26,5.74,11.54,3.8,0.01*,0.11
6pm,M,17w 5d,20.7,19:00,61,0.25,22.62,4.08,32.8,26.6,0.01*,0.18
6pm,M,17w 6d,21.7,18:51,69,0.14,52.08,4.52,5.56,0.35*,0.01*,0.09
2am,D1,11w 5d,18.5,02:07,78,0.42,127.22,3.91,12.28,6.24,0.01*,0.18
2am,D1,11w 5d,17.3,03:06,77,0.42,34.64,2.1,13.02,0.35*,0.01*,0.04*
2am,D1,11w 5d,19.7,03:26,85,0.33,38.48,5.72,17.98,0.35*,0.02,0.38
2am,D1/2,17w,23.6,03:10,54,0.28,72.86,0.85,25.6,0.35*,0.07,0.45
2am,D2,17w 1d,22.5,03:33,58,0.27,47.8,0.31,0.35,7.84,0.01*,0.06
2am,D2,16w 5d,21.3,02:12,38,0.72,65.78,0.5,33.17,0.35*,0.01*,0.24
2am,D2,17w,19.9,03:45,60,0.29,40.7,0.73,25.8,0.35*,0.01*,0.42
2am,D2,16w 6d,22.7,03:31,63,0.08,35.18,0.96,26,0.35*,0.01*,0.29
2am,D2,16w 5d,25.5,02:33,31,0.17,82.1,8.42,10.64,0.35*,0.01*,0.05
10am,D1,13w,19.6,11:26,10,1.47,34.68,0.1,77.33,11.83,0.01*,0.04*
10am,D1,13w 1d,20,10:30,1,0.04,51.3,0.94,60,30.1,0.01*,0.04*
10am,D?,12w 5d,21.2,10:52,17,0.33,54.46,0.34,56.2,24.6,0.01*,0.04*
10am,D2,14w 2d,21.4,10:30,20,0.86,108.08,0.41,20.4,9.5,0.01*,0.05
10am,D2,13w,22.3,10:50,23,1,82.26,0.4,47,1.78,0.01*,0.04*
10am,D2,12w 6d,22.1,11:08,25,0.83,67.58,0.35,47.4,10,0.01,0.05
6pm,D1,18w,22,18:52,72,0.25,52.82,0.99,3.86,7.74,0.01*,0.04*
6pm,D1,17w 5d,21.1,19:35,62,0.03,16.68,1.66,11.82,10.64,0.01*,0.04*
6pm,D1,17w 6d,21.2,18:35,40,0.08,39.52,1.69,25,0.78,0.01*,0.04*
6pm,D1,17w 6d,22.9,19:34,42,0.29,68.58,1.68,31.8,0.35*,0.01*,0.49
6pm,D1,18w,21.6,19:37,48,0.3,58.04,0.37,23.4,0.35*,0.01*,0.3
6pm,D1,12w 4d,19.6,18:20,82,1.12,25.32,1.16,7.04,6.64,0.01*,0.12
6pm,D1,12w 1d,17.7,18:55,89,0.18,54.6,0.8,27,49,0.01*,0.62
