cell ,state,AP_threshold_mV,Comments
  2023_05_26_0002-AP  ,Pre,-23.0809992,"this is based on file APthreshold_v1.xlsx (version from May 4, 2024)"
  2023_06_17_0010-AP  ,Pre,-20.98083496,
  2023_06_17_0022-AP  ,Pre,-17.706977,
  2023_06_25_0000-AP  ,Pre,-27.24942294,
  2023_06_25_0002-AP  ,Pre,-26.38383345,
  2023_06_25_0003-AP  ,Pre,-46.48590088,
  2023_06_25_0007-AP  ,Pre,-26.93939209,
  2023_06_25_0011-AP  ,Pre,-29.63011292,
  2023_06_25_0013-AP  ,Pre,-27.03559689,
  2023_06_25_0017-AP  ,Pre,-33.39094601,
  2023_06_24_0000-AP  ,Pre,-38.87681298,
  2023_06_24_0001-AP  ,Pre,-28.56987401,
  2023_06_24_0002-AP  ,Pre,-22.80855179,
  2023_06_24_0003-AP  ,Pre,-30.59618401,
  2023_06_24_0007-AP  ,Pre,-29.66562907,
  2023_06_24_0008-AP  ,Pre,-23.40657822,
  2023_06_24_0010-AP  ,Pre,-27.05891927,
  2023_06_24_0009-AP  ,Pre,-30.31921387,
  2023_06_24_0011-AP  ,Pre,-37.60397023,
  2023_06_14_0007-AP  ,Pre,-32.06380208,
  2019_06_15_0001-AP  ,Pre,-27.47786672,
  2019_06_15_0008-AP  ,Pre,-35.8644709,
  2019_06_16_0001-AP  ,Pre,-23.98681641,
  2019_06_16_0011-AP  ,Pre,-33.13446045,
  2019_06_16_0019-AP  ,Pre,-13.90716995,
  2019_06_16_0026-AP  ,Pre,-25.42572021,
  2019_06_27_0002-AP  ,Pre,-28.78525678,
  2019_06_27_0011-AP  ,Pre,-20.51989766,
  2019_06_29_0002-AP  ,Pre,-28.33105469,
  2019_06_29_0011-AP  ,Pre,-23.59100113,
  2019_06_30_0002-AP  ,Pre,-36.47682884,
  2019_06_30_0012-AP  ,Pre,-29.67376709,
  2019_06_30_0030-AP  ,Pre,-39.36235295,
  2019_07_09_0001-AP  ,Pre,-31.6212972,
  2019_07_09_0010-AP  ,Pre,-28.30947292,
  2019_07_29_0007-AP  ,Pre,-18.80126953,
  2019_07_29_0017-AP  ,Pre,-38.99778169,
  2019_07_29_0024-AP  ,Pre,-29.97688119,
  2019_07_30_0016-AP  ,Pre,-26.84709821,
  2019_07_30_0030-AP  ,Pre,-39.39525191,
  2019_07_30_0042-AP  ,Pre,-33.12952378,
  2019_08_02_0001-AP  ,Pre,-30.48270089,
  2019_08_02_0009-AP  ,Pre,-37.55431049,
  2019_08_02_0022-AP  ,Pre,-31.08406839,
  2019_08_19_0001-AP  ,Pre,-31.27615792,
  2023_01_24_0012-AP  ,Agg+,-27.68170392,
  2023_01_24_0019-AP  ,Agg+,-33.05908203,
  2023_01_23_0020-AP  ,Agg+,-23.28615772,
  2023_02_15_0009-AP  ,Agg+,-26.1324369,
  2023_02_15_0015-AP  ,Agg+,-33.33315642,
  2023_02_15_0023-AP  ,Agg+,-15.13353984,
  2023_02_21_0009-AP  ,Agg+,-18.52651743,
  2023_02_27_0005-AP  ,Agg+,-34.3560791,
  2023_05_31_0001-AP  ,Agg+,-28.43802316,
  2023_05_31_0021-AP  ,Agg+,-28.02124023,
  2023_05_31_0027-AP  ,Agg+,-27.17023577,
  2023_10_03_0001  ,Agg-,-24.2561881,
  2023_10_03_0012-I0  ,Agg-,-47.00589771,
  2023_10_03_0017-I0  ,Agg-,-18.449433,
  2023_10_03_0032-I0  ,Agg-,-32.00683594,
  2023_10_03_0037-I0  ,Agg-,-22.98549436,
  2023_10_09_0001  ,Agg-,-30.71899414,
  2023_10_09_0008-I0  ,Agg-,-27.02539617,
  2023_10_09_0015-I0  ,Agg-,-37.68310547,
  2023_10_09_0022-I0  ,Agg-,-28.97839668,
  2023_10_09_0028  ,Agg-,-20.62658361,
  2023_10_09_0036-I0  ,Agg-,-27.72452615,
  2023_10_09_0049-I0  ,Agg-,-28.90902433,
  2023_10_09_0055-I0  ,Agg-,-27.36975628,
  2023_10_09_0061-I0  ,Agg-,-23.17948775,
  2023_10_16_0001-I0  ,Agg-,-32.24451402,
  2023_10_16_0007-I0  ,Agg-,-34.95544434,
  2023_10_16_0015-I0  ,Agg-,-27.46342678,
  2023_10_16_0021-I0  ,Agg-,-22.93748122,
