cell_id,Vm_control,Vm_drug,IR_control,IR_drug,Ih_control,Ih_drug,firing_freq_control,firing_freq_drug,conc_nM,identity
s1c2 17062023,-51.9729713,-70.00679674,745.4814607,1219.0877,0,0,,,100,npy
S2C1 25052023,-53.15089513,-73.14136539,677.656372,364.8645821,0,0,,,100,npy
S3C2 25052023,-57.52993881,-89.03005702,,,,,,,100,npy
S2C2 25062023,-40.47766881,-36.60097383,,,,,,,100,npy
S1C6 25062023 (11abf),-42.33070152,,,,,,,,100,npy
S3C1 30072023,-43.24875952,-64.9324321,634.5398805,651.5752282,14.5,12.94,9.2,0,100,npy
S2C1 22072023,-44.09936962,-49.1560239,898.3603221,965.4,5.7,2.23,0.8,0,10,npy
S1C2 23072023,-48.10527916,-58.64170794,858.9724712,781.228592,10.19,11.08,0.25,0,10,npy
S2C1 23072023,-39.43600716,-43.66228154,649.5722748,606.1925648,15.5,11.7,7.18,0.74,10,npy
S2C1 24072023,-49.12800706,-52.35746004,413.2765033,359.3407257,7.05,,0,0,10,npy
S1C1 30072023,-45.24802121,-48.85272872,232.6876585,268.7661163,16.1,19.99,2.7,0,10,npy
S2C1 30072023,-47.66884301,-53.95698742,154.6885753,140.0296638,4.46,4.3,0,0,10,npy
S1C1 26092023,-57.11374632,-53.08403717,545.3121247,387.6952437,4.27,3.4,,,100,AgRP
S2C1 26092023,-39.71811512,-31.59303301,795.7064943,883.7632111,2.14,3.81,,,100,AgRP
S1C1 25092023,-74.34846671,-70.93053512,72.469344,151.5,7.2,3.6,,,100,AgRP
S2C1 25092023,-40.07757627,-37.97261639,738.588488,719.0159636,8.21,9.55,,,100,AgRP
S1C1 19092023,-30.36710929,-29.34037218,913.6700981,731.1597085,3.57,3.75,,,100,AgRP
S2C1 19092023,-51.99233856,-51.96531028,868.6859515,662.4716052,0,0,,,100,AgRP
S3C1 19092023,-56.91047232,-79.61272483,741.8640614,407.5349006,8.64,2.08,,,100,AgRP
S2C1 18092023,-55.23788622,-28.35668182,728.3490821,786.5437297,8.7,9.5,,,100,AgRP
