Event,I_Injected(pA),Event start ,Event end ,Ramp_start,Ramp_end,filename,state
10.0,115.0,2060.60009765625,2063.80004882812,1080.0,2080.0,S1C7 05012024.xlsx,Pre
11.0,125.0,1883.59997558593,1886.80004882812,1080.0,2080.0,S1C7 05012024.xlsx,Pre
11.0,125.0,2038.59997558593,2041.90002441406,1080.0,2080.0,S1C7 05012024.xlsx,Pre
12.0,135.0,1782.69995117187,1786.0,1080.0,2080.0,S1C7 05012024.xlsx,Pre
12.0,135.0,1921.09997558593,1924.40002441406,1080.0,2080.0,S1C7 05012024.xlsx,Pre
12.0,135.0,2045.5,2048.80004882812,1080.0,2080.0,S1C7 05012024.xlsx,Pre
13.0,145.0,1758.30004882812,1761.59997558593,1080.0,2080.0,S1C7 05012024.xlsx,Pre
13.0,145.0,1877.59997558593,1880.90002441406,1080.0,2080.0,S1C7 05012024.xlsx,Pre
13.0,145.0,2011.40002441406,2014.69995117187,1080.0,2080.0,S1C7 05012024.xlsx,Pre
14.0,155.0,1718.40002441406,1721.69995117187,1080.0,2080.0,S1C7 05012024.xlsx,Pre
14.0,155.0,1855.40002441406,1858.59997558593,1080.0,2080.0,S1C7 05012024.xlsx,Pre
14.0,155.0,1957.69995117187,1961.0,1080.0,2080.0,S1C7 05012024.xlsx,Pre
14.0,155.0,2041.69995117187,2045.0,1080.0,2080.0,S1C7 05012024.xlsx,Pre
15.0,165.0,1681.59997558593,1684.90002441406,1080.0,2080.0,S1C7 05012024.xlsx,Pre
15.0,165.0,1795.59997558593,1798.90002441406,1080.0,2080.0,S1C7 05012024.xlsx,Pre
15.0,165.0,1877.19995117187,1880.5,1080.0,2080.0,S1C7 05012024.xlsx,Pre
15.0,165.0,1948.69995117187,1952.09997558593,1080.0,2080.0,S1C7 05012024.xlsx,Pre
15.0,165.0,1999.40002441406,2002.69995117187,1080.0,2080.0,S1C7 05012024.xlsx,Pre
1.0,25.0,1795.69995117187,1800.5,1080.0,2080.0,S1C2 17062023.xlsx,Pre
1.0,25.0,2033.09997558593,2038.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
2.0,35.0,1707.80004882812,1712.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
2.0,35.0,1907.80004882812,1912.80004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
3.0,45.0,1613.19995117187,1617.90002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
3.0,45.0,1793.80004882812,1799.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
3.0,45.0,1934.40002441406,1940.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
4.0,55.0,1593.09997558593,1597.90002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
4.0,55.0,1752.09997558593,1757.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
4.0,55.0,1871.40002441406,1877.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
4.0,55.0,1992.30004882812,1998.69995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
5.0,65.0,1542.90002441406,1547.80004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
5.0,65.0,1750.90002441406,1756.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
5.0,65.0,1868.5,1874.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
5.0,65.0,2021.59997558593,2028.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
6.0,75.0,1578.69995117187,1583.5,1080.0,2080.0,S1C2 17062023.xlsx,Pre
6.0,75.0,1726.09997558593,1731.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
6.0,75.0,1854.30004882812,1860.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
6.0,75.0,1966.19995117187,1972.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
7.0,85.0,1546.90002441406,1551.69995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
7.0,85.0,1683.30004882812,1688.5,1080.0,2080.0,S1C2 17062023.xlsx,Pre
7.0,85.0,1794.19995117187,1800.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
7.0,85.0,1897.19995117187,1903.80004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
7.0,85.0,1991.19995117187,1999.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
7.0,85.0,2051.39990234375,2061.39990234375,1080.0,2080.0,S1C2 17062023.xlsx,Pre
8.0,95.0,1469.69995117187,1474.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
8.0,95.0,1617.5,1623.0,1080.0,2080.0,S1C2 17062023.xlsx,Pre
8.0,95.0,1745.30004882812,1751.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
8.0,95.0,1839.69995117187,1846.90002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
8.0,95.0,1916.30004882812,1924.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
8.0,95.0,2001.40002441406,2011.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,1469.19995117187,1473.90002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,1594.5,1599.80004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,1737.0,1743.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,1816.0,1823.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,1912.80004882812,1921.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,1988.59997558593,1998.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
9.0,105.0,2055.19995117187,2066.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1430.80004882812,1435.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1553.0,1558.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1653.09997558593,1659.5,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1728.90002441406,1736.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1802.69995117187,1811.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1886.69995117187,1896.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,1955.40002441406,1966.0,1080.0,2080.0,S1C2 17062023.xlsx,Pre
10.0,115.0,2020.09997558593,2029.40002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
11.0,125.0,1392.40002441406,1397.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
11.0,125.0,1500.69995117187,1506.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
11.0,125.0,1590.19995117187,1596.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
11.0,125.0,1655.5,1663.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
11.0,125.0,1725.90002441406,1734.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
11.0,125.0,1847.0,1858.0,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1352.09997558593,1356.90002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1452.59997558593,1458.0,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1531.40002441406,1537.5,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1618.69995117187,1625.59997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1683.90002441406,1692.30004882812,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1750.80004882812,1761.90002441406,1080.0,2080.0,S1C2 17062023.xlsx,Pre
12.0,135.0,1814.0,1823.5,1080.0,2080.0,S1C2 17062023.xlsx,Pre
13.0,145.0,1343.5,1348.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
13.0,145.0,1441.80004882812,1447.09997558593,1080.0,2080.0,S1C2 17062023.xlsx,Pre
13.0,145.0,1536.19995117187,1542.69995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
13.0,145.0,1617.90002441406,1625.19995117187,1080.0,2080.0,S1C2 17062023.xlsx,Pre
