mice_ID,implant_type,hormone_manipulation,state_before,parental_state_before,parental_state_comment,state_after,state_after_latency,experiment_day,comments
BRAC6361.3g,glue,blank,Agg-,parental-,,Agg+,137,04/03/2022,
BRAC6361.3h,glue,blank,Agg-,parental-,,Agg-,,04/03/2022,
BRAC6546.2d,glue,blank,Agg-,parental+,build a nest around two pups,Agg+,189,04/03/2022,
BRAC6546.2e,glue,blank,Agg-,parental+,retrieve and build nest around pups,Agg+,53,04/03/2022,
BRAC6546.2g,glue,blank,Agg-,parental-,,Agg+,41,04/03/2022,
BRAC6565.3f,glue,blank,Agg-,parental-,,Agg+,17,15/02/2022,
BRAC6710.1h,glue,blank,Agg-,parental-,,Agg+,32,15/02/2022,
BRAC6710.1i,glue,blank,Agg-,parental+,build a nest around two pups,Agg+,97,15/02/2022,
BRAC6710.1j,glue,blank,Agg-,parental+,build a nest around two pups,Agg+,520,15/02/2022,aggression behaviour didn't get super escalated
BRAC6366.5e,glue,estradiol,Agg-,parental-,,Agg+,30,29/05/2022,
BRAC6552.2f,glue,estradiol,Agg-,parental-,,Agg+,65,29/05/2022,
BRAC6576.3h,glue,estradiol,Agg-,parental-,,Agg+,71,29/05/2022,
BRAC6576.3i,glue,estradiol,Agg-,parental-,,Agg+,40,29/05/2022,
BRAC6822.1d,glue,estradiol,,,,Agg+,37,18/05/2022,
BRAC6822.1e,glue,estradiol,,,,Agg+,43,18/05/2022,
BRAC6822.1f,glue,estradiol,,,,Agg+,134,18/05/2022,
BRAC6822.1g,glue,estradiol,,,,Agg+,77,18/05/2022,
BRAC6840.1c,glue,estradiol,,,,Agg+,63,18/05/2022,
BRAC6840.1d,glue,estradiol,,,,Agg+,89,18/05/2022,
BRAC6840.1e,glue,estradiol,,,,Agg+,69,18/05/2022,
BRAC6840.1h,glue,estradiol,,,,Agg-,,18/05/2022,
BRAC6401.2c,glue,progesterone,,,,Agg+,,04/02/2022,
BRAC6562.1j,glue,progesterone,,,,Agg+,,04/02/2022,
BRAC6260.7g,glue,progesterone,,,,Agg+,,16/02/2022,
BRAC6361.3i,glue,progesterone,,,,Agg+,,16/02/2022,
BRAC6361.3j,glue,progesterone,,,,Agg+,,16/02/2022,
BRAC6546.2c,glue,progesterone,,,,Agg+,,16/02/2022,
BRAC6203.6d,glue,progesterone,,,,Agg+,90,04/03/2022,
BRAC6222.7i,glue,progesterone,,,,Agg+,179,04/03/2022,
BRAC6546.2f,glue,progesterone,,,,Agg+,36,04/03/2022,
BRYA72.5b,OVX,OVX,,,,Agg-,,21/12/2021,
BRYB93.1e,OVX,OVX,,,,Agg-,,21/12/2021,
BRYB93.1f,OVX,OVX,,,,Agg+,,21/12/2021,
BRYC72.1l,OVX,OVX,,,,Agg+,,21/12/2021,
BRYD35.1f,OVX,OVX,,,,Agg+,,21/12/2021,
BRAC5665.4d,silastic_tube,blank,,,,Agg-,,,valid
BRAC5665.4e,silastic_tube,blank,,,,Agg-,,,valid
BRAC5668.5f,silastic_tube,progesterone(5mg/ml),,,,Agg+,,,valid
BRAC5816.5f,silastic_tube,progesterone(5mg/ml),,,,Agg-,,,invalid
BRAC5565.4h,silastic_tube,estradiol(10microg/ml),,,,Agg-,,,valid
BRAC5565.4i,silastic_tube,progesterone(5mg/ml),,,,Agg-,,,valid
BRAC5565.4j,silastic_tube,blank,,,,Agg-,,,valid
BRAC5565.4k,silastic_tube,progesterone(5mg/ml),,,,Agg-,,,invalid
BRAC5744.5e,silastic_tube,estradiol(10microg/ml),,,,Agg-,,,valid
BRAC5744.5f,silastic_tube,blank,,,,Agg+,,,valid
BRAC5744.5g,silastic_tube,progesterone(5mg/ml),,,,Agg+,,,invalid
BRAC5744.5h,silastic_tube,estradiol(10microg/ml),,,,Agg+,,,valid
BRAC6241.1j,silastic_tube,estradiol(100microg/ml),,,,Agg+,,,
BRAC6241.1k,silastic_tube,estradiol(100microg/ml),,,,Agg-,,,
BRAC6241.1l,silastic_tube,progesterone(1mg/ml),,,,Agg-,,,
BRAC6241.1m,silastic_tube,progesterone(1mg/ml),,,,Agg+,,,
BRAC5971.3g,silastic_tube,progesterone(1mg/ml),,,,Agg-,,,
BRAC5971.3h,silastic_tube,progesterone(1mg/ml),,,,Agg-,,,
BRAC5971.3i,silastic_tube,estradiol(100microg/ml),,,,Agg-,,,
BRAC5971.3j,silastic_tube,estradiol(100microg/ml),,,,Agg-,,,
BRAC6073.5e,injection,oil,Agg-,,,Agg+,65,02/11/2021,
BRAC6073.5f,injection,oil,Agg-,,,Agg+,137,02/11/2021,
BRAC6225.2c,injection,oil,Agg-,,,Agg+,151,02/11/2021,
BRAC6338.1f,injection,oil,Agg-,,,Agg+,363,05/11/2021,
BRAC6338.1g,injection,oil,Agg-,,,Agg+,237,05/11/2021,
BRAC5921.3f,injection,progesterone,,,,Agg+,707,21/09/2021,
BRAC5923.2h,injection,progesterone,,,,Agg+,108,21/09/2021,
BRAC5923.2i,injection,progesterone,,,,Agg+,80,21/09/2021,
BRAC5923.2j,injection,progesterone,,,,Agg-,,23/09/2021,
BRAC5941.2h,injection,progesterone,,,,Agg-,,23/09/2021,
BRAC5941.2i,injection,progesterone,,,,Agg+,48,23/09/2021,
BRAC5941.2j,injection,progesterone,,,,Agg+,372,23/09/2021,
BRAC6331.1i,injection,estradiol,Agg-,,,Agg+,497,05/11/2021,"blurry behaviour, late contact onset"
BRAC6336.1j,injection,estradiol,Agg-,,,Agg+,531,05/11/2021,"blurry behaviour, late contact onset"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
