Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
JKAX12.3d_post,2022-10-29 18:32:31,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.3d_PorgesteroneKO_post_pup_top_left 02_03_2022 16_42_09 1.mp4,1004.440,29.96,No focal subject,pup intro,,,POINT,9.151,9.151,NA,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup intro,,,POINT,10.650,10.650,NA,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup intro,,,POINT,12.992,12.992,NA,,
JKAX12.3d_post,2022-10-29 18:32:31,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.3d_PorgesteroneKO_post_pup_top_left 02_03_2022 16_42_09 1.mp4,1004.440,29.96,No focal subject,pup sniff,,,STATE,14.401,24.651,10.250,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup sniff,,,STATE,16.957,24.457,7.500,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup sniff,,,STATE,20.462,28.712,8.250,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup intro,,,POINT,21.665,21.665,NA,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup intro,,,POINT,23.654,23.654,NA,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup sniff,,,STATE,26.456,28.206,1.750,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup sniff,,,STATE,26.642,30.644,4.002,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup sniff,,,STATE,26.901,31.901,5.000,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,28.206,37.456,9.250,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup intro,,,POINT,29.506,29.506,NA,,
JKAX12.1d_post,2022-10-29 18:29:05,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1d_PorgesteroneKO_post_pup_bottom_right 29_01_2022 20_07_08 4.mp4,969.770,29.95,No focal subject,pup intro,,,POINT,29.946,29.946,NA,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,30.644,34.645,4.001,,
JKAX6.2e_post,2022-10-29 18:39:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2e_KOprogesterone_post_pup_top_left 20_12_2021 18_11_53 1.mp4,960.130,29.99,No focal subject,pup groom,,,STATE,30.716,38.465,7.749,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup sniff,,,STATE,30.736,36.735,5.999,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,31.901,34.401,2.500,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,35.423,42.671,7.248,,
JKAX4.3d_post,2022-10-29 15:59:16,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3d_PorgesteroneKO_post_pup_top_right 29_01_2022 20_07_08 2.mp4,968.900,29.99,No focal subject,pup groom,,,STATE,36.212,45.464,9.252,,
