,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAH27.2h_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1404.1,4537.8,193.0,60.1903,0.6694,19.7737,14.9875,0.5888,74.1372,57827.0,17.6185,191.0,53.0,138.0,43.6769,34068.0,3.9724,56.0,34.0,22.0,328.75,70.0175,0.8427,25.474,17.5,0.673,67.6517,17.6012,191.0,37.0,39.5121,6.5521,56.0,20.0,58.2491,12.6424,121.0,37.0,33.474,4.5469,45.0,20.0,0.5881
1,JKAH27.2h_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1392.2,4541.9,22.75,18.7047,0.8171,7.1821,4.4092,0.7651,79.1505,7361.0,21.2608,164.0,53.0,111.0,34.8064,3237.0,1.5966,38.0,32.0,6.0,80.25,34.7278,0.8362,13.0722,8.6702,0.691,87.8638,38.7433,220.0,41.0,30.935,3.8688,38.0,20.0,91.387,43.4251,220.0,41.0,29.3696,3.3874,36.0,20.0,0.2735
2,JKAH27.2h_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1391.1,4554.8,49.0,28.1201,0.7787,10.3925,6.6071,0.7754,38.9167,7939.0,2.5727,46.0,34.0,12.0,31.6225,6451.0,1.6667,36.0,28.0,8.0,153.25,45.8341,0.9167,16.3323,11.9843,0.6558,42.3187,11.7341,126.0,30.0,28.2293,3.4811,36.0,19.0,44.0073,13.9393,126.0,30.0,26.545,2.8635,35.0,19.0,0.3221
3,JKAH27.2h_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1399.6,5180.9,16.5,15.981,0.8119,5.9191,4.0651,0.7399,53.7397,3923.0,13.9334,83.0,35.0,48.0,26.9041,1964.0,3.8085,34.0,20.0,14.0,87.0,33.8718,0.9529,11.7583,9.5,0.5151,47.0857,18.1058,91.0,25.0,18.3657,5.0001,34.0,12.0,45.3321,18.6838,91.0,25.0,16.1155,1.8614,22.0,12.0,0.198
4,JKAH27.2h_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1394.8,5205.1,166.5,49.93,0.8393,17.1349,13.8663,0.5753,32.5149,21850.0,1.8156,39.0,28.0,11.0,30.9866,20823.0,4.2326,43.0,21.0,22.0,332.0,66.3808,0.9468,22.9062,19.0,0.5241,32.5796,1.956,39.0,26.0,26.7545,5.5974,43.0,16.0,32.6455,2.0887,39.0,26.0,22.4455,2.8596,31.0,16.0,0.5035
5,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1353.9,4815.1,159.75,55.624,0.6488,17.6618,13.9366,0.3768,39.0329,24903.0,15.5832,130.0,26.0,104.0,19.8715,12678.0,1.5373,25.0,16.0,9.0,325.75,70.9887,0.8123,23.5626,19.9936,0.4497,37.2066,12.4612,130.0,25.0,18.0445,2.3583,25.0,13.0,35.4518,8.0686,74.0,25.0,16.2892,1.5312,21.0,13.0,0.4888
6,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1341.3,4819.1,33.75,23.681,0.7563,8.705,5.8316,0.7537,68.7569,9901.0,25.7715,154.0,38.0,116.0,20.8333,3000.0,1.8359,26.0,18.0,8.0,113.25,40.614,0.8628,14.1744,10.0364,0.7187,47.9606,21.9038,154.0,25.0,17.2888,2.9956,26.0,11.0,38.393,10.2642,83.0,25.0,15.6581,1.7618,21.0,11.0,0.3004
7,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1411.2,4820.3,22.0,17.7802,0.8745,6.4132,4.3608,0.6858,115.587,10634.0,38.4551,230.0,63.0,167.0,22.8696,2104.0,2.0447,28.0,19.0,9.0,98.25,35.4887,0.9803,12.2767,10.0764,0.5534,65.3588,39.4426,230.0,27.0,18.4453,3.6781,28.0,12.0,50.0066,23.9601,201.0,27.0,17.093,2.9277,27.0,12.0,0.2268
8,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1339.4,4840.6,107.75,40.495,0.8257,13.7944,11.1238,0.5437,31.5461,13691.0,1.6166,36.0,27.0,9.0,19.4147,8426.0,1.6363,24.0,16.0,8.0,248.5,58.0533,0.9266,19.7281,16.5,0.4762,30.5918,4.0334,61.0,25.0,16.9308,2.6133,24.0,11.0,29.8561,5.0569,61.0,25.0,15.016,1.2661,18.0,11.0,0.4346
9,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1438.3,4842.0,43.25,25.4485,0.8392,9.3905,6.4415,0.7117,62.3636,10976.0,22.7916,155.0,40.0,115.0,19.8125,3487.0,1.2348,23.0,17.0,6.0,140.0,43.1604,0.9444,15.3607,12.3672,0.5781,42.9394,18.9069,155.0,27.0,17.2193,2.0564,23.0,13.0,34.0597,5.7095,55.0,27.0,16.0338,0.9903,19.0,13.0,0.3064
