,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1552.7,4322.6,57.75,29.0245,0.8615,9.8874,8.2654,0.5553,119.5837,27863.0,31.6782,249.0,84.0,165.0,31.3348,7301.0,3.0057,38.0,26.0,12.0,165.75,46.2654,0.9731,15.7871,14.0,0.4362,98.9609,25.7727,249.0,64.0,26.2135,4.3871,38.0,20.0,87.838,11.3676,120.0,64.0,23.4514,1.7213,28.0,20.0,0.3436
1,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1596.7,4333.8,14.75,21.1688,0.4136,9.484,2.4229,0.9675,133.0154,8646.0,16.2803,184.0,113.0,71.0,46.0923,2996.0,6.3239,59.0,35.0,24.0,101.75,39.1518,0.8341,15.5557,8.2496,0.8522,144.7146,46.6809,255.0,77.0,39.6049,10.0959,63.0,23.0,146.9188,50.108,255.0,77.0,38.3826,10.2125,63.0,23.0,0.1533
2,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1594.3,4358.2,31.5,21.0103,0.8967,6.7763,6.364,0.3176,132.9091,17544.0,19.7965,171.0,95.0,76.0,35.1894,4645.0,3.0445,41.0,29.0,12.0,109.25,38.5209,0.9252,12.8703,10.8538,0.5248,124.1785,35.4805,233.0,75.0,30.7551,4.4723,41.0,23.0,120.4,39.8645,233.0,75.0,28.8361,3.5299,41.0,23.0,0.2862
3,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1615.2,4361.9,34.25,26.2944,0.6225,9.494,6.137,0.7589,99.5694,14338.0,3.4634,107.0,92.0,15.0,29.7778,4288.0,1.6491,34.0,27.0,7.0,126.5,44.2316,0.8125,15.3889,11.3951,0.7174,103.876,12.5865,149.0,81.0,28.0728,2.5583,34.0,22.0,105.5797,14.3622,149.0,81.0,27.3984,2.5418,34.0,22.0,0.2675
4,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1526.6,4365.3,61.75,33.2044,0.7038,13.9014,5.8277,0.9189,223.3214,56277.0,17.9553,255.0,179.0,76.0,122.7302,30928.0,38.6875,200.0,55.0,145.0,179.5,51.0396,0.8659,19.789,11.4632,0.8154,199.9638,37.218,255.0,119.0,72.7758,45.4903,200.0,23.0,187.3326,38.8108,255.0,119.0,45.7618,17.2982,114.0,23.0,0.3508
5,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1580.3,4367.2,105.5,41.5019,0.7697,13.3921,11.2776,0.4532,161.3419,68893.0,40.3889,255.0,97.0,158.0,36.815,15720.0,3.3316,44.0,30.0,14.0,245.0,57.841,0.9202,19.2514,17.2067,0.3903,139.0244,40.0868,255.0,79.0,32.296,4.892,44.0,22.0,121.8849,30.2274,254.0,79.0,28.8255,2.4591,36.0,22.0,0.4315
6,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1604.1,4364.7,62.5,31.0324,0.8156,11.8956,7.1952,0.76,132.0556,33278.0,25.722,239.0,95.0,144.0,70.2064,17692.0,11.8831,90.0,45.0,45.0,151.75,45.3976,0.9253,15.9055,12.8917,0.4916,115.0295,27.1423,239.0,69.0,49.1426,20.1394,90.0,22.0,103.0447,21.0449,156.0,69.0,34.3156,7.6797,56.0,22.0,0.4086
7,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1534.2,4372.3,37.75,24.233,0.8078,9.5554,5.4211,0.8166,140.9868,21289.0,25.073,192.0,91.0,101.0,38.3974,5798.0,3.6388,47.0,31.0,16.0,110.75,38.7825,0.9253,13.5033,10.6066,0.5732,127.543,38.3454,255.0,67.0,33.0362,6.3581,47.0,21.0,120.567,42.046,255.0,67.0,30.2543,5.6475,42.0,21.0,0.3338
8,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1591.9,4378.8,78.5,33.3012,0.8895,11.4334,9.3007,0.5825,141.6889,44632.0,19.379,180.0,102.0,78.0,57.5619,18132.0,10.3431,80.0,40.0,40.0,191.75,50.1647,0.9575,16.7439,15.0,0.3609,121.5228,25.9104,186.0,78.0,42.8921,14.4748,80.0,23.0,107.5308,19.9719,186.0,78.0,32.7137,5.2523,47.0,23.0,0.4137
9,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1567.5,4379.4,59.0,29.0566,0.8782,10.6852,7.3972,0.7474,140.2941,33390.0,30.8229,245.0,91.0,154.0,36.4706,8680.0,3.471,46.0,29.0,17.0,164.75,46.3076,0.9655,16.4903,13.0,0.6056,118.3591,35.0841,245.0,66.0,29.1758,6.2158,46.0,20.0,105.9882,31.0888,191.0,66.0,25.0616,2.5782,32.0,20.0,0.3569
