,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1520.6,4486.6,523,141,0,84,82569.1,1896.2
1,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1856.0,4817.9,523,141,0,357,271232.4,3258.0
2,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1672.7,4415.7,263,141,0,23,16226.9,940.93
3,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1812.0,4431.9,523,141,0,434,339350.2,4587.7
4,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2403.9,4509.1,72,141,0,18,49085.8,1179.6
5,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2216.1,4490.4,1109,141,0,59,61031.2,1383.4
6,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1737.3,5217.2,263,141,0,105,105702.8,1761.6
7,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1930.8,5228.8,523,141,0,253,351264.5,5370.8
8,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2429.1,5265.6,72,141,0,84,168035.1,2132.8
9,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2189.2,5254.2,1109,141,0,107,141541.2,2189.0
10,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1685.5,4767.2,263,141,0,139,190734.9,2368.0
11,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1894.9,4777.9,523,141,0,319,401836.3,6110.4
12,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2367.4,4801.8,72,141,0,168,263831.6,2689.2
13,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2136.6,4778.3,1109,141,0,160,184547.6,2497.3
14,JKAX12.3d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1219.3,4668.7,263,141,0,194,234403.5,2644.6
