,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1709.0,4608.6,523,141,0,16,15495.8,767.06
1,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1709.0,4608.6,523,141,0,16,15495.8,767.06
2,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1359.1,4856.5,263,141,0,558,309969.4,3082.5
3,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1569.0,4897.0,523,141,0,660,514831.5,7622.8
4,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2081.5,5001.2,72,141,0,76,366815.5,3178.2
5,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1834.4,4968.3,1109,141,0,28,250767.6,2909.6
6,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1359.1,4856.5,263,141,0,558,309969.4,3082.5
7,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1569.0,4897.0,523,141,0,660,514831.5,7622.8
8,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2081.5,5001.2,72,141,0,76,366815.5,3178.2
9,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1834.4,4968.3,1109,141,0,28,250767.6,2909.6
10,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1294.4,5032.6,263,141,0,408,279579.0,2978.0
11,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1482.7,5039.8,523,141,0,1028,601048.9,8854.8
12,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1949.6,5078.9,72,141,0,460,234282.7,2505.6
13,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1817.4,5066.8,1109,141,0,198,240404.8,2833.1
14,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1349.5,5017.7,515,467,0,32,12911.3,1367.2
15,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1294.4,5032.6,263,141,0,408,279579.0,2978.0
16,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1482.7,5039.8,523,141,0,1028,601048.9,8854.8
17,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1949.6,5078.9,72,141,0,460,234282.7,2505.6
18,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1817.4,5066.8,1109,141,0,198,240404.8,2833.1
19,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1349.5,5017.7,515,467,0,32,12911.3,1367.2
20,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1273.9,5013.6,263,141,0,134,114601.1,1756.2
21,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1528.1,5003.3,523,141,0,858,565613.8,7581.2
22,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1974.1,4985.4,72,141,0,188,73996.1,1493.1
23,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1839.4,4988.8,1109,141,0,192,166088.2,2382.9
24,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1408.3,5009.7,515,467,0,452,322358.9,3181.9
25,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1273.9,5013.6,263,141,0,134,114601.1,1756.2
26,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1528.1,5003.3,523,141,0,858,565613.8,7581.2
27,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1974.1,4985.4,72,141,0,188,73996.1,1493.1
28,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1839.4,4988.8,1109,141,0,192,166088.2,2382.9
29,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1408.3,5009.7,515,467,0,452,322358.9,3181.9
30,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1486.8,5425.4,263,141,0,280,192931.6,2339.7
31,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1739.9,5377.8,523,141,0,1644,686293.8,8690.7
32,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2257.1,5323.3,72,141,0,450,177105.8,2227.2
33,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2088.5,5371.9,1109,141,0,184,247766.9,2851.5
34,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1625.4,5357.6,515,467,0,620,176863.1,2522.5
35,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1486.8,5425.4,263,141,0,280,192931.6,2339.7
36,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1739.9,5377.8,523,141,0,1644,686293.8,8690.7
37,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2257.1,5323.3,72,141,0,450,177105.8,2227.2
38,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2088.5,5371.9,1109,141,0,184,247766.9,2851.5
39,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 13.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1625.4,5357.6,515,467,0,620,176863.1,2522.5
