,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Num Positive,Positive %,Num Positive per mm^2,Area µm^2,Perimeter µm
0,JKAH27.2d_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2246.2,4561.0,523.0,141.0,0.0,,,,,1836.1,299.71
1,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1622.1,4638.4,523.0,141.0,0.0,172.0,,,,176989.0,2621.0
2,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2166.6,4630.1,1109.0,141.0,0.0,0.0,,,,595.67,165.47
3,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1440.3,4871.8,523.0,141.0,0.0,407.0,,,,451782.9,4186.1
4,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2128.5,4937.2,72.0,141.0,0.0,61.0,,,,101497.7,1671.7
5,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1925.4,4928.9,1109.0,141.0,0.0,47.0,,,,78201.4,1657.8
6,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1115.3,4566.8,263.0,141.0,0.0,44.0,,,,68293.6,1505.0
7,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1313.7,4570.2,523.0,141.0,0.0,471.0,,,,653717.9,6889.8
8,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1871.3,4598.8,72.0,141.0,0.0,137.0,,,,246104.9,2672.9
9,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1641.3,4551.1,1109.0,141.0,0.0,94.0,,,,158420.9,2605.0
10,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1282.4,4611.5,263.0,141.0,0.0,192.0,,,,160342.1,2187.1
11,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1520.6,4623.5,523.0,141.0,0.0,450.0,,,,487583.6,6360.7
12,JKAH27.2d_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2003.6,4649.9,72.0,141.0,0.0,180.0,,,,320572.5,2973.8
