,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Area µm^2,Perimeter µm,Num Detections
0,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1184.9,4734.4,523,141,0,215334.5,2821.7,678.0
1,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Rectangle,0.2488,0.2488,72,141,0,0.2475,1.99,0.0
2,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1725.6,4800.7,1109,141,0,15112.5,782.21,60.0
3,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1184.9,4734.4,523,141,0,215334.5,2821.7,678.0
4,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Rectangle,0.2488,0.2488,72,141,0,0.2475,1.99,0.0
5,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1725.6,4800.7,1109,141,0,15112.5,782.21,60.0
6,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1536.3,4659.4,523,141,0,376980.1,3796.7,1144.0
7,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2211.7,4641.6,72,141,0,104237.6,1681.9,280.0
8,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2008.3,4645.9,1109,141,0,73305.0,1578.7,248.0
9,JKAH27.2e_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1536.3,4659.4,523,141,0,376980.1,3796.7,1144.0
