,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1325.2,4809.2,263,141,0,114,316689.1,3143.0
1,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1558.5,4832.5,523,141,0,131,507524.6,7846.2
2,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2157.5,4639.5,72,141,0,36,119553.1,2060.2
3,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1906.7,4702.7,1109,141,0,52,217195.6,2764.6
4,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1068.2,4672.0,263,141,0,107,288477.3,3018.8
5,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1280.2,4648.7,523,141,0,193,543686.3,8664.4
6,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1839.1,4619.7,72,141,0,89,312306.0,3040.1
7,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1610.1,4657.9,1109,141,0,57,251914.3,2855.7
8,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1044.1,4395.0,515,467,0,2,1972.0,305.61
9,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1174.5,4569.9,263,141,0,79,232951.1,2807.3
10,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1395.2,4651.2,523,141,0,283,641258.9,8880.2
11,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2029.8,4610.7,72,141,0,106,391079.7,3347.6
12,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1773.6,4613.3,1109,141,0,73,265173.9,2965.3
13,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1146.5,4745.3,515,467,0,67,80389.6,2133.3
14,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1185.4,4435.0,263,141,0,53,134679.0,1995.0
15,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1427.7,4590.6,523,141,0,316,648420.5,8208.0
16,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2068.6,4536.4,72,141,0,159,383077.8,3359.3
