,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1478.3,5412.8,523,141,0,5,13470.2,672.62
1,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 10.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1357.6,4438.9,263,141,0,28,49051.2,1155.3
2,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 10.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1645.1,4483.2,523,141,0,570,718570.2,7396.8
3,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 10.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1514.1,4448.2,515,467,0,599,588769.9,4080.8
4,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 11.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1230.5,4773.3,263,141,0,117,178697.3,2257.0
5,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1482.0,4801.8,523,141,0,535,692686.2,8590.4
6,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 11.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1950.1,4839.9,72,141,0,196,159409.2,2105.6
7,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 11.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1807.2,4799.7,1109,141,0,160,236722.1,2825.8
8,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1361.2,4809.9,515,467,0,207,193387.9,2607.3
9,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 12.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1217.7,4664.9,263,141,0,75,115575.4,1757.9
10,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1488.6,4657.7,523,141,0,502,664459.6,8012.4
11,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 12.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1839.9,4661.4,72,141,0,6,6343.2,445.49
12,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 12.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1788.3,4647.0,1109,141,0,110,150349.2,2397.8
13,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1343.9,4658.2,515,467,0,413,420174.2,3541.5
14,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,2009.2,4745.2,263,141,0,0,465.54,124.33
15,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2159.0,4754.0,523,141,0,207,410982.0,4103.2
16,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2811.9,4794.1,72,141,0,19,51450.1,1209.1
17,JKAX6.2f_MPOA_0_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2616.1,4781.6,1109,141,0,26,62947.2,1453.8
