Image	Name	Num Detections	Num Positive	Positive %
JKAJ27.5b_2_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ27.5b_2_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image	7	7	100
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	4	4	100
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	5	5	100
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	2	2	100
JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image	7	7	100
kd_test2_Scan2.qptiff - resolution #1_Region 4.ome.tif	Image	10	10	100
kd_test2_Scan2.qptiff - resolution #1_Region 5.ome.tif	Image	19	19	100
kd_test2_Scan2.qptiff - resolution #1_Region 6.ome.tif	Image	27	27	100
kd_test2_Scan2.qptiff - resolution #1_Region 7.ome.tif	Image	12	12	100
kd_test2_Scan2.qptiff - resolution #1_Region 8.ome.tif	Image	29	29	100
kd_test2_Scan2.qptiff - resolution #1_Region 1.ome.tif	Image	26	26	100
kd_test2_Scan2.qptiff - resolution #1_Region 2.ome.tif	Image	5	5	100
kd_test2_Scan2.qptiff - resolution #1_Region 3.ome.tif	Image	20	20	100
