,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,773.7,5543.5,75.0,38.5702,0.6335,12.9689,9.2909,0.6496,255.0,77265.0,0.0,255.0,255.0,0.0,176.396,53448.0,18.1247,212.0,136.0,76.0,154.25,49.9856,0.7758,16.7743,13.2146,0.5848,255.0,0.0,255.0,255.0,157.5307,23.6531,212.0,112.0,255.0,0.0,255.0,255.0,139.3841,10.4693,166.0,112.0,0.4919
1,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,815.76,5699.6,57.5,34.4868,0.6075,12.5525,6.6412,0.8459,254.8633,59638.0,0.3443,255.0,254.0,1.0,174.0299,40723.0,23.0156,216.0,115.0,101.0,131.5,45.5775,0.7955,16.402,10.3858,0.7601,254.8324,0.3739,255.0,254.0,148.4895,31.0478,216.0,96.0,254.8076,0.3949,255.0,254.0,127.9519,19.1464,173.0,96.0,0.4406
2,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 2.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,432.73,5243.2,131.25,45.4165,0.7996,14.8239,12.9274,0.3765,254.9132,135104.0,0.2818,255.0,254.0,1.0,247.6377,131248.0,12.7789,255.0,192.0,63.0,222.75,55.5618,0.9067,18.2602,16.3425,0.2569,254.9202,0.2711,255.0,254.0,223.2899,32.4669,255.0,154.0,254.9306,0.2546,255.0,254.0,187.4444,14.3528,223.0,154.0,0.5977
3,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 4.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,897.26,5007.6,38.0,27.8181,0.6171,11.4565,4.8845,0.9133,248.8247,38319.0,0.3815,249.0,248.0,1.0,167.9156,25859.0,20.3881,206.0,129.0,77.0,95.5,38.2333,0.821,15.1055,8.3576,0.8376,248.8623,0.6117,251.0,247.0,147.5247,27.6151,206.0,103.0,248.8875,0.7255,251.0,247.0,133.9307,23.0801,195.0,103.0,0.385
4,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,595.68,5029.5,65.75,30.8869,0.8661,10.5477,8.5993,0.5199,254.9702,68332.0,0.1705,255.0,254.0,1.0,189.4291,50767.0,32.7178,252.0,124.0,128.0,129.5,41.8655,0.9285,13.9823,12.2562,0.4111,254.9407,0.2364,255.0,254.0,150.174,48.0085,252.0,82.0,254.9098,0.287,255.0,254.0,108.9176,16.6357,153.0,82.0,0.5055
5,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,908.64,5392.7,88.0,43.6861,0.5794,14.7793,10.3994,0.6934,254.8427,90724.0,0.3646,255.0,254.0,1.0,186.3736,66349.0,19.0496,222.0,141.0,81.0,177.25,53.3814,0.7817,18.2147,13.8696,0.6762,254.8413,0.3657,255.0,254.0,166.1826,25.4954,222.0,124.0,254.8399,0.3672,255.0,254.0,145.9916,11.0148,172.0,124.0,0.5042
6,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,763.17,5436.1,68.75,31.9738,0.8451,11.766,7.8446,0.7581,254.7957,71088.0,0.4039,255.0,254.0,1.0,215.0466,59998.0,23.6449,255.0,157.0,98.0,134.5,42.7772,0.9236,15.3826,11.29,0.6768,254.8253,0.3801,255.0,254.0,180.8625,40.8225,255.0,114.0,254.8571,0.3506,255.0,254.0,144.0386,15.5326,189.0,114.0,0.5172
7,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,771.33,5472.4,95.0,41.0059,0.71,15.1674,9.7911,0.7745,254.8929,97624.0,0.3096,255.0,254.0,1.0,177.389,67940.0,14.7195,212.0,147.0,65.0,178.0,51.6187,0.8395,18.6765,13.433,0.7073,254.8694,0.3372,255.0,254.0,162.0772,21.146,212.0,115.0,254.8419,0.3653,255.0,254.0,144.2523,11.1577,178.0,115.0,0.5356
8,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,745.92,5479.8,46.0,27.1983,0.7814,9.8288,6.909,0.722,254.8723,47916.0,0.3346,255.0,254.0,1.0,191.9149,36080.0,23.0694,230.0,146.0,84.0,91.0,36.5905,0.8541,13.0003,8.9999,0.7401,254.8871,0.317,255.0,254.0,166.8981,33.7663,230.0,109.0,254.9029,0.297,255.0,254.0,140.0229,19.937,208.0,109.0,0.5149
9,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,746.22,5491.5,118.5,51.1933,0.5682,18.0651,11.5907,0.7564,254.9208,122362.0,0.2703,255.0,254.0,1.0,179.85,86328.0,23.2185,232.0,121.0,111.0,204.75,60.0284,0.714,22.2575,14.726,0.7617,254.8955,0.3061,255.0,254.0,159.2418,32.2859,232.0,94.0,254.8601,0.3474,255.0,254.0,130.4023,17.8914,183.0,94.0,0.5815
10,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,691.14,5112.8,46.75,28.9052,0.7031,10.709,6.7263,0.7976,248.6335,47489.0,0.5148,249.0,247.0,2.0,148.1675,28300.0,14.6734,175.0,115.0,60.0,107.5,39.3247,0.8735,14.4134,10.4652,0.7069,248.5701,0.5272,249.0,247.0,131.1862,23.3387,175.0,86.0,248.5205,0.5325,249.0,247.0,117.8934,20.01,171.0,86.0,0.431
11,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,604.08,5418.2,87.25,39.1263,0.7162,13.0948,9.9652,0.6353,254.7989,89944.0,0.4014,255.0,254.0,1.0,175.1983,61845.0,28.3581,227.0,121.0,106.0,167.25,48.7276,0.8852,16.5387,13.6376,0.5545,254.8221,0.3827,255.0,254.0,147.1943,37.216,227.0,86.0,254.8481,0.3595,255.0,254.0,115.9114,13.3399,149.0,86.0,0.5271
12,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,649.71,5426.8,86.25,40.1277,0.6731,13.2509,10.1955,0.403,254.8711,88950.0,0.3356,255.0,254.0,1.0,186.1089,64952.0,29.429,240.0,116.0,124.0,167.5,50.3254,0.8311,16.8146,13.7482,0.5051,254.842,0.365,255.0,254.0,157.2966,38.0775,240.0,92.0,254.8106,0.3925,255.0,254.0,126.0683,14.3716,162.0,92.0,0.5176
13,JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 7.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,589.88,5433.0,94.5,42.7915,0.6485,16.768,8.1599,0.8918,254.8172,97595.0,0.387,255.0,254.0,1.0,187.752,71909.0,42.4461,255.0,105.0,150.0,183.5,53.493,0.8058,20.5073,11.8189,0.837,254.8226,0.3822,255.0,254.0,156.9604,46.3587,255.0,85.0,254.8286,0.3774,255.0,254.0,123.2657,18.8818,167.0,85.0,0.5274
