,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,664.08,4972.1,32.0,21.8734,0.8405,8.1352,5.1826,0.7599,254.7482,34391.0,0.4357,255.0,254.0,1.0,178.6889,24123.0,19.6246,213.0,144.0,69.0,80.75,33.0072,0.9314,11.599,8.5,0.678,254.5864,0.9962,255.0,246.0,153.6142,25.4137,213.0,122.0,254.4709,1.24,255.0,246.0,135.7037,7.8196,156.0,122.0,0.4021
1,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,515.67,5042.1,120.0,45.4713,0.7293,15.9325,10.7953,0.7182,254.8,122304.0,0.4004,255.0,254.0,1.0,210.0146,100807.0,16.1727,242.0,173.0,69.0,211.5,55.4311,0.865,19.6308,14.6761,0.648,254.787,0.4097,255.0,254.0,195.8485,21.8597,242.0,150.0,254.7699,0.4215,255.0,254.0,177.2192,12.2941,211.0,150.0,0.5685
2,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,585.74,5056.2,77.25,34.8822,0.7978,12.2148,9.016,0.6926,254.9618,80058.0,0.192,255.0,254.0,1.0,167.0064,52440.0,16.7917,204.0,138.0,66.0,152.5,46.0301,0.9045,15.7695,12.5,0.5778,254.9655,0.1828,255.0,254.0,149.5987,22.3689,204.0,112.0,254.9694,0.1726,255.0,254.0,131.0068,7.988,156.0,112.0,0.5102
3,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,519.13,5093.7,84.0,36.015,0.8138,12.6662,8.8652,0.6836,254.7522,86361.0,0.4324,255.0,254.0,1.0,196.587,66643.0,21.3801,240.0,153.0,87.0,156.0,46.5563,0.9044,16.0717,12.0,0.629,254.7652,0.4242,255.0,254.0,175.2971,28.9043,240.0,129.0,254.7805,0.4146,255.0,254.0,150.1498,10.6618,179.0,129.0,0.5451
4,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,539.63,5126.3,113.25,39.6054,0.9073,14.2017,11.2124,0.6172,254.8706,116221.0,0.336,255.0,254.0,1.0,240.2522,109555.0,24.1003,255.0,161.0,94.0,191.75,50.6636,0.9388,17.7992,14.4978,0.5719,254.8893,0.3139,255.0,254.0,203.6367,49.7652,255.0,100.0,254.9167,0.2768,255.0,254.0,150.1218,20.4752,200.0,100.0,0.5889
5,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,549.76,5547.7,46.5,30.0452,0.6473,10.3515,7.6814,0.7415,254.8307,48163.0,0.376,255.0,254.0,1.0,162.2698,30669.0,14.5853,187.0,126.0,61.0,110.25,40.6937,0.8366,14.2195,10.9255,0.6,254.8295,0.3765,255.0,254.0,148.4273,21.206,188.0,108.0,254.8287,0.3775,255.0,254.0,138.004,19.3842,188.0,108.0,0.423
6,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,466.67,5553.4,78.25,33.0537,0.9,12.4243,8.1207,0.7488,255.0,80325.0,0.0,255.0,255.0,0.0,238.6984,75190.0,23.7405,255.0,165.0,90.0,145.0,44.0518,0.939,15.6463,11.5743,0.6788,255.0,0.0,255.0,255.0,194.4028,53.4746,255.0,92.0,255.0,0.0,255.0,255.0,141.9474,22.2825,196.0,92.0,0.5418
7,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,498.44,5568.5,55.5,28.0292,0.8877,10.8645,7.1027,0.7564,254.9509,57109.0,0.2166,255.0,254.0,1.0,174.1786,39016.0,17.5518,215.0,136.0,79.0,115.5,39.2534,0.942,14.0541,10.4814,0.6667,254.9069,0.2909,255.0,254.0,150.368,27.382,215.0,103.0,254.8655,0.3419,255.0,254.0,127.958,11.3304,158.0,103.0,0.484
8,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,516.02,5714.4,98.5,47.348,0.5521,14.6277,11.4743,0.7481,254.4394,100758.0,2.8514,255.0,216.0,39.0,191.3005,75755.0,26.6707,245.0,133.0,112.0,192.5,55.5311,0.7845,18.3526,14.7695,0.6159,253.1313,7.6826,255.0,196.0,164.0377,35.4022,245.0,96.0,251.7426,10.4626,255.0,196.0,135.0938,14.1767,181.0,96.0,0.5186
9,JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,620.32,5780.4,31.25,22.5316,0.7735,7.9923,6.2465,0.5603,254.6875,32600.0,0.4653,255.0,254.0,1.0,187.125,23952.0,18.6083,228.0,158.0,70.0,82.25,33.4384,0.9244,11.6139,9.8026,0.4528,254.5849,0.6337,255.0,250.0,165.4212,22.1775,228.0,131.0,254.5198,0.7138,255.0,250.0,151.6683,9.8088,180.0,131.0,0.3851
