,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 4.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,981.4,5348.4,116.5,49.1816,0.6052,16.0838,11.7804,0.6481,254.817,119764.0,0.3871,255.0,254.0,1.0,200.9064,94426.0,18.9561,243.0,156.0,87.0,213.25,58.9605,0.7709,19.6535,15.4867,0.5959,254.7687,0.4219,255.0,254.0,184.4848,24.0353,243.0,131.0,254.7098,0.4544,255.0,254.0,164.4896,10.7308,190.0,131.0,0.5588
1,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,699.65,4715.0,33.0,26.332,0.5981,8.6151,6.7062,0.7711,254.875,34663.0,0.3319,255.0,254.0,1.0,202.5882,27552.0,31.1259,254.0,151.0,103.0,91.25,36.9074,0.8418,12.1741,10.2369,0.5553,254.937,0.2433,255.0,254.0,160.1288,39.3249,254.0,111.0,254.9738,0.1601,255.0,254.0,134.9127,13.4628,177.0,111.0,0.3687
2,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,646.6,5077.8,57.0,33.8531,0.625,13.3825,6.3587,0.9069,254.8472,58360.0,0.3606,255.0,254.0,1.0,203.3144,46559.0,23.8908,255.0,150.0,105.0,127.0,44.5,0.8059,16.9449,9.9544,0.8358,254.8824,0.3225,255.0,254.0,176.9549,32.5495,255.0,89.0,254.911,0.2852,255.0,254.0,155.4733,20.7321,195.0,89.0,0.448
3,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,646.91,5103.2,35.5,26.2907,0.6454,9.7965,5.5542,0.7904,254.9864,37483.0,0.1162,255.0,254.0,1.0,210.2517,30907.0,28.323,255.0,157.0,98.0,94.0,37.6981,0.8312,13.3014,9.3306,0.6986,254.9759,0.1535,255.0,254.0,179.0668,32.7378,255.0,114.0,254.9692,0.1733,255.0,254.0,158.8723,14.4387,189.0,114.0,0.3856
4,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,592.5,4930.5,92.75,42.0037,0.6606,16.0551,8.3534,0.8892,247.7441,93895.0,0.4489,248.0,246.0,2.0,235.066,89090.0,15.0477,248.0,193.0,55.0,178.0,52.9481,0.7979,19.6194,12.0869,0.8205,247.6937,0.4992,248.0,246.0,210.9776,31.0103,248.0,121.0,247.6369,0.5455,248.0,246.0,183.8065,19.9289,223.0,121.0,0.5313
5,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,881.3,5161.6,47.5,29.5188,0.685,10.1352,7.5751,0.7588,254.901,48941.0,0.2994,255.0,254.0,1.0,199.1198,38231.0,21.8275,255.0,157.0,98.0,110.25,40.3097,0.8526,13.8664,11.5279,0.5932,254.8824,0.3226,255.0,254.0,177.6674,25.6735,255.0,132.0,254.868,0.3392,255.0,254.0,161.192,13.2108,201.0,132.0,0.4311
6,JKBR2.1f_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,829.34,5206.4,63.0,43.0761,0.4267,13.7774,9.2688,0.7717,254.856,65498.0,0.3517,255.0,254.0,1.0,189.1012,48599.0,15.8759,222.0,149.0,73.0,150.75,51.0871,0.7258,17.5461,12.8498,0.6789,254.892,0.3106,255.0,254.0,172.0947,21.9783,222.0,133.0,254.9188,0.2735,255.0,254.0,159.4261,16.7131,197.0,133.0,0.425
7,JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,466.18,5433.7,49.5,28.3271,0.7752,10.3377,6.6323,0.8216,254.0,51562.0,0.0,254.0,254.0,0.0,135.0345,27412.0,13.4967,165.0,102.0,63.0,109.75,38.9033,0.9113,14.0281,10.5542,0.671,254.0229,0.1499,255.0,254.0,118.4679,22.1174,165.0,72.0,254.0429,0.2031,255.0,254.0,104.0343,17.585,142.0,72.0,0.4538
8,JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,754.72,5286.3,33.25,21.7378,0.8842,7.976,6.0412,0.6435,255.0,35190.0,0.0,255.0,255.0,0.0,150.2029,20728.0,27.0142,203.0,92.0,111.0,81.5,32.9724,0.942,11.5329,9.4999,0.5302,254.9665,0.1803,255.0,254.0,106.8506,42.2354,203.0,55.0,254.9421,0.2342,255.0,254.0,75.3632,13.7236,113.0,55.0,0.4114
9,JKBR2.1f_4_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,706.88,5654.2,41.0,25.0423,0.8216,8.8157,6.3617,0.694,254.883,43585.0,0.3223,255.0,254.0,1.0,119.1053,20367.0,12.8278,150.0,91.0,59.0,95.75,35.4006,0.9601,12.4599,9.8995,0.5349,249.9141,18.3156,255.0,157.0,105.1927,20.6513,150.0,64.0,245.9249,23.8759,255.0,157.0,94.0235,18.8958,133.0,64.0,0.4394
