,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,807.36,5043.9,66.0,31.6155,0.8298,10.3806,8.8886,0.4087,236.4195,63124.0,28.6567,252.0,151.0,101.0,179.8839,48029.0,32.4411,252.0,130.0,122.0,184.25,50.009,0.9258,16.9445,14.8492,0.3691,225.5656,38.3399,253.0,127.0,149.2151,35.2263,252.0,107.0,219.4258,41.6521,253.0,127.0,131.8665,22.6971,236.0,107.0,0.358
1,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,637.19,5132.8,126.0,48.7557,0.6661,18.8631,8.7626,0.9048,233.4043,118336.0,28.0413,254.0,158.0,96.0,180.1262,91324.0,39.682,251.0,118.0,133.0,286.5,66.3766,0.8172,24.8459,14.4845,0.8294,233.5057,29.4433,255.0,152.0,139.9843,45.7115,251.0,76.0,233.5857,30.5265,255.0,152.0,108.2835,14.7721,150.0,76.0,0.4372
2,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,735.58,6046.8,57.75,29.2324,0.8492,9.6688,8.4602,0.4029,254.4871,59041.0,2.394,255.0,234.0,21.0,208.0905,48277.0,28.859,255.0,162.0,93.0,164.5,46.7962,0.944,15.5885,14.0,0.3556,251.5699,10.136,255.0,187.0,180.0319,29.0119,255.0,132.0,249.9812,12.1873,255.0,187.0,164.7512,13.5891,222.0,132.0,0.3476
3,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,890.22,5253.5,127.0,48.3211,0.6835,19.5672,10.1209,0.8412,248.6089,127785.0,16.0529,255.0,185.0,70.0,218.786,112456.0,27.5255,255.0,174.0,81.0,292.5,66.0612,0.8423,25.4048,15.8251,0.7924,244.4817,20.0068,255.0,173.0,190.2847,32.0173,255.0,135.0,241.2625,22.0987,255.0,173.0,168.0546,10.2815,193.0,135.0,0.4386
4,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,817.29,5601.0,134.25,48.5962,0.7144,19.4034,10.7812,0.8587,254.9083,138925.0,0.2889,255.0,254.0,1.0,154.0495,83957.0,27.2656,216.0,111.0,105.0,300.75,66.3415,0.8587,24.7997,16.5,0.7758,254.9261,0.2616,255.0,254.0,131.2739,28.8584,216.0,84.0,254.9409,0.236,255.0,254.0,112.4667,11.1634,150.0,84.0,0.4507
5,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,871.59,5835.0,105.0,40.1489,0.8186,14.8335,9.7218,0.7666,229.7213,98091.0,33.4218,255.0,146.0,109.0,204.6393,87381.0,26.0162,255.0,157.0,98.0,246.25,57.9111,0.9227,20.3692,15.0,0.6739,229.7546,32.3904,255.0,146.0,165.9351,39.9074,255.0,93.0,229.78,31.61,255.0,150.0,136.3703,16.5109,175.0,93.0,0.434
6,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,911.98,5835.2,108.5,39.6804,0.8659,13.7271,10.6916,0.5829,254.75,112090.0,0.449,255.0,252.0,3.0,220.5886,97059.0,20.1774,255.0,177.0,78.0,248.75,57.4501,0.9471,19.224,16.6466,0.4989,254.5707,1.4556,255.0,238.0,188.5055,33.2346,255.0,134.0,254.4291,1.8949,255.0,238.0,163.1616,14.1114,199.0,134.0,0.4431
7,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,917.96,5870.4,128.5,45.6037,0.7764,15.6208,11.587,0.5463,254.5689,131103.0,1.8379,255.0,240.0,15.0,228.2835,117566.0,21.5024,255.0,173.0,82.0,283.0,63.753,0.875,21.3933,17.628,0.4452,252.4696,5.7283,255.0,224.0,200.4784,31.1003,255.0,149.0,250.7258,7.1131,255.0,224.0,177.3823,14.5089,247.0,149.0,0.4563
8,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,914.88,5933.1,119.0,42.1347,0.8423,15.0691,11.0669,0.6882,237.0726,114269.0,15.5225,255.0,206.0,49.0,231.2863,111480.0,21.5319,255.0,187.0,68.0,265.25,60.0872,0.9232,20.7126,16.733,0.5936,242.7174,14.9203,255.0,206.0,202.9962,30.8359,255.0,147.0,247.3842,12.635,255.0,209.0,179.6072,12.0151,211.0,147.0,0.4479
9,JKBR4.1d_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,856.12,5164.8,106.25,39.7642,0.8444,14.4568,10.1419,0.7399,240.0187,102728.0,26.6293,255.0,161.0,94.0,204.6332,87583.0,29.3193,254.0,151.0,103.0,242.0,57.3332,0.9252,20.0971,15.5,0.643,234.9546,32.1214,255.0,149.0,171.9154,35.5703,254.0,127.0,230.9482,35.3897,255.0,149.0,146.0314,8.287,173.0,127.0,0.4349
