,Event,I_Injected(pA),Event start ,Event end ,filename,Ramp_start,Ramp_end
0,1,25,1577.0,1578.79992675781,S1C1 13022023,1080.0,2080.0
1,1,25,1617.59997558593,1619.79992675781,S1C1 13022023,1080.0,2080.0
2,1,25,1682.40002441406,1684.79992675781,S1C1 13022023,1080.0,2080.0
3,1,25,1771.30004882812,1774.0,S1C1 13022023,1080.0,2080.0
4,1,25,1911.19995117187,1913.79992675781,S1C1 13022023,1080.0,2080.0
5,1,25,2002.5,2005.5,S1C1 13022023,1080.0,2080.0
6,2,35,1505.7001953125,1507.50012207031,S1C1 13022023,1080.0,2080.0
7,2,35,1554.30004882812,1556.50012207031,S1C1 13022023,1080.0,2080.0
8,2,35,1647.90002441406,1650.2001953125,S1C1 13022023,1080.0,2080.0
9,2,35,1737.60009765625,1740.39965820312,S1C1 13022023,1080.0,2080.0
10,2,35,1821.0,1823.89965820312,S1C1 13022023,1080.0,2080.0
11,2,35,1924.30004882812,1927.60009765625,S1C1 13022023,1080.0,2080.0
12,2,35,2001.30004882812,2004.39965820312,S1C1 13022023,1080.0,2080.0
13,3,45,1391.30004882812,1393.099609375,S1C1 13022023,1080.0,2080.0
14,3,45,1428.40051269531,1430.599609375,S1C1 13022023,1080.0,2080.0
15,3,45,1491.90051269531,1494.50109863281,S1C1 13022023,1080.0,2080.0
16,3,45,1579.0,1581.69909667968,S1C1 13022023,1080.0,2080.0
17,3,45,1673.40051269531,1676.39965820312,S1C1 13022023,1080.0,2080.0
18,3,45,1798.90051269531,1802.099609375,S1C1 13022023,1080.0,2080.0
19,3,45,1890.80004882812,1894.00109863281,S1C1 13022023,1080.0,2080.0
20,3,45,1961.5,1964.89965820312,S1C1 13022023,1080.0,2080.0
21,3,45,2030.0,2033.69909667968,S1C1 13022023,1080.0,2080.0
22,4,55,1389.59948730468,1391.40258789062,S1C1 13022023,1080.0,2080.0
23,4,55,1415.09948730468,1417.599609375,S1C1 13022023,1080.0,2080.0
24,4,55,1455.5,1458.19909667968,S1C1 13022023,1080.0,2080.0
