,experiment_day,ID_mouse,Behaviour_6hFD,aggressive,Firing_freq_(Hz)_I0
125,S1C3 23012023,BRAC7344.5e,Agg+,yes,0.0
126,S1C4 23012023,BRAC7344.5e,Agg+,yes,0.0
127,S1C5 23012023,BRAC7344.5e,Agg+,yes,1.59
128,S1C6 23012023,BRAC7344.5e,Agg+,yes,0.0
129,S1C1 24012023,BRAC7344.5d,Agg+,yes,0.0
130,S1C2 24012023,BRAC7344.5d,Agg+,yes,0.83
131,S1C3 24012023,BRAC7344.5d,Agg+,yes,0.56
132,S1C1 21022023,BRAC7344.5c,Agg+,yes,0.0
133,S2C1 21022023,BRAC7344.5c,Agg+,yes,0.47
134,S2C2 21022023,BRAC7344.5c,Agg+,yes,0.0
135,S1C1 15022023,JKAM55.2d,Agg+,yes,0.0
136,S1C2 15022023,JKAM55.2d,Agg+,yes,0.16
137,S1C3 15022023,JKAM55.2d,Agg+,yes,0.36
138,S1C4 15022023,JKAM55.2d,Agg+,yes,1.31
139,S1C1 27022023,JKAM55.4h,Agg+,yes,0.91
140,S1C2 27022023,JKAM55.4h,Agg+,yes,0.0
141,S1C1 31052023,BRAC7921.4f,Agg+,yes,0.72
142,S2C1 31052023,BRAC7921.4f,Agg+,yes,0.0
143,S3C1 31052023,BRAC7921.4f,Agg+,yes,0.5
144,S3C2 31052023,BRAC7921.4f,Agg+,yes,1.0
314,S1C1 12052025,JKAJ37.6h,agrpkd,yes,0.43
315,S1C2 12052025,JKAJ37.6h,agrpkd,yes,4.6
316,S1C3 12052025,JKAJ37.6h,agrpkd,yes,5.0
317,S1C4 12052025,JKAJ37.6h,agrpkd,yes,1.28
318,S1C5 12052025,JKAJ37.6h,agrpkd,yes,4.7
319,S1C6 12052025,JKAJ37.6h,agrpkd,yes,2.16
320,S1C1 16062025,JKAJ39.1g,agrpkd,yes,0.0
321,S1C2 16062025,JKAJ39.1g,agrpkd,yes,0.77
324,S1C6 16062025,JKAJ39.1g,agrpkd,yes,1.7
325,S1C7 16062025,JKAJ39.1g,agrpkd,yes,0.0
326,S1C8 16062025,JKAJ39.1g,agrpkd,yes,0.1
327,S1C9 16062025,JKAJ39.1g,agrpkd,yes,0.0
328,S1C10 1606202,JKAJ39.1g,agrpkd,yes,1.7
329,S1C1 17062025,JKAJ38.3c,agrpkd,yes,0.0
330,S1C3 17062025,JKAJ38.3c,agrpkd,yes,3.1
331,S1C4 17062025,JKAJ38.3c,agrpkd,yes,0.8
332,S1C5 17062025,JKAJ38.3c,agrpkd,yes,0.46
333,S1C6 17062025,JKAJ38.3c,agrpkd,yes,0.0
334,S1C7 17062025,JKAJ38.3c,agrpkd,yes,0.0
335,S1C8 17062025,JKAJ38.3c,agrpkd,yes,0.0
336,S1C9 17062025,JKAJ38.3c,agrpkd,yes,1.01
337,S1C1 23062025,JKAJ42.2g,agrpkd,yes,1.64
338,S1C2 23062025,JKAJ42.2g,agrpkd,yes,0.13
339,S1C3 23062025,JKAJ42.2g,agrpkd,yes,0.0
340,S1C4 23062025,JKAJ42.2g,agrpkd,yes,0.4
341,S1C5 23062025,JKAJ42.2g,agrpkd,yes,0.43
342,S1C6 23062025,JKAJ42.2g,agrpkd,yes,0.0
343,S1C7 23062025,JKAJ42.2g,agrpkd,yes,0.0
344,S1C8 23062025,JKAJ42.2g,agrpkd,yes,0.0
345,S1C9 23062025,JKAJ42.2g,agrpkd,yes,0.33
