,experiment_day,ID_mouse,Behaviour_6hFD,aggressive,Ih_at_-120mV
125,S1C3 23012023,BRAC7344.5e,Agg+,yes,5.55
126,S1C4 23012023,BRAC7344.5e,Agg+,yes,0.0
128,S1C6 23012023,BRAC7344.5e,Agg+,yes,0.0
129,S1C1 24012023,BRAC7344.5d,Agg+,yes,0.0
130,S1C2 24012023,BRAC7344.5d,Agg+,yes,0.0
131,S1C3 24012023,BRAC7344.5d,Agg+,yes,0.0
132,S1C1 21022023,BRAC7344.5c,Agg+,yes,1.04
133,S2C1 21022023,BRAC7344.5c,Agg+,yes,7.57
134,S2C2 21022023,BRAC7344.5c,Agg+,yes,9.25
135,S1C1 15022023,JKAM55.2d,Agg+,yes,11.26
136,S1C2 15022023,JKAM55.2d,Agg+,yes,0.0
137,S1C3 15022023,JKAM55.2d,Agg+,yes,4.52
138,S1C4 15022023,JKAM55.2d,Agg+,yes,1.92
139,S1C1 27022023,JKAM55.4h,Agg+,yes,3.33
140,S1C2 27022023,JKAM55.4h,Agg+,yes,3.45
141,S1C1 31052023,BRAC7921.4f,Agg+,yes,0.0
142,S2C1 31052023,BRAC7921.4f,Agg+,yes,4.49
143,S3C1 31052023,BRAC7921.4f,Agg+,yes,3.11
144,S3C2 31052023,BRAC7921.4f,Agg+,yes,4.97
314,S1C1 12052025,JKAJ37.6h,agrpkd,yes,0.0
315,S1C2 12052025,JKAJ37.6h,agrpkd,yes,2.69
316,S1C3 12052025,JKAJ37.6h,agrpkd,yes,5.9
317,S1C4 12052025,JKAJ37.6h,agrpkd,yes,5.89
318,S1C5 12052025,JKAJ37.6h,agrpkd,yes,2.8
319,S1C6 12052025,JKAJ37.6h,agrpkd,yes,4.21
320,S1C1 16062025,JKAJ39.1g,agrpkd,yes,11.44
321,S1C2 16062025,JKAJ39.1g,agrpkd,yes,5.55
324,S1C6 16062025,JKAJ39.1g,agrpkd,yes,4.0
325,S1C7 16062025,JKAJ39.1g,agrpkd,yes,22.31
326,S1C8 16062025,JKAJ39.1g,agrpkd,yes,12.9
327,S1C9 16062025,JKAJ39.1g,agrpkd,yes,7.75
328,S1C10 1606202,JKAJ39.1g,agrpkd,yes,8.73
329,S1C1 17062025,JKAJ38.3c,agrpkd,yes,2.93
330,S1C3 17062025,JKAJ38.3c,agrpkd,yes,2.87
331,S1C4 17062025,JKAJ38.3c,agrpkd,yes,3.23
332,S1C5 17062025,JKAJ38.3c,agrpkd,yes,0.0
333,S1C6 17062025,JKAJ38.3c,agrpkd,yes,4.21
335,S1C8 17062025,JKAJ38.3c,agrpkd,yes,3.2
336,S1C9 17062025,JKAJ38.3c,agrpkd,yes,0.0
338,S1C2 23062025,JKAJ42.2g,agrpkd,yes,17.43
339,S1C3 23062025,JKAJ42.2g,agrpkd,yes,5.83
341,S1C5 23062025,JKAJ42.2g,agrpkd,yes,1.65
342,S1C6 23062025,JKAJ42.2g,agrpkd,yes,2.29
343,S1C7 23062025,JKAJ42.2g,agrpkd,yes,8.64
345,S1C9 23062025,JKAJ42.2g,agrpkd,yes,4.5
