,experiment_day,ID_mouse,Behaviour_6hFD,aggressive,Input_Resistance
125,S1C3 23012023,BRAC7344.5e,Agg+,yes,829.7533337
126,S1C4 23012023,BRAC7344.5e,Agg+,yes,738.8341802
128,S1C6 23012023,BRAC7344.5e,Agg+,yes,973.294741
129,S1C1 24012023,BRAC7344.5d,Agg+,yes,292.9436713
130,S1C2 24012023,BRAC7344.5d,Agg+,yes,741.7270756
131,S1C3 24012023,BRAC7344.5d,Agg+,yes,606.7517525
132,S1C1 21022023,BRAC7344.5c,Agg+,yes,791.17
133,S2C1 21022023,BRAC7344.5c,Agg+,yes,989.94
134,S2C2 21022023,BRAC7344.5c,Agg+,yes,704.299
135,S1C1 15022023,JKAM55.2d,Agg+,yes,679.2
136,S1C2 15022023,JKAM55.2d,Agg+,yes,791.6
137,S1C3 15022023,JKAM55.2d,Agg+,yes,1131.4
138,S1C4 15022023,JKAM55.2d,Agg+,yes,787.9
139,S1C1 27022023,JKAM55.4h,Agg+,yes,554.0
140,S1C2 27022023,JKAM55.4h,Agg+,yes,689.6
141,S1C1 31052023,BRAC7921.4f,Agg+,yes,1097.2953
142,S2C1 31052023,BRAC7921.4f,Agg+,yes,609.1796489
143,S3C1 31052023,BRAC7921.4f,Agg+,yes,786.9473665
144,S3C2 31052023,BRAC7921.4f,Agg+,yes,762.8245367
314,S1C1 12052025,JKAJ37.6h,agrpkd,yes,1011.089682
315,S1C2 12052025,JKAJ37.6h,agrpkd,yes,854.8244226
316,S1C3 12052025,JKAJ37.6h,agrpkd,yes,921.1492442
317,S1C4 12052025,JKAJ37.6h,agrpkd,yes,676.2393577
318,S1C5 12052025,JKAJ37.6h,agrpkd,yes,626.3850752
319,S1C6 12052025,JKAJ37.6h,agrpkd,yes,762.6324832
320,S1C1 16062025,JKAJ39.1g,agrpkd,yes,707.2313931
321,S1C2 16062025,JKAJ39.1g,agrpkd,yes,921.4655521
324,S1C6 16062025,JKAJ39.1g,agrpkd,yes,1322.622159
325,S1C7 16062025,JKAJ39.1g,agrpkd,yes,617.7542059
326,S1C8 16062025,JKAJ39.1g,agrpkd,yes,945.0164383
327,S1C9 16062025,JKAJ39.1g,agrpkd,yes,1394.168098
328,S1C10 1606202,JKAJ39.1g,agrpkd,yes,899.7957366
329,S1C1 17062025,JKAJ38.3c,agrpkd,yes,607.4947575
330,S1C3 17062025,JKAJ38.3c,agrpkd,yes,861.7755763
331,S1C4 17062025,JKAJ38.3c,agrpkd,yes,646.2891099
332,S1C5 17062025,JKAJ38.3c,agrpkd,yes,807.6271501
333,S1C6 17062025,JKAJ38.3c,agrpkd,yes,821.9180487
335,S1C8 17062025,JKAJ38.3c,agrpkd,yes,1184.042637
336,S1C9 17062025,JKAJ38.3c,agrpkd,yes,1347.021222
338,S1C2 23062025,JKAJ42.2g,agrpkd,yes,1042.266077
339,S1C3 23062025,JKAJ42.2g,agrpkd,yes,691.9813231
341,S1C5 23062025,JKAJ42.2g,agrpkd,yes,824.1516424
342,S1C6 23062025,JKAJ42.2g,agrpkd,yes,851.7922448
343,S1C7 23062025,JKAJ42.2g,agrpkd,yes,1063.006127
345,S1C9 23062025,JKAJ42.2g,agrpkd,yes,1322.942809
