,experiment_day,ID_mouse,Behaviour_6hFD,aggressive,Vm
125,S1C3 23012023,BRAC7344.5e,Agg+,yes,-39.04526531
126,S1C4 23012023,BRAC7344.5e,Agg+,yes,-50.48657332
127,S1C5 23012023,BRAC7344.5e,Agg+,yes,-42.50521648
128,S1C6 23012023,BRAC7344.5e,Agg+,yes,-62.38564036
129,S1C1 24012023,BRAC7344.5d,Agg+,yes,-62.07669346
130,S1C2 24012023,BRAC7344.5d,Agg+,yes,-37.25370896
131,S1C3 24012023,BRAC7344.5d,Agg+,yes,-43.91255068
132,S1C1 21022023,BRAC7344.5c,Agg+,yes,-44.69640829
133,S2C1 21022023,BRAC7344.5c,Agg+,yes,-38.93018506
134,S2C2 21022023,BRAC7344.5c,Agg+,yes,-48.25553292
135,S1C1 15022023,JKAM55.2d,Agg+,yes,-61.14101032
136,S1C2 15022023,JKAM55.2d,Agg+,yes,-48.37390838
137,S1C3 15022023,JKAM55.2d,Agg+,yes,-49.49449883
138,S1C4 15022023,JKAM55.2d,Agg+,yes,-37.8437814
139,S1C1 27022023,JKAM55.4h,Agg+,yes,-46.5509606
140,S1C2 27022023,JKAM55.4h,Agg+,yes,-60.53016523
141,S1C1 31052023,BRAC7921.4f,Agg+,yes,-45.09034517
142,S2C1 31052023,BRAC7921.4f,Agg+,yes,-57.90349104
143,S3C1 31052023,BRAC7921.4f,Agg+,yes,-42.65598319
144,S3C2 31052023,BRAC7921.4f,Agg+,yes,-38.79067276
314,S1C1 12052025,JKAJ37.6h,agrpkd,yes,-40.32962172
315,S1C2 12052025,JKAJ37.6h,agrpkd,yes,-38.44637667
316,S1C3 12052025,JKAJ37.6h,agrpkd,yes,-38.04031984
317,S1C4 12052025,JKAJ37.6h,agrpkd,yes,-37.88425527
318,S1C5 12052025,JKAJ37.6h,agrpkd,yes,-33.98674378
319,S1C6 12052025,JKAJ37.6h,agrpkd,yes,-46.90327031
320,S1C1 16062025,JKAJ39.1g,agrpkd,yes,-55.96225555
321,S1C2 16062025,JKAJ39.1g,agrpkd,yes,-35.08716027
324,S1C6 16062025,JKAJ39.1g,agrpkd,yes,-46.91186941
325,S1C7 16062025,JKAJ39.1g,agrpkd,yes,-46.08556418
326,S1C8 16062025,JKAJ39.1g,agrpkd,yes,-59.66459044
327,S1C9 16062025,JKAJ39.1g,agrpkd,yes,-48.82889008
328,S1C10 1606202,JKAJ39.1g,agrpkd,yes,-45.40354519
329,S1C1 17062025,JKAJ38.3c,agrpkd,yes,-58.71229962
330,S1C3 17062025,JKAJ38.3c,agrpkd,yes,-44.66729365
331,S1C4 17062025,JKAJ38.3c,agrpkd,yes,-37.99996168
332,S1C5 17062025,JKAJ38.3c,agrpkd,yes,-41.46773833
333,S1C6 17062025,JKAJ38.3c,agrpkd,yes,-54.57846818
334,S1C7 17062025,JKAJ38.3c,agrpkd,yes,-55.10757679
335,S1C8 17062025,JKAJ38.3c,agrpkd,yes,-64.53639303
336,S1C9 17062025,JKAJ38.3c,agrpkd,yes,-47.97538443
337,S1C1 23062025,JKAJ42.2g,agrpkd,yes,-43.7590605
338,S1C2 23062025,JKAJ42.2g,agrpkd,yes,-48.49429973
339,S1C3 23062025,JKAJ42.2g,agrpkd,yes,-60.90555779
340,S1C4 23062025,JKAJ42.2g,agrpkd,yes,-62.39415963
341,S1C5 23062025,JKAJ42.2g,agrpkd,yes,-54.70701445
342,S1C6 23062025,JKAJ42.2g,agrpkd,yes,-64.78795363
343,S1C7 23062025,JKAJ42.2g,agrpkd,yes,-58.04572232
344,S1C8 23062025,JKAJ42.2g,agrpkd,yes,-70.51307586
345,S1C9 23062025,JKAJ42.2g,agrpkd,yes,-37.45044252
