,experiment_day,ID_mouse,Behaviour_6hFD,Firing_freq_(Hz)_I0
125,S1C3 23012023,BRAC7344.5e,Agg+,0.0
126,S1C4 23012023,BRAC7344.5e,Agg+,0.0
127,S1C5 23012023,BRAC7344.5e,Agg+,1.59
128,S1C6 23012023,BRAC7344.5e,Agg+,0.0
129,S1C1 24012023,BRAC7344.5d,Agg+,0.0
130,S1C2 24012023,BRAC7344.5d,Agg+,0.83
131,S1C3 24012023,BRAC7344.5d,Agg+,0.56
132,S1C1 21022023,BRAC7344.5c,Agg+,0.0
133,S2C1 21022023,BRAC7344.5c,Agg+,0.47
134,S2C2 21022023,BRAC7344.5c,Agg+,0.0
135,S1C1 15022023,JKAM55.2d,Agg+,0.0
136,S1C2 15022023,JKAM55.2d,Agg+,0.16
137,S1C3 15022023,JKAM55.2d,Agg+,0.36
138,S1C4 15022023,JKAM55.2d,Agg+,1.31
139,S1C1 27022023,JKAM55.4h,Agg+,0.91
140,S1C2 27022023,JKAM55.4h,Agg+,0.0
141,S1C1 31052023,BRAC7921.4f,Agg+,0.72
142,S2C1 31052023,BRAC7921.4f,Agg+,0.0
143,S3C1 31052023,BRAC7921.4f,Agg+,0.5
144,S3C2 31052023,BRAC7921.4f,Agg+,1.0
274,S1C1 07042024,JKBR4.1e,npykd,0.0
275,S1C2 07042025,JKBR4.1e,npykd,5.8
276,S1C3 07042026,JKBR4.1e,npykd,0.0
277,S1C4 07042027,JKBR4.1e,npykd,5.2
278,S1C5 07042028,JKBR4.1e,npykd,0.4
279,S1C6 07042029,JKBR4.1e,npykd,0.6
280,S1C7 07042030,JKBR4.1e,npykd,0.6
281,S1C8 07042031,JKBR4.1e,npykd,0.08
282,S1C1 24042024,JKAJ32.4f,npykd,1.8
283,S1C2 24042025,JKAJ32.4f,npykd,0.0
284,S2C1 24042026,JKAJ32.4f,npykd,3.5
285,S2C2 24042027,JKAJ32.4f,npykd,1.4
286,S2C5  2404202,JKAJ32.4f,npykd,2.3
287,S1C1 27042024,JKAJ32.4g,npykd,0.0
288,S1C2 27042025,JKAJ32.4g,npykd,0.0
289,S1C3 27042026,JKAJ32.4g,npykd,1.3
290,S1C4 27042027,JKAJ32.4g,npykd,2.7
291,S1C5 27042028,JKAJ32.4g,npykd,3.5
292,S1C6 27042029,JKAJ32.4g,npykd,8.8
