,experiment_day,ID_mouse,Behaviour_6hFD,Ih_at_-120mV
125,S1C3 23012023,BRAC7344.5e,Agg+,5.55
126,S1C4 23012023,BRAC7344.5e,Agg+,0.0
128,S1C6 23012023,BRAC7344.5e,Agg+,0.0
129,S1C1 24012023,BRAC7344.5d,Agg+,0.0
130,S1C2 24012023,BRAC7344.5d,Agg+,0.0
131,S1C3 24012023,BRAC7344.5d,Agg+,0.0
132,S1C1 21022023,BRAC7344.5c,Agg+,1.04
133,S2C1 21022023,BRAC7344.5c,Agg+,7.57
134,S2C2 21022023,BRAC7344.5c,Agg+,9.25
135,S1C1 15022023,JKAM55.2d,Agg+,11.26
136,S1C2 15022023,JKAM55.2d,Agg+,0.0
137,S1C3 15022023,JKAM55.2d,Agg+,4.52
138,S1C4 15022023,JKAM55.2d,Agg+,1.92
139,S1C1 27022023,JKAM55.4h,Agg+,3.33
140,S1C2 27022023,JKAM55.4h,Agg+,3.45
141,S1C1 31052023,BRAC7921.4f,Agg+,0.0
142,S2C1 31052023,BRAC7921.4f,Agg+,4.49
143,S3C1 31052023,BRAC7921.4f,Agg+,3.11
144,S3C2 31052023,BRAC7921.4f,Agg+,4.97
274,S1C1 07042024,JKBR4.1e,npykd,1.74
275,S1C2 07042025,JKBR4.1e,npykd,6.71
276,S1C3 07042026,JKBR4.1e,npykd,2.26
277,S1C4 07042027,JKBR4.1e,npykd,2.14
278,S1C5 07042028,JKBR4.1e,npykd,12.2
279,S1C6 07042029,JKBR4.1e,npykd,0.0
280,S1C7 07042030,JKBR4.1e,npykd,8.12
281,S1C8 07042031,JKBR4.1e,npykd,2.81
282,S1C1 24042024,JKAJ32.4f,npykd,7.3
283,S1C2 24042025,JKAJ32.4f,npykd,3.97
284,S2C1 24042026,JKAJ32.4f,npykd,1.7
285,S2C2 24042027,JKAJ32.4f,npykd,9.0
286,S2C5  2404202,JKAJ32.4f,npykd,1.31
287,S1C1 27042024,JKAJ32.4g,npykd,9.25
288,S1C2 27042025,JKAJ32.4g,npykd,11.2
289,S1C3 27042026,JKAJ32.4g,npykd,8.3
290,S1C4 27042027,JKAJ32.4g,npykd,9.2
291,S1C5 27042028,JKAJ32.4g,npykd,10.0
292,S1C6 27042029,JKAJ32.4g,npykd,15.6
