id,state,Ghrelin (Peak area/IS),validation
33.2g,Agg-,3.930148606,valid
6561.1c,Agg-,4.765242495,valid
76.4b,Agg-,5.948047586,valid
Agg-,Agg-,0.462982379,invalid
Agg-,Agg-,9.402319179,valid
640.3 1h,Agg+,5.227441571,valid
6561.1e,Agg+,4.810683345,valid
33.2f,Agg+,4.873889665,valid
6561.1g,Agg+,5.197443753,valid
80.41,Agg+,3.23112857,valid
N/A,Control,2.356874506,valid
N/A,Control,0.555737212,valid
N/A,Control,0.278018355,valid
N/A,Control,0.063462181,valid
N/A,Control,0.283427424,valid
