mice_ID,ovx_date,mice_weight_implant,tube_length,implant_identity,tube number,implant_date,exp_date,implant_status,state_before,retrieval_before_latency,state_before_comment,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment
BRAC5665.4d,10/08/21,24.2,1.71,ovx,1,01/09/21,03/09/21,valid,,,,Agg-,,,,
BRAC5665.4e,10/08/21,22.4,1.62,ovx,2,01/09/21,03/09/21,valid,,,,Agg-,,,,
BRAC5668.5f,10/08/21,22.8,1.64,progesterone(5mg/ml),3,01/09/21,03/09/21,valid,,,,Agg+,,,,
BRAC5816.5f,10/08/21,19.2,1.46,progesterone(5mg/ml),4,01/09/21,03/09/21,invalid,,,,Agg-,,,,
BRAC5565.4h,11/08/21,24,1.7,estradiol(10microg/ml),5,02/09/21,04/09/21,valid,,,,Agg-,,,,
BRAC5565.4i,11/08/21,25.6,1.78,progesterone(5mg/ml),6,02/09/21,04/09/21,valid,,,,Agg-,,,,
BRAC5565.4j,11/08/21,23.9,1.695,ovx,7,02/09/21,04/09/21,valid,,,,Agg-,,,,
BRAC5565.4k,11/08/21,21.8,1.59,progesterone(5mg/ml),8,02/09/21,04/09/21,invalid,,,,Agg-,,,,
BRAC5744.5e,11/08/21,22.3,1.615,estradiol(10microg/ml),9,02/09/21,04/09/21,valid,,,,Agg-,,,,
BRAC5744.5f,11/08/21,21.6,1.58,ovx,10,02/09/21,04/09/21,valid,,,,Agg+,,,,
BRAC5744.5g,11/08/21,22.4,1.62,progesterone(5mg/ml),11,02/09/21,04/09/21,invalid,,,,Agg+,,,,
BRAC5744.5h,11/08/21,20.8,1.54,estradiol(10microg/ml),12,02/09/21,04/09/21,valid,,,,Agg+,,,,
BRAC6241.1j,18/08/21,22.3,1.615,estradiol(100microg/ml),13,06/09/21,08/09/21,,,,,,,,,
BRAC6241.1k,18/08/21,22.4,1.62,estradiol(100microg/ml),14,06/09/21,08/09/21,,,,,,,,,
BRAC6241.1l,18/08/21,24.3,1.715,progesterone(1mg/ml),15,06/09/21,08/09/21,,,,,,,,,
BRAC6241.1m,18/08/21,26,1.8,progesterone(1mg/ml),16,06/09/21,08/09/21,,,,,,,,,
BRAC5971.3g,18/08/21,21.5,1.575,progesterone(1mg/ml),17,06/09/21,08/09/21,,,,,,,,,
BRAC5971.3h,18/08/21,21.2,1.56,progesterone(1mg/ml),18,06/09/21,08/09/21,,,,,,,,,
BRAC5971.3i,18/08/21,22,1.6,estradiol(100microg/ml),19,06/09/21,08/09/21,,,,,,,,,
BRAC5971.3j,18/08/21,24.2,1.71,estradiol(100microg/ml),20,06/09/21,08/09/21,,,,,,,,,
