,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1860.2,4324.6,284.0,60.5521,0.9734,19.702,18.5,0.3058,52.9153,59953.0,3.7383,62.0,42.0,20.0,65.0803,73736.0,5.2516,81.0,52.0,29.0,475.75,78.0743,0.9808,25.4917,23.5,0.2853,50.4228,5.1195,62.0,36.0,54.1539,15.3264,81.0,17.0,46.7601,4.6535,60.0,36.0,38.0973,10.3038,60.0,17.0,0.5938
1,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1812.2,4377.3,302.75,64.418,0.9168,21.5257,18.1506,0.5355,42.0803,50833.0,4.3794,56.0,34.0,22.0,40.2632,48638.0,1.5046,44.0,36.0,8.0,508.0,81.0033,0.9729,27.174,23.9745,0.4655,42.97,5.4216,61.0,32.0,37.6742,3.9551,44.0,24.0,44.2743,6.4456,61.0,32.0,33.8786,3.3197,40.0,24.0,0.5965
2,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1918.9,4563.1,33.5,26.3642,0.6057,9.6977,6.1333,0.7851,53.8071,7533.0,2.1886,58.0,48.0,10.0,18.4429,2582.0,0.9911,21.0,16.0,5.0,135.0,43.3506,0.9027,15.533,12.0208,0.646,54.9096,4.2236,66.0,43.0,17.452,1.2639,21.0,14.0,55.2935,4.6727,66.0,43.0,17.107,1.163,21.0,14.0,0.2567
3,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2066.9,4565.6,36.0,22.9894,0.856,7.6796,6.62,0.5763,57.1986,8351.0,4.49,66.0,46.0,20.0,45.4658,6638.0,0.9838,48.0,42.0,6.0,113.75,38.5487,0.9619,12.9987,11.5567,0.3861,55.6982,6.1794,68.0,42.0,44.0903,1.4971,48.0,40.0,54.987,6.7264,68.0,42.0,43.4383,1.2345,47.0,40.0,0.323
4,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2056.3,4568.5,24.5,20.9355,0.7024,8.2265,4.1193,0.8883,56.495,5706.0,1.8035,62.0,54.0,8.0,46.2277,4669.0,1.0186,49.0,43.0,6.0,88.25,35.651,0.8725,13.0667,9.153,0.6855,58.0197,2.9154,65.0,53.0,43.2085,3.6825,49.0,31.0,58.626,3.0513,65.0,53.0,42.0079,3.6713,49.0,31.0,0.2796
5,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2075.5,4570.7,36.5,28.034,0.5836,12.0584,4.1584,0.9504,47.2876,7235.0,3.2316,55.0,40.0,15.0,45.7255,6996.0,1.1823,48.0,43.0,5.0,116.5,43.7046,0.7664,17.0509,9.5522,0.8321,46.4319,3.5712,55.0,39.0,42.8936,3.4882,48.0,30.0,46.0189,3.6578,54.0,39.0,41.5268,3.4103,47.0,30.0,0.316
6,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2064.3,4576.5,47.75,32.0525,0.5841,13.4318,5.0261,0.9338,53.1606,10260.0,2.3914,59.0,48.0,11.0,47.6425,9195.0,1.7144,53.0,44.0,9.0,119.5,43.8417,0.7813,17.3911,9.9659,0.8016,52.9189,2.9839,59.0,45.0,42.5343,6.0947,53.0,25.0,52.7569,3.3166,59.0,45.0,39.1111,5.5544,47.0,25.0,0.3924
7,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2062.8,4839.3,216.0,57.9192,0.8091,19.8274,14.291,0.6918,46.8339,40605.0,4.6297,59.0,38.0,21.0,58.2837,50532.0,2.0196,65.0,53.0,12.0,405.75,73.9855,0.9315,25.6155,20.1246,0.6041,46.8021,5.6697,61.0,36.0,55.2176,5.4448,66.0,37.0,46.7656,6.6699,61.0,36.0,51.6967,5.9856,66.0,37.0,0.533
8,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1999.6,4872.1,42.0,35.7535,0.4129,15.1574,4.9447,0.953,53.9045,9595.0,4.5606,61.0,42.0,19.0,38.6067,6872.0,2.3775,45.0,33.0,12.0,175.0,52.9682,0.7838,21.2055,10.8423,0.8621,52.2511,5.269,61.0,40.0,34.8631,5.0558,45.0,22.0,51.6883,5.3784,61.0,40.0,33.5889,5.0946,43.0,22.0,0.2502
9,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2040.8,4895.1,252.25,61.041,0.8507,19.4723,17.9608,0.3208,48.9158,49356.0,3.2796,57.0,40.0,17.0,20.5431,20728.0,0.9952,23.0,18.0,5.0,449.5,77.0133,0.9524,25.2438,23.5,0.2833,47.2967,3.8448,57.0,37.0,19.1667,1.8841,23.0,14.0,45.2314,3.51,53.0,37.0,17.4109,1.146,20.0,14.0,0.5603
10,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2121.7,4972.4,128.0,48.2966,0.6896,18.5791,9.9559,0.8731,54.3822,28170.0,4.3985,68.0,47.0,21.0,21.9903,11391.0,1.0619,24.0,19.0,5.0,293.75,65.6377,0.8568,24.9818,15.5825,0.7918,54.0587,5.1362,69.0,42.0,20.7728,1.6103,24.0,16.0,53.8037,5.6406,69.0,42.0,19.8128,1.2878,23.0,16.0,0.4406
11,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2032.1,4993.5,19.25,17.5896,0.7819,6.1954,4.9688,0.6431,67.9412,5775.0,2.9128,74.0,60.0,14.0,18.4941,1572.0,0.7962,21.0,17.0,4.0,100.25,36.5228,0.9444,12.5325,10.5,0.5169,66.5926,6.8545,80.0,48.0,17.9333,0.9054,21.0,15.0,66.2344,7.5271,80.0,48.0,17.7844,0.8748,20.0,15.0,0.2067
12,JKAH28.1f_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1873.2,4998.5,111.25,51.5688,0.5257,18.8855,9.315,0.9008,61.049,27411.0,4.4323,73.0,51.0,22.0,27.3786,12293.0,1.8466,33.0,22.0,11.0,286.25,66.6739,0.8092,25.163,15.3231,0.8166,59.3002,6.38,76.0,43.0,25.2819,2.4944,33.0,17.0,58.1736,7.1467,76.0,43.0,23.9311,1.8378,28.0,17.0,0.3888
