,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1101.4,4088.8,64.5,30.2777,0.8841,10.3672,8.5181,0.4914,48.4809,12702.0,12.1371,125.0,34.0,91.0,30.3092,7941.0,4.3839,38.0,21.0,17.0,175.25,48.2242,0.947,16.1903,14.2132,0.3758,49.7735,29.7745,190.0,26.0,22.7066,7.4865,38.0,12.0,50.5432,36.4203,190.0,26.0,18.1795,4.7996,35.0,12.0,0.371
1,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1151.7,4091.8,55.0,30.0015,0.7679,10.9447,6.8606,0.7575,79.0044,17855.0,35.8396,165.0,32.0,133.0,23.4646,5303.0,3.1384,30.0,16.0,14.0,164.75,46.9756,0.9382,16.6995,12.0,0.6462,55.1182,32.6645,165.0,26.0,17.5409,4.9464,30.0,11.0,42.6797,22.4399,144.0,26.0,14.4562,2.0657,21.0,11.0,0.339
2,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1179.3,4093.0,61.25,35.8532,0.5988,13.7219,6.6596,0.8966,41.1245,10240.0,9.74,91.0,29.0,62.0,17.8554,4446.0,1.5745,21.0,13.0,8.0,165.5,51.5552,0.7825,19.521,10.3239,0.8611,46.4796,21.1839,148.0,26.0,15.905,2.0628,21.0,12.0,49.7005,25.1925,148.0,26.0,14.7319,1.2881,20.0,12.0,0.3681
3,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1189.1,4092.2,66.5,33.2017,0.7581,13.2687,6.6513,0.8579,71.8667,19404.0,33.5668,180.0,31.0,149.0,19.563,5282.0,1.6658,24.0,15.0,9.0,140.5,48.269,0.7578,17.5902,11.0427,0.7561,53.833,30.1611,180.0,24.0,17.3517,2.68,24.0,12.0,37.215,11.6212,83.0,24.0,15.314,1.606,20.0,12.0,0.4712
4,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1142.0,4104.2,52.5,27.6922,0.8603,9.92,7.2543,0.6788,40.6526,8659.0,8.0395,60.0,26.0,34.0,17.1502,3653.0,1.4972,21.0,14.0,7.0,153.5,45.0096,0.9522,15.5593,13.0,0.544,33.6124,8.0755,60.0,24.0,14.4267,2.3635,21.0,11.0,29.8728,5.0271,51.0,24.0,12.9801,1.1509,17.0,11.0,0.3441
5,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1194.2,4107.6,107.0,44.8356,0.6689,15.9593,10.3832,0.7931,32.5777,14041.0,5.1915,64.0,27.0,37.0,18.4849,7967.0,1.2719,22.0,15.0,7.0,236.25,57.6798,0.8923,20.3692,15.5445,0.6213,32.3584,5.7337,76.0,25.0,16.686,2.0594,22.0,12.0,32.1748,6.1499,76.0,25.0,15.1806,1.2081,19.0,12.0,0.4577
6,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1265.3,4104.7,44.25,26.2692,0.8058,10.34,5.8751,0.8301,55.4641,10039.0,17.0165,113.0,32.0,81.0,21.0331,3807.0,2.5449,26.0,15.0,11.0,143.75,43.9011,0.9373,16.3503,11.5494,0.6864,47.5642,24.902,188.0,23.0,15.9497,3.9606,26.0,10.0,43.9443,27.0349,188.0,23.0,13.6203,1.6192,18.0,10.0,0.3024
7,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1173.0,4113.5,42.0,24.665,0.8676,8.5804,6.72,0.642,103.0994,17630.0,31.287,167.0,48.0,119.0,18.5848,3178.0,1.5821,23.0,16.0,7.0,137.25,42.4834,0.9556,14.0635,12.0,0.4656,60.0054,35.3728,167.0,28.0,15.9074,2.4069,23.0,11.0,40.6132,12.7184,98.0,28.0,14.7026,1.6108,20.0,11.0,0.3041
8,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1123.5,4113.8,42.75,26.6808,0.7547,10.7636,6.1921,0.7903,47.5814,8184.0,8.876,72.0,32.0,40.0,21.5581,3708.0,2.2379,26.0,17.0,9.0,125.5,42.1376,0.8882,15.7749,11.0,0.6839,41.4249,13.3745,93.0,23.0,16.9249,4.0121,26.0,11.0,38.2545,14.183,93.0,23.0,14.5389,2.2454,22.0,11.0,0.3412
9,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1147.8,4117.9,74.5,32.1112,0.9079,10.5129,9.7371,0.3852,29.557,9074.0,1.6187,33.0,25.0,8.0,27.43,8421.0,4.9101,41.0,19.0,22.0,192.5,49.737,0.9779,16.2929,15.3949,0.2206,27.8124,2.2127,34.0,23.0,20.2057,6.8832,41.0,11.0,26.6631,1.7525,34.0,23.0,15.4464,2.3742,22.0,11.0,0.3946
