,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1486.9,3578.2,80.25,34.2109,0.8616,11.4727,9.5926,0.4918,56.8712,18540.0,15.1847,86.0,32.0,54.0,21.9632,7160.0,3.8252,29.0,14.0,15.0,202.5,51.747,0.9503,17.2869,14.9959,0.4202,47.9815,17.3947,86.0,25.0,16.1874,5.6566,29.0,8.0,42.0062,16.2032,86.0,25.0,12.3052,2.48,21.0,8.0,0.3979
1,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1514.0,3592.4,46.25,26.0025,0.8596,9.8117,6.1218,0.7779,117.3194,22408.0,53.1693,255.0,58.0,197.0,46.9581,8969.0,12.751,73.0,23.0,50.0,145.5,43.9266,0.9476,15.7823,11.9358,0.6311,100.8282,54.9846,255.0,31.0,24.9485,17.6834,73.0,7.0,92.7724,54.1151,255.0,31.0,14.1969,5.7881,37.0,7.0,0.3227
2,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1510.2,3642.9,60.5,28.8735,0.9119,9.8144,7.9742,0.5751,128.0492,31244.0,41.6945,255.0,53.0,202.0,21.8852,5340.0,3.8558,31.0,15.0,16.0,151.5,45.2862,0.9283,15.6035,12.7456,0.549,90.8056,50.5382,255.0,24.0,15.9473,5.6432,31.0,8.0,65.7713,39.3105,245.0,24.0,11.9559,1.8945,17.0,8.0,0.3972
3,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1514.0,3652.2,21.0,16.9426,0.9193,6.0023,4.7756,0.5818,157.2247,13993.0,42.3051,245.0,79.0,166.0,13.3371,1187.0,1.4218,16.0,10.0,6.0,80.0,33.5532,0.893,12.1806,8.741,0.6934,98.7407,51.938,245.0,34.0,10.8426,2.1253,16.0,7.0,76.5915,35.4528,222.0,34.0,9.8979,1.4872,14.0,7.0,0.2541
4,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1557.0,3656.7,71.75,34.6367,0.7516,14.1167,7.7024,0.8392,69.4041,20266.0,22.4402,134.0,40.0,94.0,21.6712,6328.0,5.2453,35.0,12.0,23.0,191.75,52.0016,0.8911,19.8357,13.565,0.7488,51.5544,21.5713,134.0,26.0,14.5933,6.6546,35.0,7.0,40.6958,11.4315,97.0,26.0,10.2875,2.3335,18.0,7.0,0.3761
5,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1557.1,3669.8,84.75,39.3004,0.6895,16.0195,7.6754,0.885,73.6254,24959.0,38.3575,255.0,38.0,217.0,14.1445,4795.0,2.0826,21.0,10.0,11.0,211.75,56.4733,0.8343,21.5742,12.7643,0.8242,54.2476,32.4813,255.0,20.0,11.0212,3.0275,21.0,6.0,41.3418,19.0442,156.0,20.0,8.9411,1.2456,13.0,6.0,0.3994
6,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1607.4,3669.7,43.0,27.383,0.7206,11.1652,5.4726,0.878,80.2386,14122.0,21.6602,148.0,42.0,106.0,17.9034,3151.0,2.9095,25.0,11.0,14.0,145.5,45.4786,0.884,16.6788,10.5,0.7738,71.2072,42.7233,233.0,24.0,12.1524,4.4843,25.0,6.0,67.3113,48.6043,233.0,24.0,9.6716,2.1663,19.0,6.0,0.2985
7,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1533.0,3684.2,103.75,43.2894,0.6957,15.2431,10.4315,0.7321,53.5558,22547.0,10.1172,80.0,35.0,45.0,13.4157,5648.0,1.7622,18.0,9.0,9.0,252.0,58.8407,0.9146,21.2007,15.972,0.6724,48.4303,13.5438,125.0,27.0,11.3017,2.2758,18.0,7.0,44.7729,14.47,125.0,27.0,9.7932,1.0923,13.0,7.0,0.4187
8,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1562.3,3682.0,55.5,27.957,0.8923,9.5004,7.8585,0.5623,59.146,13367.0,10.5055,91.0,36.0,55.0,11.9867,2709.0,1.2489,15.0,9.0,6.0,156.75,45.2124,0.9636,14.9415,13.5,0.332,49.2508,20.2438,127.0,23.0,9.8905,1.912,15.0,6.0,43.7153,22.1898,127.0,23.0,8.7178,0.9961,12.0,6.0,0.3532
9,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1619.4,3687.8,68.0,32.7798,0.7953,12.6856,7.3478,0.8229,52.4182,14415.0,13.0035,159.0,34.0,125.0,13.1491,3616.0,1.6554,17.0,10.0,7.0,185.75,50.0286,0.9326,18.3727,13.1181,0.6999,48.9572,30.264,232.0,25.0,10.5882,2.3425,17.0,6.0,46.945,36.6108,232.0,25.0,9.0994,1.0254,12.0,6.0,0.3704
10,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1548.4,3689.6,63.25,30.6553,0.8458,11.388,7.2834,0.7855,136.6744,35262.0,59.3848,255.0,45.0,210.0,22.5426,5816.0,4.3406,32.0,13.0,19.0,179.75,49.0174,0.9401,17.7788,13.2901,0.6533,85.9626,59.5995,255.0,25.0,15.4521,6.164,32.0,8.0,57.7041,36.5731,221.0,25.0,11.5011,2.2388,18.0,8.0,0.3538
11,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1635.1,3695.4,65.75,30.9828,0.8607,10.7816,8.4623,0.5577,104.1728,28335.0,46.2539,249.0,35.0,214.0,15.7022,4271.0,1.999,20.0,12.0,8.0,183.5,49.6172,0.9367,16.7046,14.7062,0.3913,68.668,42.3574,249.0,24.0,12.4851,2.9136,20.0,8.0,47.9442,20.7125,105.0,24.0,10.6073,1.2401,13.0,8.0,0.3613
12,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1606.5,3698.2,99.25,41.6124,0.7203,13.8849,10.3745,0.5723,38.8168,15682.0,6.8065,56.0,27.0,29.0,11.5842,4680.0,1.1534,15.0,9.0,6.0,235.25,56.31,0.9323,19.149,16.1591,0.3737,41.7436,14.7697,143.0,27.0,10.6621,1.5917,15.0,7.0,43.9333,18.3245,143.0,27.0,9.9722,1.5244,15.0,7.0,0.4314
13,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1568.3,3698.1,47.0,29.9035,0.6605,12.002,5.5904,0.9053,100.5291,19000.0,35.0702,183.0,43.0,140.0,22.5873,4269.0,3.9745,31.0,11.0,20.0,158.25,47.812,0.8699,18.1584,11.3137,0.7928,81.3139,54.3077,255.0,24.0,13.6183,6.5155,31.0,7.0,73.1528,58.8225,255.0,24.0,9.809,2.2465,18.0,7.0,0.2932
14,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1618.4,3709.5,66.5,34.4532,0.704,13.9975,6.3906,0.898,107.9084,29459.0,41.567,241.0,50.0,191.0,24.7656,6761.0,4.9375,37.0,15.0,22.0,183.25,51.27,0.876,18.7763,12.4466,0.7397,83.9035,44.8625,241.0,30.0,17.8261,6.4616,37.0,8.0,69.7495,40.5391,222.0,30.0,13.7343,2.6146,22.0,8.0,0.3664
15,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1536.2,3708.4,50.5,27.3822,0.8464,10.5523,6.3324,0.7916,95.6942,19713.0,45.472,255.0,46.0,209.0,54.3981,11206.0,14.4231,81.0,26.0,55.0,152.75,45.2733,0.9365,16.1047,11.5,0.6847,57.2524,38.9425,255.0,22.0,28.6384,20.8584,81.0,8.0,37.8431,10.8174,85.0,22.0,15.6324,6.7137,40.0,8.0,0.3331
