,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1407.8,3966.8,91.0,36.1332,0.8759,11.8825,10.1726,0.4501,216.5326,79684.0,31.975,255.0,171.0,84.0,38.0598,14006.0,3.1462,45.0,31.0,14.0,221.5,53.5686,0.97,17.9259,16.2461,0.3618,213.2565,37.8466,255.0,141.0,32.1718,5.6969,45.0,22.0,210.9246,41.3959,255.0,141.0,27.9807,2.4972,35.0,22.0,0.4112
1,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1422.4,3980.8,64.75,31.8168,0.8038,11.4544,7.6868,0.7438,190.5076,49913.0,32.3681,255.0,132.0,123.0,31.8321,8340.0,1.9423,38.0,27.0,11.0,181.5,49.5322,0.9296,17.5998,13.435,0.621,183.5234,44.8042,255.0,121.0,28.9573,2.724,38.0,22.0,179.5797,50.0957,255.0,121.0,27.3341,1.4749,32.0,22.0,0.3627
2,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1402.2,4004.1,101.25,39.272,0.825,15.0394,8.8853,0.8224,213.9069,87274.0,17.9311,254.0,179.0,75.0,222.8015,90903.0,40.1565,255.0,106.0,149.0,233.0,56.7326,0.9097,20.0083,14.457,0.7063,206.8501,24.755,255.0,152.0,139.015,82.0905,255.0,33.0,201.3764,27.7683,255.0,152.0,74.0247,32.2234,168.0,33.0,0.4373
3,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1472.4,4006.8,48.25,28.1088,0.7674,10.7877,6.9386,0.7462,225.0965,44344.0,19.8843,255.0,181.0,74.0,41.203,8117.0,4.3868,53.0,34.0,19.0,152.0,45.4813,0.9234,16.73,12.0,0.6365,197.3744,28.2049,255.0,140.0,33.7685,6.7391,53.0,23.0,184.1189,21.0658,255.0,140.0,30.2136,4.3411,43.0,23.0,0.3167
4,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1434.7,4011.7,96.0,36.2411,0.9185,12.3462,10.3973,0.5145,236.5337,91302.0,24.0622,255.0,173.0,82.0,105.8368,40853.0,23.6926,154.0,65.0,89.0,224.0,53.596,0.9799,18.1169,16.0,0.4512,228.4905,26.3563,255.0,159.0,72.612,33.7432,154.0,32.0,222.4149,26.4081,255.0,159.0,47.5147,10.4886,84.0,32.0,0.4227
5,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1491.2,4015.9,64.0,31.5618,0.8074,11.6436,8.0691,0.715,202.4221,53237.0,26.9754,255.0,165.0,90.0,35.3878,9307.0,2.1565,42.0,30.0,12.0,180.0,49.3697,0.928,17.5748,13.7889,0.58,196.5021,32.7703,255.0,146.0,31.3204,3.8321,42.0,24.0,193.1026,35.256,255.0,146.0,28.9847,2.3412,36.0,24.0,0.3629
6,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1405.0,4020.2,59.5,29.7605,0.8442,10.8994,7.5741,0.6875,229.7593,55372.0,20.2009,255.0,190.0,65.0,47.9585,11558.0,5.769,59.0,37.0,22.0,147.25,44.6795,0.9269,15.3616,13.0,0.3167,219.929,23.0676,255.0,158.0,42.0372,8.3758,59.0,28.0,213.1795,22.5047,255.0,158.0,37.9715,7.4107,56.0,28.0,0.4118
7,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1394.4,4019.2,17.25,16.4627,0.7998,5.5271,4.5729,0.5609,241.3243,17858.0,12.9033,255.0,212.0,43.0,36.7432,2719.0,2.6069,44.0,32.0,12.0,72.75,32.0076,0.8924,11.1903,8.3168,0.6054,241.7158,13.9616,255.0,195.0,34.4041,3.2903,44.0,28.0,241.8486,14.3289,255.0,195.0,33.6101,3.1196,44.0,28.0,0.2502
8,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1441.4,4024.5,56.0,29.8126,0.7918,10.7945,7.3377,0.7274,241.0043,55672.0,17.8977,255.0,187.0,68.0,35.3377,8163.0,1.7466,39.0,31.0,8.0,165.75,47.1925,0.9352,16.22,13.1187,0.6139,212.6165,37.4547,255.0,129.0,33.0992,3.0467,41.0,26.0,197.5069,36.3643,255.0,129.0,31.9078,2.9186,41.0,26.0,0.3405
9,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1488.8,4035.8,59.0,28.8314,0.8919,10.2198,7.8217,0.6304,193.725,46494.0,30.1132,255.0,140.0,115.0,42.0958,10103.0,4.2519,50.0,33.0,17.0,167.0,46.7312,0.961,15.8856,13.0,0.5214,176.291,27.4621,255.0,128.0,34.0045,6.8818,50.0,24.0,166.5605,20.1482,212.0,128.0,29.4884,2.5907,36.0,24.0,0.3548
10,JKAX12.3d_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1413.8,4037.5,45.75,26.8342,0.7984,8.8867,7.6487,0.5262,224.8877,42054.0,32.875,255.0,157.0,98.0,35.0802,6560.0,2.5292,43.0,31.0,12.0,150.0,44.7069,0.9431,14.9451,13.4778,0.3884,218.7591,40.8953,255.0,140.0,31.5149,3.1344,43.0,25.0,215.9976,43.7912,255.0,140.0,29.9084,1.7491,34.0,25.0,0.3054
