,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1979.6,4311.1,14.5,15.4745,0.7609,6.1675,3.6457,0.8293,83.629,5185.0,4.4949,92.0,71.0,21.0,31.2742,1939.0,1.1332,34.0,29.0,5.0,52.5,28.9612,0.7866,11.3872,6.0,0.8654,82.0423,7.7395,98.0,67.0,30.3944,1.9094,34.0,24.0,81.3907,8.6587,98.0,67.0,30.0331,2.0442,34.0,24.0,0.2859
1,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1980.2,4322.8,148.25,52.3342,0.6802,18.3084,12.3994,0.6615,88.8103,53375.0,16.5858,146.0,64.0,82.0,35.6057,21399.0,2.5604,42.0,30.0,12.0,303.75,65.9013,0.8789,23.4964,18.2464,0.5938,86.93,17.3308,146.0,62.0,32.4687,3.8865,42.0,23.0,85.0865,17.8534,144.0,62.0,29.3931,2.0912,36.0,23.0,0.4899
2,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1996.2,4341.7,36.0,22.1212,0.9245,7.4923,6.3472,0.5422,99.6622,14750.0,28.3243,200.0,76.0,124.0,37.5203,5553.0,3.3816,46.0,32.0,14.0,121.75,39.8915,0.9614,13.7476,11.5,0.4482,79.2878,22.0925,200.0,51.0,30.198,5.6695,46.0,22.0,70.4708,9.7945,95.0,51.0,27.0292,2.797,34.0,22.0,0.2947
3,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1985.1,4348.6,71.75,31.7025,0.8971,11.2439,8.6158,0.5823,78.9689,22822.0,18.4026,166.0,63.0,103.0,85.8235,24803.0,17.0078,133.0,52.0,81.0,184.0,49.4111,0.9471,17.0054,14.2621,0.4955,73.0272,16.8225,166.0,51.0,54.981,27.7969,133.0,26.0,69.1857,14.4921,161.0,51.0,35.0403,8.4632,67.0,26.0,0.3873
4,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2013.6,4355.9,50.5,26.8694,0.879,9.4688,7.33,0.6485,103.1176,21036.0,22.2982,180.0,69.0,111.0,36.652,7477.0,3.0644,43.0,31.0,12.0,151.25,44.6372,0.9539,15.2933,13.0,0.4778,92.5239,22.3167,180.0,56.0,30.1829,5.2804,43.0,23.0,87.1613,20.3448,136.0,56.0,26.9082,2.3027,34.0,23.0,0.3287
5,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2031.4,4362.2,97.5,41.0045,0.7287,13.6964,9.8633,0.6827,65.0179,25422.0,4.6395,81.0,59.0,22.0,37.89,14815.0,1.9834,43.0,33.0,10.0,237.0,57.7676,0.8925,19.295,15.5221,0.5567,67.0168,7.1092,100.0,57.0,34.9127,3.4531,43.0,27.0,68.4125,8.1319,100.0,57.0,32.8339,2.6439,42.0,27.0,0.4079
6,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2074.2,4371.8,26.75,20.7314,0.7821,8.3058,4.8842,0.8327,122.8807,13394.0,22.9031,169.0,78.0,91.0,33.6605,3669.0,2.7122,39.0,29.0,10.0,111.25,38.8799,0.9248,14.2437,10.8173,0.6654,94.745,26.1339,169.0,58.0,29.5392,3.4057,39.0,24.0,85.6716,19.929,156.0,58.0,28.2101,2.3932,36.0,24.0,0.2445
7,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,2031.6,4381.9,169.25,55.6919,0.6857,18.7832,14.2046,0.6808,92.7109,62858.0,25.5575,205.0,56.0,149.0,89.0855,60400.0,24.2234,160.0,50.0,110.0,352.75,71.8678,0.8582,24.7958,19.6237,0.592,92.3579,24.1657,205.0,51.0,67.1935,28.3829,160.0,28.0,92.0314,22.8156,156.0,51.0,46.9441,12.4321,95.0,28.0,0.4815
8,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1988.8,4378.8,17.0,15.2402,0.9198,5.8094,3.7695,0.735,159.0278,11450.0,17.5073,202.0,122.0,80.0,56.5,4068.0,9.2736,71.0,40.0,31.0,71.25,30.99,0.9323,11.1116,8.8966,0.5448,120.3711,30.3108,202.0,72.0,38.0412,13.2141,71.0,24.0,107.6621,21.5999,165.0,72.0,31.9726,7.3988,64.0,24.0,0.2292
9,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1993.0,4387.3,34.0,23.204,0.7935,8.3843,6.0736,0.6858,93.3309,12973.0,7.4273,107.0,77.0,30.0,34.259,4762.0,2.2597,39.0,29.0,10.0,114.0,39.8473,0.9022,14.1693,11.262,0.5861,83.3755,11.4327,112.0,63.0,30.8144,3.373,39.0,24.0,79.0376,10.0848,112.0,63.0,29.3135,2.586,38.0,24.0,0.3007
