,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1773.9,3812.3,153.0,49.9834,0.7696,17.1257,12.9555,0.5931,248.3462,154223.0,12.8831,255.0,201.0,54.0,22.0467,13691.0,1.3281,26.0,19.0,7.0,323.5,66.1489,0.929,23.0749,18.8142,0.5384,246.1806,17.1115,255.0,179.0,20.5856,1.8889,26.0,16.0,244.1881,20.0402,255.0,179.0,19.2415,1.2068,23.0,16.0,0.4776
1,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1792.7,3823.9,66.25,31.0408,0.864,11.6909,7.5473,0.7795,252.8694,67769.0,6.7025,255.0,207.0,48.0,40.3918,10825.0,6.96,54.0,27.0,27.0,168.5,47.827,0.9257,17.3594,12.9071,0.6805,234.944,27.1191,255.0,170.0,29.5619,10.1833,54.0,17.0,223.2268,28.9801,255.0,170.0,22.4829,3.5972,34.0,17.0,0.3932
2,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1836.8,3833.5,227.0,57.7377,0.8557,19.8483,16.2012,0.5357,241.2752,220043.0,16.1051,255.0,178.0,77.0,26.0724,23778.0,2.1754,32.0,21.0,11.0,414.75,75.555,0.913,26.1161,21.7431,0.4724,241.7657,20.5984,255.0,149.0,23.5476,3.3811,32.0,16.0,242.3636,25.0067,255.0,149.0,20.4693,1.5316,25.0,16.0,0.5461
3,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1799.9,3831.3,21.75,18.6665,0.7844,6.7578,4.1222,0.8053,254.9348,23454.0,0.2483,255.0,254.0,1.0,22.0543,2029.0,1.4401,25.0,19.0,6.0,89.5,35.0121,0.9175,12.711,8.429,0.7444,253.575,4.7996,255.0,226.0,19.9,2.0266,25.0,16.0,253.1082,5.4861,255.0,226.0,19.1604,1.6331,25.0,16.0,0.2481
4,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1808.4,3840.8,65.5,33.496,0.7336,11.9581,8.445,0.7106,254.9216,68319.0,0.4553,255.0,249.0,6.0,23.4664,6289.0,2.0904,30.0,19.0,11.0,182.25,49.6168,0.9303,17.3687,14.2916,0.5707,250.1313,12.0979,255.0,196.0,20.8399,2.7173,30.0,16.0,247.3585,14.4956,255.0,196.0,19.3197,1.6805,24.0,16.0,0.3619
5,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1776.7,3847.3,52.5,27.9315,0.8456,10.663,6.2501,0.8097,252.5498,53288.0,6.7133,255.0,209.0,46.0,23.2749,4911.0,1.5947,27.0,20.0,7.0,157.0,45.9129,0.9359,16.7262,12.2565,0.654,217.6757,39.5804,255.0,139.0,19.9157,2.7399,27.0,16.0,200.0718,37.5577,255.0,139.0,18.2201,1.1973,22.0,16.0,0.3326
6,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1884.9,3846.4,33.25,23.2012,0.7762,8.2243,6.1283,0.5332,250.3453,34798.0,9.5118,255.0,211.0,44.0,21.187,2945.0,1.349,32.0,19.0,13.0,103.5,38.6959,0.8686,13.6231,9.5945,0.6699,234.3381,26.4473,255.0,166.0,20.1175,1.5653,32.0,16.0,226.3345,28.5046,255.0,166.0,19.5827,1.3827,27.0,16.0,0.3237
7,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1894.8,3853.5,90.75,42.0031,0.6464,16.0669,8.4218,0.8521,249.0328,91146.0,13.5136,255.0,195.0,60.0,21.0191,7693.0,1.5088,24.0,17.0,7.0,209.25,55.1108,0.8658,21.1588,13.5,0.7771,241.5952,22.534,255.0,161.0,19.3006,2.0746,24.0,15.0,235.791,26.181,255.0,161.0,17.9595,1.3351,22.0,15.0,0.4385
8,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1793.7,3854.4,46.25,27.2472,0.7829,9.8554,5.9616,0.8158,253.0158,48073.0,6.5655,255.0,214.0,41.0,31.1263,5914.0,4.3394,40.0,23.0,17.0,146.25,44.2399,0.939,15.5431,11.8915,0.6451,232.602,34.5636,255.0,140.0,23.216,6.297,40.0,15.0,222.8568,38.0948,255.0,140.0,19.4397,2.3283,27.0,15.0,0.3175
9,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1925.4,3855.8,70.25,34.1836,0.7555,11.6115,8.8332,0.6521,233.2753,66950.0,25.805,255.0,158.0,97.0,22.0279,6322.0,2.217,28.0,15.0,13.0,195.25,51.4719,0.9261,17.5948,14.8351,0.5401,206.9193,44.8871,255.0,118.0,18.4059,3.2841,28.0,13.0,191.6073,46.4993,255.0,118.0,16.3016,1.4622,20.0,13.0,0.3698
