mice_ID,surgery_date,KO,estrous_stage,injection_site,virus,exp_date,registration,registration_comment,state_before,retrieval_before_latency,state_before_comment,state,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,collection,validation,comment
JKAX6.2h,29/11/2021,PR,M,MPOA,EGFP-CRE,20/12/2021,done,one anterior section missing in scanning,Agg-,,Parental-,Parental-,Agg-,,Parental-,,,done,valid,"very spready injection, one side injected way too anteriorly"
JKAX6.2g,29/11/2021,PR,D,MPOA,EGFP-CRE,20/12/2021,done,one posterior MPN slice missing,Agg-,,Parental+,Parental+,Agg-,,Parental+,,build a nest around two pups,done,valid,
JKAX6.2f,29/11/2021,PR,D,MPOA,EGFP-CRE,11/01/2022,done,,Agg-,,Parental-,Parental-,Agg-,,Parental-,,,done,valid,"unilateral injection, very spready"
JKAX6.2e,29/11/2021,PR,P,MPOA,EGFP-CRE,20/12/2021,done,one slice may be containinated by nail polish,Agg-,,Parental+,Agg+,Agg+,809,,,,done,valid,"injection very uneven, not a lot of expression in the MPOA"
JKAX12.1e,05/01/2022,PR,M,MPOA,EGFP-CRE,29/01/2022,done,"slice slightly damaged,end MPOA not captured due to slicing angle",Agg-,,Parental+,Parental+,Agg-,,Parental+,,build a nest around two pups,done,valid,
JKAX7.3d,05/01/2022,PR,P,MPOA,EGFP-CRE,29/01/2022,cryo,,Agg-,,Parental-,Parental-,Agg-,,Parental-,,,cryo,valid,"bilateral, a bit spready to BNSTin instrument.vectra_polaris/francesco/RNAscope_July2022/7.3d"
JKAX4.3e,06/01/2022,PR,M,MPOA,EGFP-CRE,29/01/2022,done,,Agg-,,Parental-,Parental-,Agg-,,Parental-,,long grooming,done,valid,
JKAX12.1d,06/01/2022,PR,D,MPOA,EGFP-CRE,29/01/2022,done,,Agg-,,Parental+,Agg+,Agg+,45,,,,done,valid,
JKAX7.3c,04/01/2022,PR,P,MPOA,EGFP-CRE,29/01/2022,done,two MPOA slice broken,Agg-,,Parental+,Parental+,Agg-,,Parental+,,build a nest around two pups,done,valid,
JKAX4.3d,06/01/2022,PR,M,MPOA,EGFP-CRE,29/01/2022,done,in 2 some slices a bit blurry,Agg-,,Parental+,Parental-,Agg-,,Parental-,,long grooming,done,valid,
JKAX12.1c,05/01/2022,PR,P,MPOA,EGFP-CRE,29/01/2022,NA,,Agg-,,Parental+,Agg+,Agg+,260,,,,done,invalid,
