,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,930.32,4441.8,523,141,0,5,21094.5,724.57
1,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1444.6,5033.1,523,141,0,107,220401.5,2970.4
2,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1385.9,4730.4,263,141,0,1,216.98,59.76
3,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1516.7,5046.1,523,141,0,180,329200.2,3610.0
4,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2179.9,4576.8,72,141,0,3,1974.1,179.01
5,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1950.8,4621.1,1109,141,0,10,30577.1,913.76
6,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1291.6,4852.1,263,141,0,68,85750.3,1605.0
7,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1473.3,4915.3,523,141,0,263,346241.0,5449.0
8,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2021.3,4858.8,72,141,0,70,109035.3,1720.4
9,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1781.1,4724.1,1109,141,0,112,108321.4,1921.9
10,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 7.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1618.2,5005.8,263,141,0,97,156433.0,2147.8
11,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1820.3,5038.8,523,141,0,212,369680.0,5698.1
12,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 7.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2294.9,5030.4,72,141,0,92,218277.3,2442.3
13,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 7.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2056.9,4994.4,1109,141,0,113,162049.2,2345.5
14,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1384.4,4783.0,263,141,0,143,213050.1,2527.6
15,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1576.6,4794.4,523,141,0,237,362548.6,6254.4
16,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2047.3,4778.8,72,141,0,200,262866.4,2707.4
17,JKAH29.1f_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1822.7,4761.3,1109,141,0,165,184851.6,2483.4
18,JKAH29.1f_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1155.8,5346.9,263,141,0,136,236974.6,2710.3
19,JKAH29.1f_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1333.7,5349.2,523,141,0,234,370021.8,7406.3
20,JKAH29.1f_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1828.3,5360.9,72,141,0,207,269531.5,2752.7
21,JKAH29.1f_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1606.9,5364.0,1109,141,0,152,197578.6,2576.8
22,JKAH29.1f_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1436.9,4932.2,263,141,0,129,215728.1,2582.8
