,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1589.0,3924.0,523,141,0,23,33039.5,1399.7
1,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1371.8,4455.9,523,141,0,142,206608.6,2968.8
2,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1434.2,4682.5,263,141,0,92,108226.5,1847.7
3,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1564.1,4687.6,523,141,0,211,288161.9,5281.7
4,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1858.0,4157.3,1109,141,0,18,20085.8,729.58
5,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 6.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1296.4,4348.8,263,141,0,14,18531.9,811.53
6,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1419.2,4565.9,523,141,0,205,273259.8,4248.0
7,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 7.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1400.9,4646.1,263,141,0,118,173313.1,2345.0
8,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1554.9,4661.3,523,141,0,255,325465.9,5814.1
9,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 7.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2056.8,4502.0,72,141,0,41,38312.5,1109.9
10,JKAH30.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 7.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1835.7,4562.8,1109,141,0,143,118960.4,2190.8
11,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1677.3,5384.9,263,141,0,219,236585.5,2745.9
12,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1864.1,5372.8,523,141,0,324,395711.3,6784.0
13,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2349.0,5312.1,72,141,0,156,188263.0,2292.8
14,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2128.5,5339.4,1109,141,0,214,181793.9,2505.1
15,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1504.8,4609.3,263,141,0,235,251335.4,2891.5
16,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1685.6,4595.4,523,141,0,367,414871.2,8036.6
17,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2185.3,4556.8,72,141,0,216,272763.5,2752.3
18,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1963.5,4576.9,1109,141,0,258,201657.8,2638.5
19,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1215.7,4211.5,263,141,0,201,213183.6,2821.5
20,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1390.0,4211.2,523,141,0,461,491256.0,8166.8
21,JKAH30.1d_MPOA_1_Scan8.qptiff - resolution #1_Region 3.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1910.2,4288.8,72,141,0,247,307413.1,2934.8
