,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Area µm^2,Perimeter µm,Num Detections
0,JKAX12.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1763.7,5164.2,523,141,0,129273.4,2184.3,145.0
1,JKAX12.1d_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1471.9,4629.5,523,141,0,309808.0,3361.3,277.0
2,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1224.6,4776.1,263,141,0,73039.5,1451.9,85.0
3,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1378.8,4764.0,523,141,0,362716.7,5457.1,385.0
4,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1787.0,4733.1,1109,141,0,57996.5,1344.1,74.0
5,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1272.2,4791.2,263,141,0,186482.6,2315.3,293.0
6,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1487.0,4801.0,523,141,0,461696.1,6168.4,596.0
7,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2043.6,4826.7,72,141,0,158872.4,2049.2,118.0
8,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1805.2,4824.8,1109,141,0,179238.8,2414.7,216.0
9,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1632.9,5037.2,263,141,0,250916.1,2705.1,428.0
10,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1861.2,5048.1,523,141,0,475262.4,6721.2,674.0
11,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2364.5,5065.3,72,141,0,292517.2,2811.1,336.0
12,JKAX12.1d_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2133.8,5037.5,1109,141,0,215363.3,2671.3,315.0
