,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1699.5,5133.5,523,141,0,734,277590.2,3336.8
1,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Rectangle,0.2488,0.2488,72,141,0,0,0.2475,1.99
2,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2210.4,5088.1,1109,141,0,40,17500.2,852.59
3,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1699.5,5133.5,523,141,0,734,277590.2,3336.8
4,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Rectangle,0.2488,0.2488,72,141,0,0,0.2475,1.99
5,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 4.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2210.4,5088.1,1109,141,0,40,17500.2,852.59
6,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1701.5,5232.0,523,141,0,1374,507560.2,4400.1
7,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2346.8,5227.3,72,141,0,172,107387.4,1736.1
8,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2143.8,5141.6,1109,141,0,208,67757.2,1543.3
9,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1701.5,5232.0,523,141,0,1374,507560.2,4400.1
10,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2346.8,5227.3,72,141,0,172,107387.4,1736.1
11,JKAX12.1e_MPOA_0_Scan2.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2143.8,5141.6,1109,141,0,208,67757.2,1543.3
