,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX7.3b_MPOA_0_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2111.7,4856.1,523,141,0,78,69370.9,1734.9
1,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1813.0,4889.4,523,141,0,327,235898.3,3166.4
2,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,2381.5,5598.3,263,141,0,97,51396.9,1227.6
3,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2517.2,5628.5,523,141,0,337,291261.4,4951.7
4,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1381.1,4662.0,263,141,0,237,161452.5,2168.9
5,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1567.7,4704.4,523,141,0,397,395313.7,5878.9
6,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2024.9,4816.3,1109,141,0,58,64963.3,1603.9
7,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 4.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,2116.9,4658.9,263,141,0,221,226598.4,2596.5
8,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2330.3,4669.7,523,141,0,354,431951.3,6455.5
9,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 4.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2895.8,4701.2,72,141,0,55,121183.3,1845.6
10,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 4.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2646.0,4681.1,1109,141,0,134,179794.8,2495.5
11,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 5.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1506.0,4893.2,263,141,0,293,259493.7,2854.8
12,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1715.2,4893.3,523,141,0,455,423511.2,7214.4
13,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2227.4,4884.8,72,141,0,191,232147.1,2547.0
14,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1997.1,4869.6,1109,141,0,177,191557.5,2580.3
15,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 6.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,2066.8,5458.4,263,141,0,261,245972.9,2871.9
16,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2264.8,5492.8,523,141,0,604,422762.8,8214.0
17,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 6.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2815.9,5585.3,72,141,0,281,256929.8,2785.1
18,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2581.3,5515.9,1109,141,0,169,191252.8,2616.2
19,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 7.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1551.3,4693.4,263,141,0,220,212886.9,2620.6
20,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1729.8,4718.3,523,141,0,672,586674.4,8431.6
21,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 7.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2295.1,4755.4,72,141,0,361,335747.5,3092.0
22,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 7.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2096.8,4673.3,1109,141,0,221,225446.1,2760.6
23,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1576.7,4724.6,515,467,0,92,65450.5,1929.1
24,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 8.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,982.89,4763.1,263,141,0,108,125271.8,1855.0
25,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1213.8,4774.4,523,141,0,594,571457.7,7623.1
26,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 8.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1753.2,4811.2,72,141,0,314,256623.9,2707.7
27,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 8.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1569.1,4791.3,1109,141,0,247,233920.7,2709.8
28,JKAX7.3b_MPOA_1_Scan4.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1027.2,4750.2,515,467,0,454,248405.3,3162.1
29,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1682.1,4842.9,263,141,0,70,76441.3,1446.0
30,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1895.4,4864.2,523,141,0,629,617138.9,7823.9
31,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2397.9,4912.1,72,141,0,173,139949.1,1958.4
32,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2260.4,4908.0,1109,141,0,157,186533.6,2516.8
33,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1792.2,4838.0,515,467,0,587,465154.0,3726.3
34,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1731.5,5205.7,523,141,0,797,634774.5,5780.3
35,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2188.2,5200.0,72,141,0,30,19005.3,936.4
36,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2080.4,5229.0,1109,141,0,118,90983.9,2018.4
37,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1638.8,5188.1,515,467,0,774,448648.8,3555.7
38,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1529.2,4507.7,523,141,0,769,686065.0,6055.0
39,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 3.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1932.1,4603.1,1109,141,0,2,579.75,208.9
40,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1396.9,4490.5,515,467,0,923,574859.3,4008.9
41,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1542.5,4648.8,523,141,0,628,688078.8,6278.7
42,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1517.5,4660.8,515,467,0,917,702951.7,4411.4
43,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1920.1,5440.6,523,141,0,545,611531.6,5786.3
44,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 5.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,2393.9,5446.2,914,141,0,53,60798.4,1270.7
45,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1949.3,5451.5,515,467,0,1081,801191.2,4659.8
46,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1925.6,4827.3,523,141,0,415,524440.7,4660.7
47,JKAX7.3b_MPOA_2_Scan2.qptiff - resolution #1_Region 6.ome.tif,Posterodorsal preoptic nucleus,PD,Periventricular region,Geometry,2393.7,4852.8,914,141,0,69,79545.2,1436.8
