,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1963.8,4369.6,523,141,0,215,237526.6,2873.7
1,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2072.5,5096.0,523,141,0,622,451387.6,4129.8
2,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2750.1,5096.9,72,141,0,55,74629.2,1475.6
3,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2561.3,5090.7,1109,141,0,81,71425.0,1455.0
4,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1831.0,5166.8,263,141,0,104,83683.8,1582.1
5,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2031.7,5185.1,523,141,0,617,505633.8,6291.0
6,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2573.9,5238.2,72,141,0,240,232972.4,2558.3
7,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2337.8,5263.1,1109,141,0,207,163082.7,2337.2
8,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,2091.5,4887.0,263,141,0,306,226795.7,2580.7
9,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,2344.5,4910.9,523,141,0,749,593799.7,7072.2
10,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2874.5,4959.4,72,141,0,320,351721.3,3109.0
11,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2622.8,4911.0,1109,141,0,272,245462.8,2886.2
12,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1637.6,5751.5,263,141,0,385,294828.5,2926.1
13,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1861.6,5751.9,523,141,0,674,517528.2,7219.2
14,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2363.1,5756.4,72,141,0,410,368683.5,3166.1
15,JKAX7.3c_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2134.3,5711.9,1109,141,0,294,252154.8,2887.8
16,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1775.9,5219.7,263,141,0,184,311291.3,3128.2
17,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1991.3,5251.2,523,141,0,315,530128.0,8154.7
18,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2461.9,5309.1,72,141,0,243,358133.7,3119.1
19,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2276.1,5302.3,1109,141,0,179,281031.8,3071.1
20,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1472.4,5911.6,263,141,0,299,307417.7,3144.8
21,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1660.9,5934.9,523,141,0,628,619972.7,9304.4
22,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2149.0,5935.3,72,141,0,236,281455.0,2762.0
23,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2004.3,5909.1,1109,141,0,178,278550.0,3038.0
24,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1608.1,5989.4,515,467,0,3,1622.0,718.65
25,JKAX7.3c_MPOA_1_Scan4.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1411.6,4495.2,263,141,0,263,257070.8,2810.8
