,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Area µm^2,Perimeter µm,Num Detections
0,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1553.9,4351.5,523.0,141.0,0.0,176000.8,2644.2,466.0
1,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2055.0,4442.5,1109.0,141.0,0.0,569.56,166.82,0.0
2,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1553.9,4351.5,523.0,141.0,0.0,176000.8,2644.2,466.0
3,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 6.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2055.0,4442.5,1109.0,141.0,0.0,569.56,166.82,0.0
4,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1811.2,4327.7,523.0,141.0,0.0,306422.8,3375.4,359.0
5,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2360.9,4439.4,72.0,141.0,0.0,86262.2,1531.5,103.0
6,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 7.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2184.7,4406.7,1109.0,141.0,0.0,62535.8,1396.2,99.0
7,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1501.4,4392.4,263.0,141.0,0.0,42218.3,1137.2,51.0
8,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1670.7,4415.1,523.0,141.0,0.0,400561.6,5147.2,476.0
9,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2190.5,4481.9,72.0,141.0,0.0,199400.2,2324.2,225.0
10,JKAH24.1e_MPOA_0_Scan5.qptiff - resolution #1_Region 8.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1967.1,4439.3,1109.0,141.0,0.0,134045.2,2136.6,231.0
11,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1719.1,5143.2,263.0,141.0,0.0,135035.3,1990.0,173.0
12,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1939.0,5142.7,523.0,141.0,0.0,403578.6,5807.3,454.0
13,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2392.7,5145.2,72.0,141.0,0.0,261036.4,2682.2,328.0
14,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2166.6,5147.0,1109.0,141.0,0.0,183316.9,2508.2,299.0
15,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1426.2,4862.0,263.0,141.0,0.0,244450.7,2680.2,213.0
16,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1646.3,4872.6,523.0,141.0,0.0,442721.2,6634.6,387.0
17,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2119.8,4904.9,72.0,141.0,0.0,310947.5,2947.9,350.0
18,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1907.8,4891.5,1109.0,141.0,0.0,223301.2,2733.0,277.0
19,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1333.2,4733.8,263.0,141.0,0.0,270481.1,2800.0,354.0
20,JKAH24.1e_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1535.1,4733.6,523.0,141.0,0.0,424686.2,7099.5,483.0
