,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Area µm^2,Perimeter µm,Num Detections
0,JKAH27.2h_MPOA_1_Scan1.qptiff - resolution #1_Region 8.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1396.6,4863.9,523,141,0,2317.6,323.79,2.0
1,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1555.0,5370.5,523,141,0,234721.5,2951.9,182.0
2,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Rectangle,0.2488,0.2488,72,141,0,0.2475,1.99,0.0
3,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 1.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2167.4,5368.6,1109,141,0,16758.5,837.83,9.0
4,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1434.1,4552.2,523,141,0,427063.5,4018.5,338.0
5,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2165.1,4545.5,72,141,0,129342.3,1877.5,99.0
6,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1942.6,4540.3,1109,141,0,86711.5,1713.0,73.0
7,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1588.9,4887.7,263,141,0,73164.2,1432.2,73.0
8,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 3.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1827.5,4871.1,523,141,0,521410.3,6209.3,452.0
9,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 3.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2467.9,4823.2,72,141,0,277230.3,2773.1,133.0
10,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 3.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2186.8,4837.2,1109,141,0,193500.3,2569.8,170.0
11,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 4.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1473.3,4672.1,263,141,0,182486.8,2263.6,146.0
12,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 4.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1748.1,4671.3,523,141,0,506669.3,6523.3,373.0
13,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 4.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2307.8,4669.6,72,141,0,343526.7,3134.7,129.0
14,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 4.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2039.7,4670.3,1109,141,0,236308.3,2802.9,204.0
15,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1570.8,4629.8,263,141,0,265398.1,2747.4,254.0
16,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 5.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1800.7,4641.5,523,141,0,474986.9,6896.6,362.0
17,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 5.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2317.9,4669.9,72,141,0,359638.2,3147.4,242.0
18,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 5.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,2094.6,4666.6,1109,141,0,259045.9,2901.2,264.0
