,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Allen ID,Parent Allen ID,Side,Num Detections,Area µm^2,Perimeter µm
0,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1709.0,4608.6,523,141,0,8,15495.8,767.06
1,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 1.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1709.0,4608.6,523,141,0,8,15495.8,767.06
2,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1359.1,4856.5,263,141,0,304,309969.4,3082.5
3,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1569.0,4897.0,523,141,0,328,514831.5,7622.8
4,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2081.5,5001.2,72,141,0,30,366815.5,3178.2
5,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1834.4,4968.3,1109,141,0,12,250767.6,2909.6
6,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1359.1,4856.5,263,141,0,304,309969.4,3082.5
7,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1569.0,4897.0,523,141,0,328,514831.5,7622.8
8,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,2081.5,5001.2,72,141,0,30,366815.5,3178.2
9,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 10.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1834.4,4968.3,1109,141,0,12,250767.6,2909.6
10,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1294.4,5032.6,263,141,0,278,279579.0,2978.0
11,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1482.7,5039.8,523,141,0,636,601048.9,8854.8
12,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1949.6,5078.9,72,141,0,270,234282.7,2505.6
13,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1817.4,5066.8,1109,141,0,110,240404.8,2833.1
14,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1349.5,5017.7,515,467,0,22,12911.3,1367.2
15,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1294.4,5032.6,263,141,0,278,279579.0,2978.0
16,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1482.7,5039.8,523,141,0,636,601048.9,8854.8
17,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1949.6,5078.9,72,141,0,270,234282.7,2505.6
18,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1817.4,5066.8,1109,141,0,110,240404.8,2833.1
19,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 11.ome.tif,Medial preoptic nucleus,MPN,Hypothalamic medial zone,Geometry,1349.5,5017.7,515,467,0,22,12911.3,1367.2
20,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Anteroventral preoptic nucleus,AVP,Periventricular region,Geometry,1273.9,5013.6,263,141,0,70,114601.1,1756.2
21,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Medial preoptic area,MPO,Periventricular region,Geometry,1528.1,5003.3,523,141,0,596,565613.8,7581.2
22,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Anterodorsal preoptic nucleus,ADP,Periventricular region,Geometry,1974.1,4985.4,72,141,0,114,73996.1,1493.1
23,JKAX6.2g_MPOA_0_Scan2.qptiff - resolution #1_Region 12.ome.tif,Parastrial nucleus,PS,Periventricular region,Geometry,1839.4,4988.8,1109,141,0,112,166088.2,2382.9
