mice_ID,estrous_stage,estrous_vehicle,surgery_date,food_validation_null_date,food_consumption_null,food_validation_CNO_date,food_consumption_CNO,validation_result,manipulation_date,state_before,state_after,attack_latency,state_D2,receptor,histology_validation,comment
JKAJ8.1b,NA,NA,15/07/2021,,0.1,,0.5,valid,14/09/2021,,Agg-,,Agg-,Gq(non-conditional),valid (non-conditional),
JKAJ8.1d,NA,NA,15/07/2021,,0.3,,0.7,valid,14/09/2021,,Agg+,,Agg-,Gq(non-conditional),valid (non-conditional),
JKAJ7.7g,NA,NA,19/07/2021,,0.2,,0.8,valid,14/09/2021,,Agg+,,Agg-,Gq(non-conditional),valid (non-conditional),
JKAJ7.7h,NA,NA,19/07/2021,,0.2,,0.6,valid,14/09/2021,,Agg+,,Agg-,Gq(non-conditional),valid (non-conditional),
JKAJ9.3d,NA,NA,,,,,,valid,14/09/2021,,Agg- (eating food dust in the cage),,,Gq(non-conditional),valid (non-conditional),
JKAJ8.2f,NA,NA,04/08/2021,,,,,,31/08/2021,Agg+,Agg+,,Agg-,Gi,nonvalid(non-conditional) - spready,two injection in arcuate but more posterior one end up in vmh
JKAJ9.3c,NA,NA,04/08/2021,,,,,,31/08/2021,Agg+,Agg+,,Agg-,Gi,valid (non-conditional),
JKAJ8.4b,NA,NA,28/09/2021,24/10/2022,0.1,22/10/2021,0.6,valid,25/10/2021,,Agg+,,Agg-,Gq(non-conditional),valid (non-conditional),
JKAJ8.4c,NA,NA,28/09/2021,24/10/2022,0.1,22/10/2021,0,invalid,,,,,,Gq(non-conditional),invalid,
JKAJ10.3d,,NA,08/10/2021,30/10/2021,0,28/10/2021,0,,30/10/2021,,Agg-,,Agg-,mCher,valid,
JKAJ10.3e,,NA,08/10/2021,30/10/2021,0,28/10/2021,0.1,,30/10/2021,,Agg-,,Agg-,mCher,valid,
JKAJ10.3f,,NA,08/10/2021,30/10/2021,0.1,28/10/2021,0.1,,30/10/2021,,Agg-,,Agg-,mCher,valid,
JKAJ10.3c,,NA,14/10/2021,06/11/2021,0,04/11/2021,0,,06/11/2021,,Agg-,,Agg-,mCher,valid,
JKAJ9.5e,,NA,14/10/2021,06/11/2021,0.3,04/11/2021,0.1,,06/11/2021,,Agg-,,Agg-,mCher,valid,
JKAJ9.5f,,NA,14/10/2021,06/11/2021,0,04/11/2021,0,,06/11/2021,,Agg-,,Agg-,mCher,valid,
JKAJ9.5g,,NA,14/10/2021,06/11/2021,0,04/11/2021,0,,06/11/2021,,Agg-,,Agg-,mCher,valid,
JKAJ10.4d,M,NA,16/11/2021,18/12/2021,0.1,13/12/2021,0.8,valid,18/12/2021,,Agg-,,Agg-,Gq,valid,
JKAJ10.4e,P,NA,16/11/2021,18/12/2021,0,13/12/2021,0.9,valid,18/12/2021,,Agg+,117,Agg-,Gq,valid,
JKAJ10.4f,P,NA,16/11/2021,18/12/2021,0,13/12/2021,0.8,valid,18/12/2021,,Agg+,145,Agg-,Gq,valid,
JKAJ8.5e,D,NA,16/11/2021,18/12/2021,0,13/12/2021,0.6,valid,18/12/2021,,Agg+,155,Agg-,Gq,valid,
JKAJ8.6c,D,NA,17/11/2021,18/12/2021,0.1,13/12/2021,1.5,valid,18/12/2021,,Agg+,122,Agg-,Gq,valid,
JKAJ8.6d,D,NA,17/11/2021,18/12/2021,0.3,13/12/2021,1.4,valid,18/12/2021,,Agg+,97,Agg-,Gq,valid,
JKAJ8.5f,E,NA,17/11/2021,18/12/2021,0.3,13/12/2021,1.3,valid,18/12/2021,,Agg+,189,Agg-,Gq,valid,
JKBQ3.1e,NA,NA,,01/11/2022,0.62,02/11/2022,0.23,,,,,,,Gi,,
JKBQ3.1c,NA,NA,,01/11/2022,0.64,02/11/2022,0.44,,,,,,,Gi,,
JKBQ2.1d,NA,NA,,01/11/2022,0.85,02/11/2022,0.32,,,,,,,Gi,,
JKBQ2.1e,NA,NA,,01/11/2022,0.59,02/11/2022,0.55,,,,,,,Gi,,
JKBQ3.1d,NA,NA,,01/11/2022,0.53,02/11/2022,0.21,,,,,,,Gi,,
