mice_ID,estrous_stage,state_after,latency,manipulation,validation
JKAJ10.4d,M,Agg-,,Gq,valid
JKAJ10.4e,P,Agg+,117,Gq,valid
JKAJ10.4f,P,Agg+,145,Gq,valid
JKAJ8.5e,D,Agg+,155,Gq,valid
JKAJ8.6c,D,Agg+,122,Gq,valid
JKAJ8.6d,D,Agg+,97,Gq,valid
JKAJ8.5f,E,Agg+,189,Gq,valid
JKBR1.1e,D,Agg-,,hGlyR,valid
JKBR1.1f,D,Agg-,,hGlyR,valid
JKBR1.1g,D,Agg-,,hGlyR,valid
JKAJ33.4b,,Agg-,,hGlyR,valid
JKAJ31.2c,,Agg+,,hGlyR,valid
JKAJ33.2e,,Agg-,,hGlyR,valid
JKAJ28.3d,,Agg-,,hGlyR,valid
JKAJ16.2i,P,Agg-,,30_lighton,invalid
JKAJ16.2h,D,Agg+,247.5,30_lighton,valid
JKAJ16.2j,D,Agg+,276,30_lighton,valid
JKAJ8.9f,P,Agg+,140,30_lighton,invalid
JKAJ15.5d,P,Agg+,461,30_lighton,valid
JKAJ15.5b,D,Agg-,,30_lighton,invalid
JKAJ15.5e,,Agg-,,30_lighton,invalid
JKAJ15.5c,P,Agg-,,30_lighton,invalid
JKAJ21.2b,E,Agg+,85,30_lighton,valid
JKAJ21.2c,D,Agg+,54,30_lighton,valid
JKAM2.2f,D,Agg+,329,food_dep,
BRZZ200.5f,E,Agg-,,food_dep,
BRZZ200.5e,P,Agg-,,food_dep,
JKAM2.2e,P,Agg-,,food_dep,
BRZZ132.5g,M,Agg-,,food_dep,
BRZZ200.5d,M,Agg+,235,food_dep,
BRAC5163.3h,D,Agg-,,food_dep,
BRAC4857.7j,M,Agg+,253,food_dep,
BRAC4709.7c,E,Agg-,,food_dep,
BRAC4709.7d,D,Agg+,254,food_dep,
BRAC4742.4b,M,Agg-,,food_dep,
BRAC4742.4c,M,Agg-,,food_dep,
BRAC5178.2i,D,Agg-,,food_dep,
BRAC4908.4e,M,Agg+,64,food_dep,
BRAC5178.2j,P,Agg+,191,food_dep,
BRAC5215.1c,P,Agg-,,food_dep,
BRAC4673.7b,P,Agg+,194,food_dep,
BRAC5215.1d,M,Agg+,68,food_dep,
BRAC4908.4f,P,Agg-,,food_dep,
BRAC4673.7c,P,Agg-,,food_dep,
BRAC5204.2i,D,Agg-,,food_dep,
BRAC5266.1g,D,Agg-,,food_dep,
BRAC5266.1f,M,Agg+,292,food_dep,
BRAC5204.2j,M,Agg+,162,food_dep,
BRAC5195.3c,D,Agg-,,food_dep,
BRAC5195.3e,,Agg-,,food_dep,
BRAC5195.3d,P,Agg+,111,food_dep,
BRAC5204.2h,M,Agg+,273,food_dep,
BRAC5048.5e,P,Agg+,306,food_dep,
BRAC5081.3c,M,Agg+,429,food_dep,
BRAC5081.3e,P,Agg+,56,food_dep,
BRAC5081.3d,E,Agg+,73,food_dep,
BRAC5018.4d,P,Agg-,,food_dep,
BRAC5048.5d,E,Agg-,,food_dep,
BRAC5048.5c,D,Agg-,,food_dep,
BRAC5018.4e,D,Agg-,,food_dep,
BRAC5481.2f,P,Agg-,,food_dep,
BRAC5481.2e,M,Agg-,,food_dep,
BRAC5603.2f,E,Agg-,,food_dep,
BRAC5603.2e,D,Agg+,217,food_dep,
BRAC5487.3i,D,Agg-,,food_dep,
BRAC5487.3k,E,Agg-,,food_dep,
BRAC5487.3j,M,Agg+,226,food_dep,
