,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,657.75,5017.0,42.5,30.6433,0.5688,13.204,4.9209,0.9399,243.1454,41821.0,18.9007,255.0,194.0,61.0,223.7326,38482.0,24.8979,255.0,169.0,86.0,107.5,42.1573,0.7601,17.0838,8.4853,0.8808,236.5208,27.0663,255.0,171.0,196.2245,29.2501,255.0,157.0,232.1385,30.5746,255.0,171.0,178.0269,13.3984,230.0,157.0,0.3914
1,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,678.55,5244.1,29.25,20.837,0.8466,7.44,5.5499,0.67,252.6417,30317.0,6.448,255.0,221.0,34.0,228.175,27381.0,21.0149,255.0,183.0,72.0,75.5,32.0108,0.9259,11.0113,9.3246,0.537,247.8098,13.0763,255.0,207.0,197.4131,30.7899,255.0,152.0,244.6757,15.1827,255.0,207.0,177.4595,16.224,237.0,152.0,0.3945
2,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,844.07,5314.6,45.0,27.597,0.7425,11.2137,6.0833,0.798,252.5385,45962.0,8.2874,255.0,199.0,56.0,223.3462,40649.0,26.6484,255.0,167.0,88.0,104.0,38.8331,0.8666,15.0387,9.8468,0.7426,244.3317,25.2972,255.0,155.0,190.637,36.1246,255.0,130.0,237.9487,31.511,255.0,155.0,165.1966,16.9406,210.0,130.0,0.4292
3,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 3.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,583.9,5476.0,35.75,25.8349,0.6731,8.9724,6.877,0.6003,254.9128,37982.0,0.2832,255.0,254.0,1.0,235.0872,35028.0,20.09,255.0,192.0,63.0,93.0,36.9195,0.8574,12.8128,10.4887,0.5293,254.712,1.1981,255.0,243.0,203.1867,29.9469,255.0,162.0,254.5797,1.513,255.0,243.0,182.1549,10.3446,218.0,162.0,0.3914
4,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,575.39,5274.9,33.25,23.0187,0.7886,8.3774,6.3854,0.6292,235.9275,32558.0,25.4446,253.0,167.0,86.0,158.7391,21906.0,24.0505,207.0,117.0,90.0,83.25,33.8961,0.9105,11.9827,9.5,0.5813,221.494,37.7404,253.0,152.0,133.878,29.7058,207.0,92.0,211.4343,41.5237,253.0,152.0,116.5505,19.0683,189.0,92.0,0.412
5,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,787.9,5482.3,39.0,27.1977,0.6625,10.216,6.5784,0.7748,255.0,41310.0,0.0,255.0,255.0,0.0,148.2654,24019.0,28.2282,215.0,102.0,113.0,98.75,38.1111,0.8544,13.7592,10.2901,0.6591,254.8861,0.9504,255.0,241.0,121.9316,29.9314,215.0,81.0,254.8069,1.2323,255.0,241.0,103.6223,12.1486,141.0,81.0,0.3971
6,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,760.28,5498.9,30.0,21.9702,0.781,8.592,4.7606,0.8407,254.968,31871.0,0.1767,255.0,254.0,1.0,191.104,23888.0,33.4384,255.0,132.0,123.0,80.25,33.5377,0.8966,12.6404,8.4414,0.7281,253.0155,9.8279,255.0,169.0,148.5604,41.3167,255.0,89.0,251.7828,12.4059,255.0,169.0,121.702,14.5929,165.0,89.0,0.3785
7,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,709.74,5505.9,125.0,53.5626,0.5475,18.6828,10.7967,0.7063,206.9941,104532.0,50.5017,255.0,132.0,123.0,226.3762,114320.0,36.8373,255.0,123.0,132.0,229.0,64.471,0.6923,22.5224,14.0,0.7063,200.9052,52.1389,255.0,131.0,179.6209,60.4498,255.0,89.0,193.4601,53.1941,255.0,131.0,122.4504,22.7441,192.0,89.0,0.5494
8,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,765.09,5534.1,29.25,22.0281,0.7575,7.9769,5.224,0.795,252.1557,30763.0,11.6215,255.0,184.0,71.0,196.5738,23982.0,34.2666,255.0,139.0,116.0,79.5,33.6078,0.8845,11.8631,8.9842,0.6432,243.1094,29.5532,255.0,141.0,156.2781,39.9302,255.0,95.0,237.5354,35.347,255.0,141.0,131.4495,15.3449,170.0,95.0,0.3707
9,JKAJ27.5b_3_Scan1.qptiff - resolution #1_Region 6.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1229.6,5149.1,31.25,23.9479,0.6847,9.5237,5.4583,0.8636,254.875,32624.0,0.332,255.0,254.0,1.0,216.8438,27756.0,27.8798,255.0,169.0,86.0,83.0,35.1513,0.8441,12.898,8.9688,0.7481,254.8413,0.3659,255.0,254.0,180.7485,34.3181,255.0,138.0,254.8204,0.3848,255.0,254.0,158.3204,10.6108,195.0,138.0,0.3761
