,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,1165.5,5371.4,77.0,33.0529,0.8857,11.6977,8.9641,0.5648,219.3654,68442.0,35.7296,255.0,152.0,103.0,182.7147,57007.0,36.2185,255.0,135.0,120.0,196.5,50.8188,0.9561,17.6235,14.8002,0.4843,213.0063,42.1438,255.0,143.0,153.0343,33.8748,255.0,118.0,208.8295,45.4255,255.0,143.0,133.5389,9.0229,193.0,118.0,0.3976
1,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 4.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,1219.1,5598.0,79.5,36.871,0.7349,14.2307,7.876,0.8556,251.6812,80538.0,9.8962,255.0,205.0,50.0,191.2437,61198.0,32.1387,255.0,141.0,114.0,207.5,53.9839,0.8947,19.9566,13.6513,0.7388,245.6651,20.7214,255.0,171.0,165.3793,31.9487,255.0,124.0,241.9123,24.4945,255.0,171.0,149.2456,18.3361,214.0,124.0,0.3799
2,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,595.22,5021.8,88.25,37.3463,0.7951,14.0796,9.1832,0.8027,243.8746,87551.0,11.6047,248.0,185.0,63.0,163.7326,58780.0,22.4609,212.0,122.0,90.0,218.75,55.2163,0.9016,19.6117,14.9275,0.6871,231.1968,30.81,248.0,134.0,134.3208,30.8809,212.0,90.0,222.4442,36.4012,248.0,134.0,114.0154,15.9312,165.0,90.0,0.4059
3,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,621.8,5132.4,151.25,49.7436,0.7681,19.6028,11.0325,0.7997,249.4795,151933.0,10.7992,253.0,180.0,73.0,218.5878,133120.0,36.3331,255.0,137.0,118.0,311.75,66.4238,0.8879,25.492,16.7214,0.7379,242.0561,25.7001,253.0,133.0,172.8148,53.4199,255.0,92.0,234.9702,32.828,253.0,133.0,129.1223,20.17,206.0,92.0,0.4859
4,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,636.41,5138.3,52.5,28.0886,0.8362,10.7292,6.6516,0.7602,253.0,54395.0,0.588,254.0,252.0,2.0,188.5256,40533.0,32.216,251.0,122.0,129.0,154.25,45.7483,0.9262,16.2426,11.9555,0.6955,247.1149,19.0502,254.0,136.0,139.3916,41.9762,251.0,91.0,243.9752,22.9872,254.0,136.0,113.1787,13.1108,159.0,91.0,0.3442
5,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,635.62,5158.3,111.0,42.3752,0.7768,14.7774,11.0637,0.6873,234.2257,103762.0,31.117,255.0,130.0,125.0,218.2257,96674.0,35.4894,255.0,137.0,118.0,257.5,60.5135,0.8837,20.3851,16.9312,0.5621,230.1534,40.0677,255.0,115.0,163.5835,54.9193,255.0,91.0,227.0801,45.4614,255.0,115.0,122.3458,19.6375,175.0,91.0,0.4299
6,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,637.95,5179.4,83.0,39.6048,0.665,14.4113,8.1758,0.8418,254.8288,84858.0,1.3048,255.0,233.0,22.0,184.5105,61442.0,21.506,255.0,136.0,119.0,198.0,55.7324,0.801,19.7741,14.1167,0.6526,248.6045,22.5306,255.0,129.0,155.7191,33.8638,255.0,84.0,244.1085,28.7327,255.0,129.0,134.9219,24.6891,211.0,84.0,0.4175
7,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,641.64,5190.5,41.25,23.7616,0.9181,8.3715,6.2644,0.6551,254.869,42818.0,0.3384,255.0,254.0,1.0,181.7976,30542.0,34.5442,254.0,128.0,126.0,101.75,38.2362,0.8746,13.7821,9.0,0.754,253.4049,7.6671,255.0,189.0,147.3171,37.7017,254.0,96.0,252.3884,9.8565,255.0,189.0,123.3802,13.4629,174.0,96.0,0.3977
8,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,607.96,5209.6,110.0,40.7351,0.833,15.6375,10.0783,0.787,244.0971,108135.0,22.591,255.0,147.0,108.0,187.8239,83206.0,46.8885,255.0,112.0,143.0,251.5,58.659,0.9185,21.8119,15.8025,0.6908,224.8759,36.8258,255.0,117.0,134.0377,58.1121,255.0,64.0,209.7784,38.7751,255.0,117.0,91.7908,15.6173,134.0,64.0,0.4332
9,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,656.32,5455.7,97.0,38.5469,0.8204,14.0946,9.0019,0.7868,246.5369,96889.0,19.796,255.0,167.0,88.0,168.598,66259.0,36.8248,245.0,108.0,137.0,234.0,56.3745,0.9253,20.0732,15.0227,0.6505,234.2761,32.8531,255.0,143.0,126.3795,44.0566,245.0,70.0,225.4349,37.2796,255.0,143.0,95.9358,12.2418,132.0,70.0,0.4181
10,JKAJ27.5c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif,PathCellObject,,Arcuate hypothalamic nucleus,Polygon,578.49,5466.8,60.5,28.8872,0.9111,10.2119,7.9807,0.6228,254.4672,62090.0,2.581,255.0,237.0,18.0,140.3238,34239.0,57.3601,255.0,82.0,173.0,166.5,46.9258,0.9502,16.1136,13.5,0.4963,249.7769,12.9241,255.0,186.0,102.4102,45.2954,255.0,69.0,247.0778,15.4778,255.0,186.0,80.592,6.2218,113.0,69.0,0.3575
