Image	Name	Num Detections	Num Positive	Positive %
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image			
JKAJ30.1e_2_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image			
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image	7	7	100
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image	2	2	100
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image	1	1	100
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image			
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image	1	1	100
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	1	1	100
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	5	5	100
JKAJ30.1e_3_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image	6	6	100
