Image	Name	Num Detections	Num Positive	Positive %
JKAJ30.2b_2_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	11	11	100
JKAJ30.2b_2_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ30.2b_2_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image	4	4	100
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image			
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image			
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image	6	6	100
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	7	7	100
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	1	1	100
JKAJ30.2b_3_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	27	27	100
kd_test1_Scan2.qptiff - resolution #1_Region 6.ome.tif	Image	9	9	100
kd_test1_Scan2.qptiff - resolution #1_Region 7.ome.tif	Image			
kd_test1_Scan2.qptiff - resolution #1_Region 8.ome.tif	Image	3	3	100
kd_test1_Scan2.qptiff - resolution #1_Region 1.ome.tif	Image	32	32	100
kd_test1_Scan2.qptiff - resolution #1_Region 2.ome.tif	Image	9	9	100
kd_test1_Scan2.qptiff - resolution #1_Region 3.ome.tif	Image	16	16	100
kd_test1_Scan2.qptiff - resolution #1_Region 4.ome.tif	Image	4	4	100
kd_test1_Scan2.qptiff - resolution #1_Region 5.ome.tif	Image	6	6	100
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 7.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 8.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 3.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 5.ome.tif	Image			
JKAJ30.2b_5_Scan2.qptiff - resolution #1_Region 6.ome.tif	Image			
