Image	Name	Num Detections	Num Positive	Positive %
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	11	11	100
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	8	8	100
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	17	17	100
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image	12	12	100
JKAJ30.2c_3_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image	13	13	100
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image			
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image			
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image			
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image			
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image			
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image	9	9	100
JKAJ30.2c_4_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
