Image	Name	Num Detections	Num Positive	Positive %
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image	2	2	100
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image			
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image	16	16	100
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image	3	3	100
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	2	2	100
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image	23	23	100
JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image	5	5	100
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 8.ome.tif	Image			
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image	20	20	100
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image	6	6	100
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image			
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image			
JKAJ33.2f_4_Scan1.qptiff - resolution #1_Region 7.ome.tif	Image			
JKAJ33.2f_5_Scan1.qptiff - resolution #1_Region 6.ome.tif	Image			
JKAJ33.2f_5_Scan1.qptiff - resolution #1_Region 1.ome.tif	Image			
JKAJ33.2f_5_Scan1.qptiff - resolution #1_Region 2.ome.tif	Image			
JKAJ33.2f_5_Scan1.qptiff - resolution #1_Region 3.ome.tif	Image			
JKAJ33.2f_5_Scan1.qptiff - resolution #1_Region 4.ome.tif	Image			
JKAJ33.2f_5_Scan1.qptiff - resolution #1_Region 5.ome.tif	Image			
