,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1116.6,5224.1,55.5,32.9875,0.6409,10.4826,8.269,0.5607,254.92,57357.0,0.2719,255.0,254.0,1.0,227.2711,51136.0,22.8638,255.0,168.0,87.0,125.25,43.003,0.8511,14.2338,11.8682,0.5016,254.9205,0.2708,255.0,254.0,198.5924,31.7401,255.0,140.0,254.9209,0.2704,255.0,254.0,175.3813,13.9371,222.0,140.0,0.4452
1,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1073.0,5242.9,33.25,25.0623,0.6652,8.6486,5.8848,0.7182,254.9058,35177.0,0.2932,255.0,254.0,1.0,214.1739,29556.0,17.1029,255.0,183.0,72.0,91.25,36.0382,0.8829,12.6774,9.6156,0.6298,254.8658,0.3414,255.0,254.0,192.7315,21.2913,255.0,155.0,254.8414,0.3661,255.0,254.0,179.696,10.0688,205.0,155.0,0.3705
2,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1125.2,5300.3,31.5,25.5815,0.6049,10.426,5.1012,0.8753,245.229,32125.0,17.0066,255.0,182.0,73.0,206.8244,27094.0,27.6056,255.0,160.0,95.0,87.25,36.5338,0.8215,13.927,8.4586,0.8053,234.0659,27.9719,255.0,168.0,174.5473,31.5522,255.0,131.0,227.3578,31.0011,255.0,168.0,155.1514,11.5384,190.0,131.0,0.3654
3,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1197.2,5439.6,46.25,34.2325,0.496,12.9763,6.5997,0.8694,254.6474,48383.0,1.092,255.0,246.0,9.0,213.6158,40587.0,25.3848,255.0,159.0,96.0,117.25,43.4591,0.7801,16.6309,10.3123,0.8018,253.8729,3.9456,255.0,228.0,183.1674,33.2795,255.0,131.0,253.3511,4.9611,255.0,228.0,162.6525,19.3326,231.0,131.0,0.4086
4,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1115.0,5493.0,38.75,29.8013,0.5483,11.7551,5.7692,0.9114,254.7924,40512.0,0.4068,255.0,254.0,1.0,201.5409,32045.0,15.9547,249.0,173.0,76.0,104.75,40.4759,0.8035,15.1096,9.5,0.8093,254.7815,0.4307,255.0,252.0,185.0309,19.0545,249.0,146.0,254.7748,0.4451,255.0,252.0,175.0114,12.78,224.0,146.0,0.3713
5,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1069.5,5614.7,30.0,25.4944,0.58,9.7878,4.8307,0.8815,254.8268,32363.0,0.3799,255.0,254.0,1.0,192.4252,24438.0,12.8647,218.0,162.0,56.0,89.5,36.2897,0.854,13.5947,8.7125,0.7849,254.725,1.0039,255.0,242.0,180.375,18.7788,224.0,139.0,254.6695,1.2133,255.0,242.0,173.8069,18.2479,224.0,139.0,0.3477
6,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1198.7,5755.7,42.25,26.6684,0.7465,10.1431,6.2022,0.7868,247.6012,42835.0,14.1107,253.0,190.0,63.0,217.2428,37583.0,21.197,252.0,182.0,70.0,99.25,38.0271,0.8625,13.6983,9.7415,0.7055,241.4328,22.1352,254.0,181.0,190.8831,28.5157,252.0,148.0,236.7729,25.707,254.0,181.0,170.9694,12.8713,203.0,148.0,0.4231
7,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1221.0,5760.5,44.25,29.0537,0.6588,10.0385,6.1223,0.8075,251.6201,45040.0,2.2388,253.0,232.0,21.0,225.3184,40332.0,21.0576,251.0,178.0,73.0,105.75,39.0417,0.8718,13.6942,9.8479,0.6913,247.3255,13.7908,253.0,184.0,191.5059,33.3662,251.0,141.0,244.2258,17.3606,253.0,184.0,167.1008,13.191,209.0,141.0,0.4147
8,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1110.7,5768.0,95.0,46.3242,0.5563,18.1109,8.7794,0.8717,254.5524,97239.0,2.0016,255.0,236.0,19.0,231.4791,88425.0,20.4153,255.0,172.0,83.0,188.75,56.689,0.7381,22.0849,12.4606,0.8223,253.8061,4.3162,255.0,223.0,207.3081,29.9251,255.0,151.0,253.0377,5.7071,255.0,223.0,182.4205,12.9089,215.0,151.0,0.503
9,JKAJ33.2f_3_Scan1.qptiff - resolution #1_Region 1.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,1214.2,5778.6,52.0,31.6206,0.6535,10.3389,7.6487,0.5981,249.434,52880.0,8.6545,254.0,215.0,39.0,218.6651,46357.0,20.3308,252.0,179.0,73.0,118.25,41.2672,0.8726,13.6843,11.264,0.5443,242.3655,18.4861,254.0,185.0,195.0735,27.5224,252.0,149.0,236.6894,22.0113,254.0,185.0,176.1288,15.085,213.0,149.0,0.4464
