,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
0,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,800.71,5344.5,41.25,28.9808,0.6172,10.2938,6.2731,0.8464,254.6726,42785.0,1.9561,255.0,233.0,22.0,116.7798,19619.0,10.2358,146.0,97.0,49.0,149.75,45.8185,0.8964,16.2026,12.1437,0.6797,250.2471,16.6783,255.0,164.0,98.9967,14.5228,146.0,77.0,248.522,19.3578,255.0,164.0,92.065,8.9951,125.0,77.0,0.2677
1,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,836.52,5379.2,42.0,31.9518,0.517,12.039,5.9745,0.8928,254.9195,44356.0,0.2728,255.0,254.0,1.0,120.1897,20913.0,11.4313,154.0,99.0,55.0,158.75,47.2821,0.8923,17.7988,11.8504,0.7496,254.9323,0.2515,255.0,254.0,107.0409,12.313,154.0,84.0,254.9371,0.2431,255.0,254.0,102.0781,8.3506,132.0,84.0,0.266
2,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,730.49,5411.1,40.25,27.6228,0.6629,9.1866,6.7935,0.7437,250.1219,41020.0,0.9706,251.0,248.0,3.0,128.25,21033.0,11.3014,150.0,104.0,46.0,142.0,44.1132,0.917,15.1636,12.5289,0.5351,249.1982,3.5658,251.0,222.0,105.6754,16.5513,150.0,82.0,248.8251,4.123,251.0,222.0,96.5566,6.6146,121.0,82.0,0.2845
3,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,707.71,5436.4,39.5,23.8249,0.8745,8.9413,5.8939,0.7775,247.9503,39920.0,0.218,248.0,247.0,1.0,153.7143,24748.0,17.2936,186.0,113.0,73.0,117.5,40.1362,0.9166,14.4579,11.3279,0.6143,242.3032,15.7275,248.0,155.0,119.0189,30.2799,186.0,71.0,239.4076,18.7016,248.0,155.0,101.2293,17.2898,149.0,71.0,0.3323
4,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,717.16,5440.3,32.5,21.9369,0.8487,8.1464,5.3921,0.7232,247.6277,33925.0,0.8745,248.0,239.0,9.0,193.7299,26541.0,26.8102,247.0,143.0,104.0,90.25,35.4403,0.9029,12.6089,9.429,0.6394,235.4601,26.6858,248.0,151.0,140.7383,48.0755,247.0,70.0,228.0841,31.6305,248.0,151.0,108.615,23.1896,164.0,70.0,0.3709
5,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,727.15,5439.5,38.5,24.4616,0.8085,9.4578,5.6704,0.8225,247.8365,39406.0,0.371,248.0,247.0,1.0,182.3585,28995.0,23.8148,227.0,119.0,108.0,110.0,39.8937,0.8685,13.6882,11.0,0.5175,230.3626,27.7929,248.0,156.0,130.6577,43.7982,227.0,76.0,220.614,30.6352,248.0,156.0,101.814,18.5836,160.0,76.0,0.3488
6,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,756.74,5446.9,37.75,29.2603,0.5541,10.084,6.8359,0.634,249.4936,38921.0,0.8688,251.0,247.0,4.0,127.9487,19960.0,9.6592,155.0,106.0,49.0,143.25,45.9718,0.8518,15.6795,12.6873,0.495,249.7014,1.3645,251.0,238.0,112.8819,12.4182,155.0,89.0,249.7786,1.5013,251.0,238.0,107.2857,7.8232,136.0,89.0,0.2686
7,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,737.1,5447.7,59.75,31.5765,0.753,11.5974,7.0082,0.8094,244.0494,59304.0,12.0655,249.0,184.0,65.0,156.0782,37927.0,15.4242,198.0,117.0,81.0,151.0,45.9053,0.9005,16.0787,12.7279,0.4894,235.9274,22.7478,249.0,170.0,126.6617,28.1507,198.0,86.0,230.4904,26.3358,249.0,170.0,106.9697,13.9878,166.0,86.0,0.3913
8,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,778.07,5454.7,41.75,31.9384,0.5143,13.5427,4.5663,0.9512,251.8471,42814.0,0.5331,253.0,251.0,2.0,132.4353,22514.0,11.3716,164.0,112.0,52.0,135.0,47.7536,0.7439,18.4522,8.8413,0.882,251.9797,0.5749,253.0,251.0,115.1513,15.0441,164.0,92.0,252.0403,0.5837,253.0,251.0,107.2527,8.4666,134.0,92.0,0.3071
9,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,769.57,5453.7,33.0,28.1068,0.5249,9.1346,6.1785,0.8304,251.3704,33935.0,0.6198,252.0,250.0,2.0,142.0815,19181.0,12.5371,173.0,121.0,52.0,95.5,40.2865,0.7394,14.8047,9.3576,0.8109,251.2902,0.6273,252.0,250.0,124.2176,16.8554,173.0,92.0,251.247,0.6283,252.0,250.0,114.6096,9.3948,137.0,92.0,0.3492
10,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,747.04,5455.2,49.25,29.2023,0.7257,10.9481,5.993,0.8578,249.1306,49577.0,0.7933,251.0,248.0,3.0,165.4824,32931.0,17.515,205.0,124.0,81.0,133.5,44.3399,0.8533,15.8256,11.798,0.6801,248.3147,6.8412,251.0,188.0,131.6592,30.2162,205.0,89.0,247.8343,8.57,251.0,188.0,111.7456,14.0942,150.0,89.0,0.3686
11,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,762.88,5458.8,37.0,26.6684,0.6538,9.0735,6.7192,0.7354,251.1176,38421.0,0.4859,252.0,250.0,2.0,125.3726,19182.0,6.5754,139.0,112.0,27.0,112.75,40.4884,0.8643,14.1578,10.5832,0.6069,244.3077,17.0717,252.0,180.0,115.3253,10.0687,139.0,94.0,240.8576,20.0985,252.0,180.0,110.2351,7.3327,134.0,94.0,0.3286
12,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,778.22,5470.0,52.25,26.6574,0.924,9.8038,7.3673,0.6345,252.2559,53226.0,0.5172,253.0,251.0,2.0,173.6919,36649.0,15.1948,199.0,135.0,64.0,135.0,42.7572,0.928,14.9457,12.1984,0.4281,252.1941,0.5751,253.0,251.0,140.0351,30.3742,199.0,93.0,252.1545,0.6067,253.0,251.0,118.5152,13.2629,157.0,93.0,0.3842
13,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,748.28,5469.5,83.0,41.9887,0.5916,16.6093,8.2751,0.8748,248.6776,83307.0,6.9681,251.0,199.0,52.0,169.5134,56787.0,26.2275,228.0,115.0,113.0,198.75,55.6995,0.805,21.6692,13.5,0.7918,239.8262,22.1367,251.0,164.0,141.4408,31.8247,228.0,93.0,233.366,26.7193,251.0,164.0,120.9521,15.9641,164.0,93.0,0.4205
14,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,807.98,5475.0,52.0,29.0847,0.7725,10.2596,7.0761,0.655,253.8868,53824.0,0.3176,254.0,253.0,1.0,160.1226,33946.0,19.6178,201.0,118.0,83.0,161.25,46.7232,0.9282,16.1339,12.5,0.5378,244.3997,22.6629,255.0,165.0,123.8367,29.0915,201.0,89.0,239.7332,26.4684,255.0,165.0,105.9884,10.3086,141.0,89.0,0.3243
15,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,759.61,5477.2,48.25,26.9044,0.8376,9.6854,6.4559,0.6952,251.4061,49527.0,0.5417,252.0,250.0,2.0,146.8579,28931.0,13.2677,173.0,120.0,53.0,141.75,43.2737,0.9512,14.7182,12.3283,0.4937,244.0318,18.6762,252.0,173.0,124.1446,19.6985,173.0,95.0,240.1054,22.1443,252.0,173.0,112.0514,8.9233,135.0,95.0,0.3336
16,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,788.19,5477.4,51.5,28.7484,0.783,11.7498,5.3961,0.8909,252.8606,52595.0,0.3609,253.0,251.0,2.0,178.6346,37156.0,17.3595,206.0,134.0,72.0,131.0,43.1565,0.8839,16.0388,11.2761,0.6689,252.733,0.7612,253.0,243.0,147.6894,29.1788,206.0,98.0,252.65,0.9248,253.0,243.0,127.575,13.4442,162.0,98.0,0.3914
17,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,739.18,5476.9,45.75,31.1913,0.5909,13.5959,4.7761,0.9482,248.7568,46020.0,0.5319,251.0,245.0,6.0,156.8919,29025.0,21.4851,199.0,109.0,90.0,140.25,48.2359,0.7575,19.5163,9.5406,0.892,238.5152,24.0373,251.0,149.0,120.5526,32.418,199.0,67.0,233.4761,28.0266,251.0,149.0,102.6729,19.2583,159.0,67.0,0.3234
18,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,842.13,5485.3,74.0,32.9898,0.8544,12.0854,8.0908,0.7503,254.8818,75445.0,0.3234,255.0,254.0,1.0,196.7838,58248.0,34.0423,255.0,134.0,121.0,189.75,50.2121,0.9457,17.804,13.8782,0.6316,254.8963,0.4625,255.0,246.0,149.3097,45.9036,255.0,88.0,254.9056,0.5325,255.0,246.0,119.1545,19.1649,181.0,88.0,0.3869
19,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,784.25,5490.2,66.75,39.1195,0.5481,12.1842,9.2706,0.567,252.4216,67649.0,0.9741,253.0,243.0,10.0,172.0597,46112.0,17.8977,214.0,133.0,81.0,174.75,51.3623,0.8324,17.8007,14.0,0.5174,250.0824,7.2637,254.0,211.0,142.206,27.875,214.0,100.0,248.6445,8.9017,254.0,211.0,123.8555,13.1343,161.0,100.0,0.3837
20,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,797.38,5491.1,53.5,30.8309,0.7073,12.8197,5.9624,0.8745,253.411,55497.0,0.6171,254.0,252.0,2.0,152.8265,33469.0,17.0632,186.0,117.0,69.0,143.0,46.3638,0.836,18.219,10.4173,0.8125,253.401,0.6134,254.0,252.0,130.7969,22.9382,186.0,97.0,253.395,0.6119,254.0,252.0,117.2829,13.7792,158.0,97.0,0.3819
21,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,807.18,5490.2,53.75,29.2273,0.7907,11.5298,6.7705,0.8188,253.9182,55862.0,0.2747,254.0,253.0,1.0,170.5727,37526.0,18.379,208.0,130.0,78.0,136.25,45.3014,0.8343,16.5195,10.6614,0.7635,254.0,0.3483,255.0,253.0,139.4147,30.7678,208.0,98.0,254.0554,0.3809,255.0,253.0,118.3231,15.9905,166.0,98.0,0.3896
22,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,822.5,5494.9,52.75,31.7323,0.6583,11.3231,7.6405,0.6795,254.8832,54545.0,0.322,255.0,254.0,1.0,128.743,27551.0,8.4122,153.0,110.0,43.0,150.0,46.6276,0.867,16.0757,12.6143,0.6131,254.9207,0.2705,255.0,254.0,114.2595,14.6187,153.0,83.0,254.9412,0.2356,255.0,254.0,106.3325,10.6873,133.0,83.0,0.3495
23,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,865.75,5495.7,54.25,26.8971,0.9423,9.1444,7.6213,0.4864,254.8136,56059.0,0.3903,255.0,254.0,1.0,148.6409,32701.0,14.0467,179.0,113.0,66.0,156.25,44.967,0.971,15.1022,13.4051,0.4217,253.3541,5.7567,255.0,215.0,117.6061,26.1565,179.0,76.0,252.5651,7.0169,255.0,215.0,100.8305,12.0182,133.0,76.0,0.347
24,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,757.99,5501.1,92.25,44.6611,0.5812,14.3249,10.6687,0.7311,248.9541,92113.0,13.4686,253.0,148.0,105.0,141.973,52530.0,14.5117,181.0,107.0,74.0,237.0,58.9893,0.8559,20.3008,16.449,0.5768,237.06,34.8854,253.0,118.0,117.5379,23.8449,181.0,74.0,229.4724,41.6053,253.0,118.0,101.95,13.1437,137.0,74.0,0.3898
25,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,778.21,5500.7,54.75,30.3927,0.7448,12.3422,6.1967,0.8658,252.7074,57870.0,1.8465,253.0,231.0,22.0,175.1135,40101.0,17.2185,212.0,132.0,80.0,134.5,44.8643,0.8397,17.8526,10.9582,0.799,251.3148,7.7494,254.0,198.0,145.7518,29.4957,212.0,95.0,250.2894,9.9709,254.0,198.0,124.1318,13.7418,158.0,95.0,0.4236
26,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,816.27,5504.3,75.75,44.1354,0.4887,16.5097,8.924,0.7703,254.9064,79021.0,0.2917,255.0,254.0,1.0,151.3452,46917.0,15.1604,185.0,119.0,66.0,182.0,53.3943,0.8022,20.1607,13.3446,0.7387,254.8145,0.389,255.0,254.0,131.7039,21.0372,185.0,95.0,254.747,0.4352,255.0,254.0,117.3097,10.4067,144.0,95.0,0.4159
27,JKBR2.1e_4_Scan1.qptiff - resolution #1_Region 10.ome.tif,Positive,Positive,Arcuate hypothalamic nucleus,Polygon,792.16,5502.7,54.75,29.1687,0.8087,10.834,6.9942,0.7807,253.8733,56106.0,0.3334,254.0,253.0,1.0,215.8552,47704.0,31.4668,255.0,142.0,113.0,144.25,45.1271,0.8901,16.1707,11.8888,0.6406,252.8282,5.4052,255.0,209.0,160.1649,50.0548,255.0,91.0,252.1884,6.7826,255.0,209.0,126.072,19.2095,189.0,91.0,0.3753
