mice_ID,estrous_stage,surgery_date,implantation_area,pup_light_cond,status,state_latency,parental_status,experiment_date,
JKAJ16.2h,,24/05/2022,MPOA,spontaneous,Agg-,,,14/12/2022,
JKAJ16.2j,,24/05/2022,MPOA,spontaneous,Agg-,,,14/12/2022,
JKAJ16.2i,,24/05/2022,MPOA,spontaneous,,,,,
JKAJ8.9f,,15/03/2022,MPOA,spontaneous,Agg-,,,16/12/2022,
JKAJ16.2h,P,24/05/2022,MPOA,instantaneous_on,Agg-,,,08/12/2022,
JKAJ16.2j,D,24/05/2022,MPOA,instantaneous_on,Agg-,,,08/12/2022,
JKAJ16.2i,,24/05/2022,MPOA,instantaneous_on,,,,,
JKAJ8.9f,,15/03/2022,MPOA,instantaneous_on,,,,,
JKAJ21.2b,,,MPOA,instantaneous_on,,,,,
JKAJ21.2c,,,MPOA,instantaneous_on,,,,,
JKAJ21.1d,NA,,LPOA,instantaneous_on,Agg-,,,07/06/2023,
JKAJ21.1e,NA,,LPOA,instantaneous_on,Agg-,,,07/06/2023,
JKAJ16.2h,P,24/05/2022,MPOA,instantaneous_off,Agg-,,,08/12/2022,
JKAJ16.2j,D,24/05/2022,MPOA,instantaneous_off,Agg-,,,08/12/2022,
JKAJ8.9f,,15/03/2022,MPOA,instantaneous_off,,,,,
JKAJ16.2i,,24/05/2022,MPOA,instantaneous_off,,,,,
JKAJ21.2b,,,MPOA,instantaneous_off,,,,,
JKAJ21.2c,,,MPOA,instantaneous_off,,,,,
JKAJ21.1d,NA,,LPOA,instantaneous_off,Agg-,,,07/06/2023,
JKAJ21.1e,NA,,LPOA,instantaneous_off,Agg-,,,07/06/2023,
JKAJ19.2e,NA,,LPOA,instantaneous_off,Agg-,,,,
JKBR1.3g,NA,,LPOA,instantaneous_off,Agg-,,,,
JKBR1.3f,NA,,LPOA,instantaneous_off,Agg-,,,,
JKBR1.3i,NA,,LPOA,instantaneous_off,Agg-,,,,
JKBR1.3h,NA,,LPOA,instantaneous_off,Agg-,,,,
JKAJ16.2h,M,24/05/2022,MPOA,15_lighton,Agg-,,,16/12/2022,
JKAJ16.2j,P,24/05/2022,MPOA,15_lighton,Agg-,,,16/12/2022,
JKAJ8.9f,,15/03/2022,MPOA,15_lighton,,,,16/12/2022,
JKAJ15.5a,NA,,MPOA,15_lighton,Agg-,,,15/02/2023,
JKAJ15.5c,NA,,MPOA,15_lighton,Agg-,,,15/02/2023,
JKAJ15.5d,NA,,MPOA,15_lighton,Agg-,,,09/02/2023,
JKAJ21.2b,NA,,MPOA,15_lighton,Agg-,,,07/06/2023,
