,Name,total_area
0,Accessory supraoptic group,41123.0
1,Agranular insular area,32266318.9
2,"Agranular insular area, dorsal part",4986423.1
3,"Agranular insular area, dorsal part, layer 1",257934.9
4,"Agranular insular area, dorsal part, layer 2/3",859378.7000000001
5,"Agranular insular area, dorsal part, layer 5",1778821.88
6,"Agranular insular area, dorsal part, layer 6a",1944574.2
7,"Agranular insular area, dorsal part, layer 6b",145713.65
8,"Agranular insular area, posterior part",24530185.2
9,"Agranular insular area, posterior part, layer 1",4212048.6
10,"Agranular insular area, posterior part, layer 2/3",8256694.4
11,"Agranular insular area, posterior part, layer 5",7648860.2
12,"Agranular insular area, posterior part, layer 6a",4223918.2
13,"Agranular insular area, posterior part, layer 6b",188831.28
14,"Agranular insular area, ventral part",2750971.1
15,"Agranular insular area, ventral part, layer 1",244210.57
16,"Agranular insular area, ventral part, layer 2/3",826787.2000000001
17,"Agranular insular area, ventral part, layer 5",981668.0
18,"Agranular insular area, ventral part, layer 6a",698305.3
19,Ammon's horn,113184975.3
20,Anterior amygdalar area,4735253.09
21,Anterior area,15335521.21
22,"Anterior area, layer 1",2432547.71
23,"Anterior area, layer 2/3",4406796.2
24,"Anterior area, layer 4",1688816.1199999999
25,"Anterior area, layer 5",3928029.9
26,"Anterior area, layer 6a",2468426.36
27,"Anterior area, layer 6b",410905.7
28,Anterior cingulate area,39643486.42
29,"Anterior cingulate area, dorsal part",18940248.42
30,"Anterior cingulate area, dorsal part, layer 1",3610077.7
31,"Anterior cingulate area, dorsal part, layer 2/3",3424661.9
32,"Anterior cingulate area, dorsal part, layer 5",6720716.3
33,"Anterior cingulate area, dorsal part, layer 6a",4964245.3
34,"Anterior cingulate area, dorsal part, layer 6b",220547.44
35,"Anterior cingulate area, ventral part",20703239.4
36,"Anterior cingulate area, ventral part, 6a",3364691.05
37,"Anterior cingulate area, ventral part, 6b",619173.08
38,"Anterior cingulate area, ventral part, layer 1",3872029.0
39,"Anterior cingulate area, ventral part, layer 2/3",4314402.4
40,"Anterior cingulate area, ventral part, layer 5",8532949.4
41,Anterior group of the dorsal thalamus,21581211.9
42,Anterior hypothalamic nucleus,6984798.7
43,Anterior pretectal nucleus,11773459.8
44,Anterodorsal nucleus,1834847.6
45,Anterodorsal preoptic nucleus,790022.1
46,Anterolateral visual area,5318761.8
47,"Anterolateral visual area, layer 1",745120.7
48,"Anterolateral visual area, layer 2/3",1339519.1
49,"Anterolateral visual area, layer 4",732644.5
50,"Anterolateral visual area, layer 5",1457474.3
51,"Anterolateral visual area, layer 6a",864802.9
52,"Anterolateral visual area, layer 6b",179200.30000000002
53,Anteromedial nucleus,4338724.9
54,"Anteromedial nucleus, dorsal part",2597058.4
55,"Anteromedial nucleus, ventral part",1741666.8
56,Anteromedial visual area,8923454.799999999
57,"Anteromedial visual area, layer 1",1632966.2
58,"Anteromedial visual area, layer 2/3",2319778.8
59,"Anteromedial visual area, layer 4",658538.6
60,"Anteromedial visual area, layer 5",2511151.1
61,"Anteromedial visual area, layer 6a",1531485.4
62,"Anteromedial visual area, layer 6b",269534.8
63,Anteroventral nucleus of thalamus,4475335.3
64,Anteroventral periventricular nucleus,1585889.2
65,Anteroventral preoptic nucleus,719665.1
66,Arcuate hypothalamic nucleus,2949690.6
67,Auditory areas,52070118.9
68,Basic cell groups and regions,2066835678.3
69,Basolateral amygdalar nucleus,19614528.55
70,"Basolateral amygdalar nucleus, anterior part",7449027.85
71,"Basolateral amygdalar nucleus, posterior part",7508237.1
72,"Basolateral amygdalar nucleus, ventral part",4657264.1
73,Basomedial amygdalar nucleus,15362476.7
74,"Basomedial amygdalar nucleus, anterior part",7109918.5
75,"Basomedial amygdalar nucleus, posterior part",8252558.0
76,Bed nuclei of the stria terminalis,16582932.5
77,Bed nucleus of the accessory olfactory tract,199336.5
78,Bed nucleus of the anterior commissure,168727.59999999998
79,Brain stem,433163036.0
80,Caudoputamen,254010688.3
81,Central amygdalar nucleus,11785988.6
