,Name,total_area
0,Accessory supraoptic group,49212.3
1,Agranular insular area,27819422.0
2,"Agranular insular area, dorsal part",5301287.2700000005
3,"Agranular insular area, dorsal part, layer 1",340071.6
4,"Agranular insular area, dorsal part, layer 2/3",1081135.6
5,"Agranular insular area, dorsal part, layer 5",1944459.4
6,"Agranular insular area, dorsal part, layer 6a",1795187.37
7,"Agranular insular area, dorsal part, layer 6b",140432.5
8,"Agranular insular area, posterior part",19096350.4
9,"Agranular insular area, posterior part, layer 1",3317365.5
10,"Agranular insular area, posterior part, layer 2/3",6335635.3
11,"Agranular insular area, posterior part, layer 5",5877325.75
12,"Agranular insular area, posterior part, layer 6a",3405250.8
13,"Agranular insular area, posterior part, layer 6b",160773.57
14,"Agranular insular area, ventral part",3422400.41
15,"Agranular insular area, ventral part, layer 1",360278.3
16,"Agranular insular area, ventral part, layer 2/3",1132858.52
17,"Agranular insular area, ventral part, layer 5",1184609.8
18,"Agranular insular area, ventral part, layer 6a",744653.8099999999
19,Ammon's horn,118923310.0
20,Anterior amygdalar area,3827631.3000000003
21,Anterior area,11623387.9
22,"Anterior area, layer 1",1895855.55
23,"Anterior area, layer 2/3",3486911.6
24,"Anterior area, layer 4",1280882.1
25,"Anterior area, layer 5",2858926.5
26,"Anterior area, layer 6a",1776735.2
27,"Anterior area, layer 6b",324077.65
28,Anterior cingulate area,25558754.1
29,"Anterior cingulate area, dorsal part",11824248.8
30,"Anterior cingulate area, dorsal part, layer 1",2202379.1
31,"Anterior cingulate area, dorsal part, layer 2/3",2099271.64
32,"Anterior cingulate area, dorsal part, layer 5",4202761.0
33,"Anterior cingulate area, dorsal part, layer 6a",3171267.7
34,"Anterior cingulate area, dorsal part, layer 6b",148583.02
35,"Anterior cingulate area, ventral part",13734502.5
36,"Anterior cingulate area, ventral part, 6a",2195505.92
37,"Anterior cingulate area, ventral part, 6b",411748.7
38,"Anterior cingulate area, ventral part, layer 1",2569913.7
39,"Anterior cingulate area, ventral part, layer 2/3",2879490.3
40,"Anterior cingulate area, ventral part, layer 5",5677853.5
41,Anterior group of the dorsal thalamus,18468145.1
42,Anterior hypothalamic nucleus,6327653.6
43,Anterior pretectal nucleus,11380362.8
44,Anterodorsal nucleus,1492224.2
45,Anterodorsal preoptic nucleus,669521.1
46,Anterolateral visual area,5786513.82
47,"Anterolateral visual area, layer 1",872079.72
48,"Anterolateral visual area, layer 2/3",1503927.8
49,"Anterolateral visual area, layer 4",815443.0
50,"Anterolateral visual area, layer 5",1558435.5999999999
51,"Anterolateral visual area, layer 6a",864295.0
52,"Anterolateral visual area, layer 6b",172345.1
53,Anteromedial nucleus,3606026.6
54,"Anteromedial nucleus, dorsal part",2148900.5
55,"Anteromedial nucleus, ventral part",1457126.4
56,Anteromedial visual area,6860549.3
57,"Anteromedial visual area, layer 1",1151670.8
58,"Anteromedial visual area, layer 2/3",1726998.58
