,Name,total_area
0,Accessory supraoptic group,105765.7
1,Agranular insular area,45992811.12
2,"Agranular insular area, dorsal part",12356208.6
3,"Agranular insular area, dorsal part, layer 1",816208.4
4,"Agranular insular area, dorsal part, layer 2/3",2606586.6
5,"Agranular insular area, dorsal part, layer 5",4386464.8
6,"Agranular insular area, dorsal part, layer 6a",4193348.7
7,"Agranular insular area, dorsal part, layer 6b",353600.03
8,"Agranular insular area, posterior part",26160347.52
9,"Agranular insular area, posterior part, layer 1",4653926.7
10,"Agranular insular area, posterior part, layer 2/3",8602996.17
11,"Agranular insular area, posterior part, layer 5",8030295.89
12,"Agranular insular area, posterior part, layer 6a",4706856.4
13,"Agranular insular area, posterior part, layer 6b",166272.4
14,"Agranular insular area, ventral part",7479130
15,"Agranular insular area, ventral part, layer 1",815800.7
16,"Agranular insular area, ventral part, layer 2/3",2503688.1
17,"Agranular insular area, ventral part, layer 5",2494336.2
18,"Agranular insular area, ventral part, layer 6a",1665304.7
19,Ammon's horn,171005553
20,Anterior amygdalar area,6355284.6
21,Anterior area,11529056.39
22,"Anterior area, layer 1",1907665.69
23,"Anterior area, layer 2/3",3327254.15
24,"Anterior area, layer 4",1210722.4
25,"Anterior area, layer 5",2831638.7
26,"Anterior area, layer 6a",1896863
27,"Anterior area, layer 6b",354912.6
28,Anterior cingulate area,50880883.4
29,"Anterior cingulate area, dorsal part",24570006.8
30,"Anterior cingulate area, dorsal part, layer 1",4629746.2
31,"Anterior cingulate area, dorsal part, layer 2/3",4312914.9
32,"Anterior cingulate area, dorsal part, layer 5",8845664.2
33,"Anterior cingulate area, dorsal part, layer 6a",6498774.8
34,"Anterior cingulate area, dorsal part, layer 6b",282905.1
35,"Anterior cingulate area, ventral part",26310880.4
36,"Anterior cingulate area, ventral part, 6a",4271163
37,"Anterior cingulate area, ventral part, 6b",785949.4
38,"Anterior cingulate area, ventral part, layer 1",4896540.3
39,"Anterior cingulate area, ventral part, layer 2/3",5349369.8
40,"Anterior cingulate area, ventral part, layer 5",11007892.2
41,Anterior group of the dorsal thalamus,27186419.1
42,Anterior hypothalamic nucleus,10262945.2
43,Anterior pretectal nucleus,18853255.5
44,Anterodorsal nucleus,2120908.5
45,Anterodorsal preoptic nucleus,938374.8
46,Anterolateral visual area,9571661
47,"Anterolateral visual area, layer 1",1474996.5
48,"Anterolateral visual area, layer 2/3",2562373.8
49,"Anterolateral visual area, layer 4",1359630.1
50,"Anterolateral visual area, layer 5",2504413.8
51,"Anterolateral visual area, layer 6a",1396377
52,"Anterolateral visual area, layer 6b",273870.2
53,Anteromedial nucleus,5352598.6
54,"Anteromedial nucleus, dorsal part",3308001.5
55,"Anteromedial nucleus, ventral part",2044596.7
56,Anteromedial visual area,7602593.71
57,"Anteromedial visual area, layer 1",1268560.4
58,"Anteromedial visual area, layer 2/3",1944119.8
59,"Anteromedial visual area, layer 4",571641.5
60,"Anteromedial visual area, layer 5",2190226.74
61,"Anteromedial visual area, layer 6a",1383986.06
62,"Anteromedial visual area, layer 6b",244058.78
63,Anteroventral nucleus of thalamus,5163296.2
64,Anteroventral periventricular nucleus,1773798.9
65,Anteroventral preoptic nucleus,1109495.5
66,Arcuate hypothalamic nucleus,4788826.8
67,Auditory areas,170329376.7
68,Basic cell groups and regions,2879409590.4
69,Basolateral amygdalar nucleus,19592934.1
70,"Basolateral amygdalar nucleus, anterior part",6710345.6
71,"Basolateral amygdalar nucleus, posterior part",8820810.8
72,"Basolateral amygdalar nucleus, ventral part",4061776.88
73,Basomedial amygdalar nucleus,16857576.5
74,"Basomedial amygdalar nucleus, anterior part",7602594.4
75,"Basomedial amygdalar nucleus, posterior part",9254981.4
76,Bed nuclei of the stria terminalis,17317395.7
77,Bed nucleus of the accessory olfactory tract,404595.7
78,Bed nucleus of the anterior commissure,169121.6
79,Brain stem,620504971.35
80,Caudoputamen,318409063
81,Central amygdalar nucleus,12203258.9
82,"Central amygdalar nucleus, capsular part",3028053.2
83,"Central amygdalar nucleus, lateral part",2246525.7
84,"Central amygdalar nucleus, medial part",6928689.59
85,Central lateral nucleus of the thalamus,3894893.8
86,Central medial nucleus of the thalamus,3065960.6
87,Cerebral cortex,1548193383.7
88,Cerebral nuclei,642191332.5
89,Cerebrum,2276768148.6
90,Claustrum,5332660.9
91,Cortical amygdalar area,35997078.1
92,"Cortical amygdalar area, anterior part",7991791.5
93,"Cortical amygdalar area, posterior part",28005286.9
94,"Cortical amygdalar area, posterior part, lateral zone",13795269.8
95,"Cortical amygdalar area, posterior part, medial zone",14210017.3
96,Cortical plate,1484023401.9
97,Cortical subplate,95186121.9
98,Dentate gyrus,51290430.97
99,"Dentate gyrus, granule cell layer",13074647.6
100,"Dentate gyrus, molecular layer",33980210.17
101,"Dentate gyrus, polymorph layer",4235572.89
102,Diagonal band nucleus,10728912.4
103,Dorsal auditory area,12572621.55
104,"Dorsal auditory area, layer 1",1912092.4
105,"Dorsal auditory area, layer 2/3",3266109.6
106,"Dorsal auditory area, layer 4",1329481.9
107,"Dorsal auditory area, layer 5",3655494.2
108,"Dorsal auditory area, layer 6a",2032877.4
109,"Dorsal auditory area, layer 6b",376565.95
110,Dorsal part of the lateral geniculate complex,8873590.59
111,"Dorsal part of the lateral geniculate complex, core",4660836.27
112,"Dorsal part of the lateral geniculate complex, ipsilateral zone",1114760.27
113,"Dorsal part of the lateral geniculate complex, shell",3095524.59
114,Dorsal premammillary nucleus,2875410.8
115,Dorsal terminal nucleus of the accessory optic tract,70842.53
116,Dorsomedial nucleus of the hypothalamus,4646999.2
117,Ectorhinal area,14791951.7
118,Ectorhinal area/Layer 1,2002454.9
119,Ectorhinal area/Layer 2/3,3889951.5
120,Ectorhinal area/Layer 5,4623632.3
121,Ectorhinal area/Layer 6a,3754176.8
122,Ectorhinal area/Layer 6b,521735.97
123,Edinger-Westphal nucleus,146852.6
124,Endopiriform nucleus,29549454.7
125,"Endopiriform nucleus, dorsal part",18424020.55
126,"Endopiriform nucleus, ventral part",11125447.8
127,Entorhinal area,21197089.9
128,"Entorhinal area, lateral part",21197089.9
129,"Entorhinal area, lateral part, layer 1",3267665.5
130,"Entorhinal area, lateral part, layer 2",4872305.4
131,"Entorhinal area, lateral part, layer 3",4958745.19
132,"Entorhinal area, lateral part, layer 5",5576615
133,"Entorhinal area, lateral part, layer 6a",2521759.2
134,Epithalamus,8538617.4
135,Ethmoid nucleus of the thalamus,3331291.39
136,Fasciola cinerea,579099.7
137,Field CA1,91544873.4
138,Field CA2,5833195.8
139,Field CA3,73627499.2
140,Fields of Forel,3843062.4
141,Fundus of striatum,5638903
142,"Geniculate group, dorsal thalamus",16654795.2
143,"Geniculate group, ventral thalamus",7378000
144,"Globus pallidus, external segment",16882695.7
145,"Globus pallidus, internal segment",3779380.5
146,Gustatory areas,20688050.3
147,"Gustatory areas, layer 1",1943851.63
148,"Gustatory areas, layer 2/3",3899699.01
149,"Gustatory areas, layer 4",1781224.6
150,"Gustatory areas, layer 5",6419088.7
151,"Gustatory areas, layer 6a",6104554.4
152,"Gustatory areas, layer 6b",539632.1
153,Hippocampal formation,262447049.4
154,Hippocampal region,224563400.4
155,Hippocampo-amygdalar transition area,1055722.6
156,Hypothalamic lateral zone,60392025.3
157,Hypothalamic medial zone,55714076.85
158,Hypothalamus,195061884.55
159,Induseum griseum,1688299.9
160,Interanterodorsal nucleus of the thalamus,1503567.7
161,Interanteromedial nucleus of the thalamus,657178.6
162,Interbrain,430848519.15
163,Intercalated amygdalar nucleus,1661421.4
164,Interfascicular nucleus raphe,409507.92
165,Intergeniculate leaflet of the lateral geniculate complex,1005693.252
166,Intermediate geniculate nucleus,436008.9
167,Intermediodorsal nucleus of the thalamus,2353389
168,Interpeduncular nucleus,1227832.5
169,"Interpeduncular nucleus, caudal",47514.14
170,"Interpeduncular nucleus, dorsolateral",85274.1
171,"Interpeduncular nucleus, dorsomedial",1324.59
172,"Interpeduncular nucleus, intermediate",64808.8
173,"Interpeduncular nucleus, lateral",114869.36
174,"Interpeduncular nucleus, rostral",713748.2
175,"Interpeduncular nucleus, rostrolateral",200260.4
176,Interstitial nucleus of Cajal,891570.5
177,Intralaminar nuclei of the dorsal thalamus,17467250.4
178,Isocortex,951942833.3
179,Lateral amygdalar nucleus,7668403.4
180,Lateral dorsal nucleus of thalamus,12388871.2
181,Lateral group of the dorsal thalamus,142685578.5
182,Lateral habenula,4195180.4
183,Lateral hypothalamic area,19737497.7
184,Lateral mammillary nucleus,1347919.9
185,Lateral posterior nucleus of the thalamus,13563936.4
186,Lateral preoptic area,6571181.3
187,Lateral septal complex,53562781.9
188,Lateral septal nucleus,45832378.7
189,"Lateral septal nucleus, caudal (caudodorsal) part",7124185.4
190,"Lateral septal nucleus, rostral (rostroventral) part",30588886
191,"Lateral septal nucleus, ventral part",8119269.5
192,Lateral terminal nucleus of the accessory optic tract,161503.7
193,Lateral visual area,3493222.3
194,"Lateral visual area, layer 1",451945.4
195,"Lateral visual area, layer 2/3",798156.3
196,"Lateral visual area, layer 4",514107.9
197,"Lateral visual area, layer 5",974284.6
198,"Lateral visual area, layer 6a",620728
199,"Lateral visual area, layer 6b",134000.3
200,Laterointermediate area,1067489.1
201,"Laterointermediate area, layer 1",111794
202,"Laterointermediate area, layer 2/3",205119.4
203,"Laterointermediate area, layer 4",110642.56
204,"Laterointermediate area, layer 5",366722.9
205,"Laterointermediate area, layer 6a",223317.4
206,"Laterointermediate area, layer 6b",49892.9
207,Magnocellular nucleus,4943201.3
208,Mammillary body,16176544.7
209,Medial accesory oculomotor nucleus,201617.9
210,Medial amygdalar nucleus,17693328.9
211,Medial geniculate complex,7781204.3
212,"Medial geniculate complex, dorsal part",1553439.1
213,"Medial geniculate complex, medial part",3399498.5
214,"Medial geniculate complex, ventral part",2828266.8
215,Medial group of the dorsal thalamus,25219866.3
216,Medial habenula,4343436.8
217,Medial mammillary nucleus,8057325.6
218,"Medial mammillary nucleus, dorsal part",922069.19
219,"Medial mammillary nucleus, lateral part",3253880
220,"Medial mammillary nucleus, medial part",2044861.6
221,"Medial mammillary nucleus, median part",1398523.2
222,"Medial mammillary nucleus, posterior part",438009
223,Medial preoptic area,6737914.3
224,Medial preoptic nucleus,5440870.75
225,Medial pretectal area,831239.3
226,Medial septal complex,15545359.3
227,Medial septal nucleus,4816450.6
228,Medial terminal nucleus of the accessory optic tract,510678.4
229,Median eminence,1654876.2
230,Median preoptic nucleus,443589.4
231,Mediodorsal nucleus of thalamus,17130215.8
232,Midbrain,164442889.8
233,Midbrain raphe nuclei,1956950.42
234,Midbrain reticular nucleus,21353908.2
235,"Midbrain, behavioral state related",3569969.1
236,"Midbrain, motor related",110640412.5
237,"Midbrain, sensory related",7104631.5
238,Midline group of the dorsal thalamus,17089231.8
239,Nucleus accumbens,46927540.8
240,Nucleus of Darkschewitsch,1031462.7
241,Nucleus of reuniens,6354880.8
242,Nucleus of the lateral olfactory tract,2871529.7
243,"Nucleus of the lateral olfactory tract, layer 3",542446.1
244,"Nucleus of the lateral olfactory tract, molecular layer",979245.9
245,"Nucleus of the lateral olfactory tract, pyramidal layer",1349837.4
246,Nucleus of the optic tract,3755100.7
247,Nucleus of the posterior commissure,6621008.2
248,Olfactory areas,183731260.7
249,Olfactory tubercle,38993673.2
250,Olivary pretectal nucleus,972478.7
251,Pallidum,111142938.6
252,"Pallidum, caudal region",17486517.5
253,"Pallidum, dorsal region",20662076.3
254,"Pallidum, medial region",20869301.9
255,"Pallidum, ventral region",39749755.22
256,Paracentral nucleus,2608481.4
257,Parafascicular nucleus,5188086.8
258,Paranigral nucleus,107566.3
259,Parastrial nucleus,1165070.3
260,Parasubthalamic nucleus,1833991.9
261,Parataenial nucleus,3115012.2
262,Paraventricular hypothalamic nucleus,3323954.3
263,"Paraventricular hypothalamic nucleus, descending division",2180376.1
264,Paraventricular nucleus of the thalamus,6319820.9
265,PathAnnotationObject,5056308847.7
266,Periaqueductal gray,14450892.7
267,Perifornical nucleus,2060994
268,Peripeduncular nucleus,556567.8
269,Perireunensis nucleus,1958984.4
270,Perirhinal area,5687917.7
271,"Perirhinal area, layer 1",1699249.8
272,"Perirhinal area, layer 2/3",2582255.1
273,"Perirhinal area, layer 5",1140777.8
274,"Perirhinal area, layer 6a",222213.25
275,"Perirhinal area, layer 6b",43499.94
276,"Periventricular hypothalamic nucleus, anterior part",1586667.2
277,"Periventricular hypothalamic nucleus, intermediate part",3831986.8
278,"Periventricular hypothalamic nucleus, posterior part",4658914.2
279,"Periventricular hypothalamic nucleus, preoptic part",2213439.3
280,Periventricular region,29600164.7
281,Periventricular zone,14055997.5
282,Piriform area,113945612.4
283,Piriform-amygdalar area,13934108.6
284,Posterior amygdalar nucleus,11371346.51
285,Posterior auditory area,6059859.9
286,"Posterior auditory area, layer 1",1090650.4
287,"Posterior auditory area, layer 2/3",1471523.2
288,"Posterior auditory area, layer 4",736739.8
289,"Posterior auditory area, layer 5",1814832.391
290,"Posterior auditory area, layer 6a",775311.9
291,"Posterior auditory area, layer 6b",170802.6
292,Posterior complex of the thalamus,11724418.1
293,Posterior hypothalamic nucleus,8483849.7
294,Posterior intralaminar thalamic nucleus,1496733.2
295,Posterior limiting nucleus of the thalamus,2487151.6
296,Posterior parietal association areas,23571503.99
297,Posterior pretectal nucleus,3028715.8
298,Posterior triangular thalamic nucleus,4613483.88
299,Posterodorsal preoptic nucleus,74610.54
300,Postpiriform transition area,8522241.7
301,Postsubiculum,1502338.3
302,Precommissural nucleus,1903696.2
303,Preparasubthalamic nucleus,32988.6
304,Pretectal region,36049997.3
305,Primary auditory area,26248101
306,"Primary auditory area, layer 1",4475985
307,"Primary auditory area, layer 2/3",5653568.3
308,"Primary auditory area, layer 4",2826546.4
309,"Primary auditory area, layer 5",8855341.5
310,"Primary auditory area, layer 6a",3728841.78
311,"Primary auditory area, layer 6b",707817.6
312,Primary motor area,82835548.8
313,"Primary motor area, Layer 1",8022631.9
314,"Primary motor area, Layer 2/3",23918709.07
315,"Primary motor area, Layer 5",22279451.8
316,"Primary motor area, Layer 6a",26474943.3
317,"Primary motor area, Layer 6b",2139811.5
318,Primary somatosensory area,287739666.6
319,"Primary somatosensory area, barrel field",61431354
320,"Primary somatosensory area, barrel field, layer 1",8277259.3
321,"Primary somatosensory area, barrel field, layer 2/3",15318858.4
322,"Primary somatosensory area, barrel field, layer 4",12567789.13
323,"Primary somatosensory area, barrel field, layer 5",11557225
324,"Primary somatosensory area, barrel field, layer 6a",12210422.4
325,"Primary somatosensory area, barrel field, layer 6b",1190842.2
326,"Primary somatosensory area, lower limb",31728133.58
327,"Primary somatosensory area, lower limb, layer 1",3913711.46
328,"Primary somatosensory area, lower limb, layer 2/3",8548902.15
