,Name,total_area
0,Accessory supraoptic group,53505.8
1,Agranular insular area,27727021.9
2,"Agranular insular area, dorsal part",5463656.3
3,"Agranular insular area, dorsal part, layer 1",303090.2
4,"Agranular insular area, dorsal part, layer 2/3",1038093.4
5,"Agranular insular area, dorsal part, layer 5",1949045.4
6,"Agranular insular area, dorsal part, layer 6a",2009110.0
7,"Agranular insular area, dorsal part, layer 6b",164317.0
8,"Agranular insular area, posterior part",19408606.9
9,"Agranular insular area, posterior part, layer 1",3402596.9
10,"Agranular insular area, posterior part, layer 2/3",6405262.5
11,"Agranular insular area, posterior part, layer 5",5976469.3
12,"Agranular insular area, posterior part, layer 6a",3470512.9
13,"Agranular insular area, posterior part, layer 6b",153765.23
14,"Agranular insular area, ventral part",2855485.5
15,"Agranular insular area, ventral part, layer 1",272982.6
16,"Agranular insular area, ventral part, layer 2/3",903544.7
17,"Agranular insular area, ventral part, layer 5",988909.6
18,"Agranular insular area, ventral part, layer 6a",690048.7
19,Ammon's horn,107851678.7
20,Anterior amygdalar area,3522005.4
21,Anterior area,11263787.3
22,"Anterior area, layer 1",1830979.0
23,"Anterior area, layer 2/3",3321697.1
24,"Anterior area, layer 4",1227626.0
25,"Anterior area, layer 5",2814141.9
26,"Anterior area, layer 6a",1757004.9
27,"Anterior area, layer 6b",312413.7
28,Anterior cingulate area,32603928.2
29,"Anterior cingulate area, dorsal part",15758901.6
30,"Anterior cingulate area, dorsal part, layer 1",2931055.7
31,"Anterior cingulate area, dorsal part, layer 2/3",2775879.5
32,"Anterior cingulate area, dorsal part, layer 5",5684873.29
33,"Anterior cingulate area, dorsal part, layer 6a",4185051.8
34,"Anterior cingulate area, dorsal part, layer 6b",182034.26
35,"Anterior cingulate area, ventral part",16845026.2
36,"Anterior cingulate area, ventral part, 6a",2707630.7
37,"Anterior cingulate area, ventral part, 6b",492678.0
38,"Anterior cingulate area, ventral part, layer 1",3137978.9
39,"Anterior cingulate area, ventral part, layer 2/3",3449979.3000000003
40,"Anterior cingulate area, ventral part, layer 5",7056754.2
41,Anterior group of the dorsal thalamus,18573492.4
42,Anterior hypothalamic nucleus,6021362.7
43,Anterior pretectal nucleus,10734343.5
44,Anterodorsal nucleus,1500398.0
45,Anterodorsal preoptic nucleus,885253.6
46,Anterolateral visual area,3715344.3
47,"Anterolateral visual area, layer 1",477648.7
48,"Anterolateral visual area, layer 2/3",903792.9
49,"Anterolateral visual area, layer 4",499052.69999999995
50,"Anterolateral visual area, layer 5",1049746.0
51,"Anterolateral visual area, layer 6a",648085.6
52,"Anterolateral visual area, layer 6b",137018.2
53,Anteromedial nucleus,3680858.2
54,"Anteromedial nucleus, dorsal part",2212761.3
55,"Anteromedial nucleus, ventral part",1468123.2
56,Anteromedial visual area,6195643.5
57,"Anteromedial visual area, layer 1",1056124.2
58,"Anteromedial visual area, layer 2/3",1606287.5
59,"Anteromedial visual area, layer 4",465536.37
60,"Anteromedial visual area, layer 5",1778979.7
61,"Anteromedial visual area, layer 6a",1100704.5
62,"Anteromedial visual area, layer 6b",188011.3
63,Anteroventral nucleus of thalamus,3638025.1
64,Anteroventral periventricular nucleus,1486397.9
65,Anteroventral preoptic nucleus,786687.5
66,Arcuate hypothalamic nucleus,2412357.8
67,Auditory areas,39390063.4
68,Basic cell groups and regions,1697105359.8
69,Basolateral amygdalar nucleus,14858489.9
70,"Basolateral amygdalar nucleus, anterior part",6064643.3
71,"Basolateral amygdalar nucleus, posterior part",5628234.3
72,"Basolateral amygdalar nucleus, ventral part",3165612.6
73,Basomedial amygdalar nucleus,11676329.8
74,"Basomedial amygdalar nucleus, anterior part",6109386.4
75,"Basomedial amygdalar nucleus, posterior part",5566943.5
76,Bed nuclei of the stria terminalis,11777215.0
77,Bed nucleus of the accessory olfactory tract,199216.4
78,Bed nucleus of the anterior commissure,88382.70000000001
79,Brain stem,364663172.9
80,Caudoputamen,203794290.8
81,Central amygdalar nucleus,10791580.9
82,"Central amygdalar nucleus, capsular part",2646361.1
83,"Central amygdalar nucleus, lateral part",1985638.7
84,"Central amygdalar nucleus, medial part",6159580.6
85,Central lateral nucleus of the thalamus,2892488.3
86,Central medial nucleus of the thalamus,2042537.0
87,Cerebral cortex,937108468.7
88,Cerebral nuclei,398741113.3
89,Cerebrum,1414895222.8
