,Name,total_area
0,Accessory supraoptic group,63264.7
1,Agranular insular area,27283305.3
2,"Agranular insular area, dorsal part",5994260.3
3,"Agranular insular area, dorsal part, layer 1",349221.03
4,"Agranular insular area, dorsal part, layer 2/3",1153451.8800000001
5,"Agranular insular area, dorsal part, layer 5",2156851.9
6,"Agranular insular area, dorsal part, layer 6a",2160159.6
7,"Agranular insular area, dorsal part, layer 6b",174575.7
8,"Agranular insular area, posterior part",18032502.4
9,"Agranular insular area, posterior part, layer 1",3095214.5
10,"Agranular insular area, posterior part, layer 2/3",5958057.1
11,"Agranular insular area, posterior part, layer 5",5564052.8
12,"Agranular insular area, posterior part, layer 6a",3265214.4
13,"Agranular insular area, posterior part, layer 6b",149963.57
14,"Agranular insular area, ventral part",3258067.4
15,"Agranular insular area, ventral part, layer 1",304439.2
16,"Agranular insular area, ventral part, layer 2/3",1027732.0
17,"Agranular insular area, ventral part, layer 5",1152774.8
18,"Agranular insular area, ventral part, layer 6a",773121.3
19,Ammon's horn,97656922.3
20,Anterior amygdalar area,3498959.2
21,Anterior area,11717260.200000001
22,"Anterior area, layer 1",1935367.2
23,"Anterior area, layer 2/3",3485929.5
24,"Anterior area, layer 4",1260848.5
25,"Anterior area, layer 5",2894617.3000000003
26,"Anterior area, layer 6a",1820333.1
27,"Anterior area, layer 6b",320164.5
28,Anterior cingulate area,30665035.2
29,"Anterior cingulate area, dorsal part",14931242.7
30,"Anterior cingulate area, dorsal part, layer 1",2793270.1
31,"Anterior cingulate area, dorsal part, layer 2/3",2626930.59
32,"Anterior cingulate area, dorsal part, layer 5",5395332.5
33,"Anterior cingulate area, dorsal part, layer 6a",3942171.1
34,"Anterior cingulate area, dorsal part, layer 6b",173545.5
35,"Anterior cingulate area, ventral part",15733793.7
36,"Anterior cingulate area, ventral part, 6a",2593336.5
37,"Anterior cingulate area, ventral part, 6b",475094.0
38,"Anterior cingulate area, ventral part, layer 1",2928709.4
39,"Anterior cingulate area, ventral part, layer 2/3",3184420.2
40,"Anterior cingulate area, ventral part, layer 5",6552229.0
41,Anterior group of the dorsal thalamus,19915231.3
42,Anterior hypothalamic nucleus,6620020.9
43,Anterior pretectal nucleus,9791214.4
44,Anterodorsal nucleus,1581566.8
45,Anterodorsal preoptic nucleus,773557.9
46,Anterolateral visual area,3319831.8
47,"Anterolateral visual area, layer 1",437719.8
48,"Anterolateral visual area, layer 2/3",826869.1
49,"Anterolateral visual area, layer 4",455405.1
50,"Anterolateral visual area, layer 5",926839.1
51,"Anterolateral visual area, layer 6a",558933.4
52,"Anterolateral visual area, layer 6b",114065.5
53,Anteromedial nucleus,3960130.8000000003
54,"Anteromedial nucleus, dorsal part",2340554.1
55,"Anteromedial nucleus, ventral part",1619576.8
56,Anteromedial visual area,6198439.1
57,"Anteromedial visual area, layer 1",1057928.1
58,"Anteromedial visual area, layer 2/3",1608580.9
59,"Anteromedial visual area, layer 4",463507.7
60,"Anteromedial visual area, layer 5",1797492.9000000001
61,"Anteromedial visual area, layer 6a",1086051.3
62,"Anteromedial visual area, layer 6b",184877.9
63,Anteroventral nucleus of thalamus,3988407.3
64,Anteroventral periventricular nucleus,1251272.5
65,Anteroventral preoptic nucleus,723387.1
66,Arcuate hypothalamic nucleus,2859504.2
67,Auditory areas,36773829.4
68,Basic cell groups and regions,1630287633.2
69,Basolateral amygdalar nucleus,14427121.14
70,"Basolateral amygdalar nucleus, anterior part",5668860.74
71,"Basolateral amygdalar nucleus, posterior part",5448755.9
72,"Basolateral amygdalar nucleus, ventral part",3309504.7
73,Basomedial amygdalar nucleus,11329598.3
74,"Basomedial amygdalar nucleus, anterior part",5647564.9
75,"Basomedial amygdalar nucleus, posterior part",5682033.5
76,Bed nuclei of the stria terminalis,11120741.4
77,Bed nucleus of the accessory olfactory tract,194146.3
78,Bed nucleus of the anterior commissure,74247.20000000001
79,Brain stem,354038757.0
80,Caudoputamen,199489463.9
81,Central amygdalar nucleus,9894807.8
82,"Central amygdalar nucleus, capsular part",2326983.0
83,"Central amygdalar nucleus, lateral part",1878778.2
84,"Central amygdalar nucleus, medial part",5689046.9
85,Central lateral nucleus of the thalamus,3189450.4
86,Central medial nucleus of the thalamus,2196413.4
87,Cerebral cortex,892662887.0
88,Cerebral nuclei,392477918.9
89,Cerebrum,1285141424.5
90,Claustrum,2905718.4
91,Cortical amygdalar area,21496958.5
92,"Cortical amygdalar area, anterior part",5617829.5
93,"Cortical amygdalar area, posterior part",15879129.0
94,"Cortical amygdalar area, posterior part, lateral zone",8319234.5
95,"Cortical amygdalar area, posterior part, medial zone",7559894.4
96,Cortical plate,831090406.3
97,Cortical subplate,61573146.7
98,Dentate gyrus,29232058.0
99,"Dentate gyrus, granule cell layer",7616272.6
100,"Dentate gyrus, molecular layer",19146083.7
101,"Dentate gyrus, polymorph layer",2469701.8
102,Diagonal band nucleus,5394753.2
103,Dorsal auditory area,9464541.9
104,"Dorsal auditory area, layer 1",1546734.0
